"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIWW0014","2017-11","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","8","4,N","5","4,N","0","4,N","","","","","8.6","4,,N,15,","28.3","4,,,N","",""
"US1WIWW0014","2017-12","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","9","2,N","1","2,N","0","2,N","2","4,N","33","4,,N,29,","2.8","2,,N,25,","10.3","2,,,N","104","4,,,N"
"US1WIWW0014","2018-01","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","9",",N","5",",N","1",",N","3","4,N","58","4,,N,23,","31.2",",,N,23,","49.5",",,,N","178","4,,,N"
"US1WIWW0014","2018-02","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","13",",N","7",",N","0",",N","5","4,N","107","4,,N,09,","19.6",",,N,21,","78.3",",,,N","412","4,,,N"
"US1WIWW0014","2018-03","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","3","2,N","2","2,N","0","2,N","1","5,N","43","5,,N,06,","10.2","2,,N,27,","14.3","2,,,N","48","5,,,N"
"US1WIWW0014","2018-06","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","13",",N","11",",N","3",",N","","","","","68.8",",,N,19,","231.3",",,,N","",""
"US1WIWW0014","2018-07","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","10",",N","5",",N","0",",N","","","","","21.8",",,N,20,","60.7",",,,N","",""
"US1WIWW0014","2018-08","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","13","5,N","8","5,N","1","5,N","","","","","29.0","5,,N,29,","121.9",",a,,N","",""
"US1WIWW0014","2018-09","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","8","3,N","6","3,N","3","3,N","","","","","30.2","3,,N,03,","157.0",",a,,N","",""
"US1WIWW0014","2018-10","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","15","3,N","10","3,N","2","3,N","","","","","50.5","3,,N,06,","142.1","3,,,N","",""
"US1WIWW0014","2018-11","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","11",",N","5",",N","0",",N","","","","","12.2",",,N,06,","44.1",",,,N","",""
"US1WIWW0014","2018-12","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","8","1,N","3","1,N","0","1,N","","","","","13.5","1,,N,02,","36.9","1,,,N","",""
"US1WIWW0014","2019-01","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","11",",N","5",",N","0",",N","4","4,N","140","4,,N,19,","18.3",",,N,08,","76.1",",,,N","441","4,,,N"
"US1WIWW0014","2019-06","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","15",",N","7",",N","0",",N","","","","","24.1",",,N,05,","126.6",",,,N","",""
"US1WIWW0014","2019-07","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","12",",N","8",",N","2",",N","","","","","31.0",",,N,19,","118.4",",,,N","",""
"US1WIWW0014","2019-08","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","11","5,N","8","5,N","0","5,N","","","","","20.8","5,,N,14,","105.4","5,,,N","",""
"US1WIWW0014","2019-09","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","","","","","","","","","","","","","249.8",",a,,N","",""
"US1WIWW0014","2019-10","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","10","4,N","8","4,N","1","4,N","","","","","64.8","4,,N,02,","118.9","4,,,N","",""
"US1WIWW0014","2020-04","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","11","5,N","7","5,N","2","5,N","","","","","29.0","5,,N,29,","97.4","5,,,N","",""
"US1WIWW0014","2020-05","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","11",",N","7",",N","0",",N","","","","","24.1",",,N,24,","119.1",",,,N","",""
"US1WIWW0014","2020-08","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","4","4,N","3","4,N","2","4,N","","","","","68.8","4,,N,11,","131.6",",a,,N","",""
"US1WIWW0014","2020-10","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","11",",N","6",",N","1",",N","","","","","27.9",",,N,22,","75.2",",,,N","",""
"US1WIWW0014","2020-11","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","6",",N","4",",N","0",",N","","","","","16.3",",,N,26,","48.6",",,,N","",""
"US1WIWW0014","2020-12","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","4",",N","3",",N","0",",N","","","","","21.1",",,N,30,","39.9",",,,N","",""
"US1WIWW0014","2021-04","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","7",",N","3",",N","0",",N","","","","","10.4",",,N,11,","29.6",",,,N","",""
"US1WIWW0014","2021-05","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","10",",N","7",",N","0",",N","","","","","13.0",",,N,04,","45.5",",,,N","",""
"US1WIWW0014","2021-06","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","9",",N","5",",N","0",",N","","","","","22.1",",,N,18,","55.5",",,,N","",""
"US1WIWW0014","2021-07","42.62361","-88.70083","296.3","DARIEN 1.6 NNE, WI US","6","3,N","2","3,N","1","3,N","","","","","37.3","3,,N,15,","51.6","3,,,N","",""
