"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1WVML0005","2017-05","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","15",",N","10",",N","4",",N","46.2",",,N,25,","198.7",",,,N"
"US1WVML0005","2017-06","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","11",",N","10",",N","0",",N","20.1",",,N,15,","102.4",",,,N"
"US1WVML0005","2017-09","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","4","3,N","3","3,N","0","3,N","10.2","3,,N,06,","18.7","3,,,N"
"US1WVML0005","2017-10","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","12","1,N","7","1,N","2","1,N","32.3","1,,N,09,","135.8","1,,,N"
"US1WVML0005","2018-05","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","","","","","","","","","202.9","3,a,,N"
"US1WVML0005","2018-06","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","18",",N","12",",N","2",",N","44.5",",,N,21,","186.9",",,,N"
"US1WVML0005","2018-07","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","11","2,N","5","2,N","3","2,N","72.1","2,,N,25,","140.6","2,,,N"
"US1WVML0005","2018-09","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","19","3,N","15","3,N","4","3,N","59.2","3,,N,09,","345.7",",a,,N"
"US1WVML0005","2018-10","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","12",",N","6",",N","0",",N","24.1",",,N,11,","78.5",",,,N"
"US1WVML0005","2019-05","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","14","5,N","9","5,N","1","5,N","27.4","5,,N,12,","133.8","3,a,,N"
"US1WVML0005","2019-06","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","","","","","","","","","85.9","4,a,,N"
"US1WVML0005","2019-07","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","12","3,N","6","3,N","0","3,N","10.9","3,,N,12,","123.4",",a,,N"
"US1WVML0005","2019-09","39.5454","-78.8124","249.6","KEYSER 11.7 NE, WV US","","","","","","","","","11.4","4,a,,N"
