"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WYGS0008","2005-01","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","2","3,N","2","3,N","0","3,N","2","3,N","2","3,N","84","3,,N,05,","84","3,,N,05,","5.6","3,,N,11,","8.1","3,,,N","114","3,,,N"
"US1WYGS0008","2005-02","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","1","4,N","0","4,N","0","4,N","1","4,N","1","4,N","25","4,,N,08,","25","4,,N,08,","1.5","4,,N,15,","1.5","4,,,N","25","4,,,N"
"US1WYGS0008","2005-03","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","2","2,N","0","2,N","0","2,N","0","3,N","0","2,N","0","3,,N,31,+","13","2,,N,13,","1.5","2,,N,13,","2.8","2,,,N","13","2,,,N"
"US1WYGS0008","2005-06","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","11","2,N","4","2,N","1","2,N","","","0","2,N","","","0","2,,N,30,+","44.2","2,,N,13,","102.9","2,,,N","0","2,,,N"
"US1WYGS0008","2005-08","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","8","1,N","5","1,N","1","1,N","","","0","1,N","","","0","1,,N,31,+","43.7","1,,N,04,","88.6","1,,,N","0","1,,,N"
"US1WYGS0008","2005-09","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","3","1,N","1","1,N","0","1,N","","","0","1,N","","","0","1,,N,30,+","5.8","1,,N,22,","7.1","1,,,N","0","1,,,N"
"US1WYGS0008","2005-10","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","4",",N","3",",N","0",",N","","","0",",N","","","0",",,N,31,+","19.1",",,N,10,","44.2",",,,N","0",",,,N"
"US1WYGS0008","2005-11","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","1","2,N","1","2,N","0","2,N","","","0","2,N","","","0","2,,N,30,+","5.3","2,,N,15,","5.3","2,,,N","0","2,,,N"
"US1WYGS0008","2005-12","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","3","1,N","0","1,N","0","1,N","","","2","1,N","","","30","1,,N,18,","0.5","1,,N,30,+","1.5","1,,,N","55","1,,,N"
"US1WYGS0008","2006-01","42.002008","-104.381716","1282.9","VETERAN 3.0 W, WY US","2","2,N","0","2,N","0","2,N","","","1","2,N","","","56","2,,N,09,","2.3","2,,N,09,","3.8","2,,,N","56","2,,,N"
