"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WYSH0037","2014-04","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","10",",N","2",",N","0",",N","","","","","","","","","17.8",",,N,13,","32.6",",,,N","",""
"US1WYSH0037","2014-05","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","7","5,N","5","5,N","0","5,N","","","","","","","","","22.9","5,,N,07,","54.4","2,a,,N","",""
"US1WYSH0037","2014-06","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","14",",N","8",",N","0",",N","","","","","","","","","10.4",",,N,29,","62.0",",,,N","",""
"US1WYSH0037","2014-09","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","7","2,N","4","2,N","0","2,N","","","","","","","","","10.7","2,,N,11,","28.2","2,,,N","",""
"US1WYSH0037","2014-10","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","4","3,N","1","3,N","0","3,N","","","","","","","","","4.6","3,,N,13,","8.5","3,,,N","",""
"US1WYSH0037","2014-12","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","2","5,N","2","5,N","0","5,N","","","","","","","","","17.3","5,,N,15,","22.1","5,,,N","",""
"US1WYSH0037","2015-01","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","8","1,N","2","1,N","0","1,N","","","5","4,N","","","76","4,,N,03,","4.8","1,,N,03,","15.1","1,,,N","226","4,,,N"
"US1WYSH0037","2015-02","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","9",",N","6",",N","0",",N","","","3","2,N","","","76","2,,N,17,","10.7",",,N,17,","43.6",",,,N","250","2,,,N"
"US1WYSH0037","2015-03","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","4",",N","2",",N","0",",N","","","1","3,N","","","76","3,,N,03,","11.7",",,N,03,","17.5",",,,N","76","3,,,N"
"US1WYSH0037","2015-04","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","6",",N","3",",N","0",",N","","","","","","","","","18.5",",,N,16,","46.9",",,,N","",""
"US1WYSH0037","2015-05","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","17",",N","11",",N","2",",N","","","","","","","","","46.7",",,N,25,","165.8",",,,N","",""
"US1WYSH0037","2015-06","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","13",",N","6",",N","1",",N","","","","","","","","","30.5",",,N,04,","72.6",",,,N","",""
"US1WYSH0037","2015-07","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","7","3,N","3","3,N","0","3,N","","","","","","","","","8.9","3,,N,06,","20.6","3,,,N","",""
"US1WYSH0037","2015-08","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","6","1,N","3","1,N","0","1,N","","","","","","","","","13.2","1,,N,18,","24.1","1,,,N","",""
"US1WYSH0037","2015-09","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","4","1,N","1","1,N","0","1,N","","","","","","","","","9.4","1,,N,18,","12.5","1,,,N","",""
"US1WYSH0037","2015-10","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","10",",N","3",",N","0",",N","","","","","","","","","20.8",",,N,04,","34.9",",,,N","",""
"US1WYSH0037","2015-11","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","7",",N","3",",N","0",",N","","","","","","","","","7.1",",,N,26,","22.7",",,,N","",""
"US1WYSH0037","2015-12","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","5","1,N","3","1,N","0","1,N","","","3","3,N","","","102","3,,N,15,","13.7","1,,N,15,","23.8","1,,,N","165","3,,,N"
"US1WYSH0037","2016-01","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","7","2,N","1","2,N","0","2,N","","","1","5,N","","","76","5,,N,17,","6.6","2,,N,17,","13.7","2,,,N","135","5,,,N"
"US1WYSH0037","2016-02","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","6",",N","3",",N","0",",N","","","1","5,N","","","89","5,,N,02,","14.7",",,N,16,","28.1",",,,N","102","5,,,N"
"US1WYSH0037","2016-03","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","6","3,N","4","3,N","1","3,N","","","","","","","","","27.9","3,,N,23,","50.5","3,,,N","",""
"US1WYSH0037","2016-04","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","6","2,N","5","2,N","3","2,N","","","","","","","","","36.8","2,,N,25,","107.4","2,,,N","",""
"US1WYSH0037","2016-05","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","10","1,N","7","1,N","0","1,N","","","","","","","","","9.1","1,,N,16,","45.8","1,,,N","",""
"US1WYSH0037","2016-06","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","4","1,N","1","1,N","0","1,N","","","","","","","","","5.6","1,,N,14,","8.2","1,,,N","",""
"US1WYSH0037","2016-07","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","6","2,N","3","2,N","0","2,N","","","","","","","","","8.6","2,,N,28,","17.0","2,,,N","",""
"US1WYSH0037","2016-08","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","5","5,N","2","5,N","0","5,N","","","","","","","","","22.4","5,,N,19,","33.8","5,,,N","",""
"US1WYSH0037","2016-09","44.8116264343262","-106.970481872559","1166.8","SHERIDAN 1.5 NNW, WY US","13",",N","6",",N","2",",N","","","","","","","","","43.4",",,N,24,","117.0",",,,N","",""
