"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049226","2017-01","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","1.7","7","1.7",",7","9","2,7","9","2,7","3","2,7","0",",7","2",",7","0",",7","6",",7","0",",7","-0.6",",7,26,+","49.8","2,,7,23,","27.2",",7,30,","","","220.0",",7","208.2",",a,,7","11.29",",7","16.87",",,,7","5.71",",,,7"
"USC00049226","2017-02","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","2.0","7","0.3",",7","9",",7","6",",7","3",",7","0",",7","2",",7","0",",7","11",",7","0",",7","0.0",",7,25,+","51.3",",,7,27,","28.9",",7,09,","","","146.3",",7","156.5",",,,7","13.12",",7","19.39",",,,7","6.85",",,,7"
"USC00049226","2017-03","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","14.2","7","12.2",",7","3",",7","1",",7","0",",7","0",",7","0",",7","0",",7","24",",7","4",",7","1.1",",7,07,+","5.8",",,7,23,","33.3",",7,14,+","","","82.5",",7","7.9",",,,7","16.07",",7","25.86",",,,7","6.28",",,,7"
"USC00049226","2017-04","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","26.9","7","12.7",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","3",",7","3.3",",7,10,+","0.0",",,7,30,+","34.4",",7,22,","","","51.1",",7","0.0",",,,7","17.06",",7","26.64",",,,7","7.47",",,,7"
"USC00049226","2017-05","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","58.2","7","31.3",",7","3",",7","2",",7","1",",7","0",",7","0",",7","0",",7","24",",7","7",",7","3.9",",7,08,","32.8",",,7,07,","34.4",",7,22,+","","","46.6",",7","40.2",",,,7","17.84",",7","25.39",",,,7","10.28",",,,7"
"USC00049226","2017-06","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","176.7","7","118.5",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","14",",7","6.7",",7,13,","0.0",",,7,30,+","41.1",",7,26,+","","","5.9",",7","0.0",",,,7","22.09",",7","31.61",",,,7","12.56",",,,7"
"USC00049226","2017-07","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","390.0","7","213.3",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","27",",7","10.6",",7,03,","0.0",",,7,31,+","40.0",",7,07,","0.0","7","0.0",",7","0.0",",,,7","25.21",",7","34.26",",,,7","16.16",",,,7"
"USC00049226","2017-08","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","605.5","7","215.5",",7","1",",7","1",",7","0",",7","0",",7","0",",7","0",",7","31",",7","20",",7","11.1",",7,17,","10.7",",,7,01,","43.3",",7,28,","0.0","7","0.0",",7","10.7",",,,7","25.29",",7","34.51",",,,7","16.06",",,,7"
"USC00049226","2017-09","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","741.7","7","136.2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","15",",7","5.6",",7,24,","0.0",",,7,30,+","42.2",",7,01,","6.9","7","6.9",",7","0.0",",,,7","22.64",",7","31.03",",,,7","14.25",",,,7"
"USC00049226","2017-10","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","819.1","7","77.4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","16",",7","5.6",",7,10,","0.0",",T,7,20,","40.6",",7,23,","14.4","7","7.5",",7","0.0",",T,,7","20.59",",7","31.25",",,,7","9.93",",,,7"
"USC00049226","2017-11","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","836.9","7","17.8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","4",",7","0.6",",7,28,","0.0",",,7,30,+","36.1",",7,23,","82.4","7","68.0",",7","0.0",",,,7","16.66",",7","26.34",",,,7","6.98",",,,7"
"USC00049226","2017-12","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","836.9","7","0.0","1,7","0",",7","0",",7","0",",7","0","1,7","7","1,7","0",",7","26",",7","0",",7","-4.4","1,7,22,","0.0",",,7,31,+","30.6",",7,29,+","228.9","7","146.5",",7","0.0",",,,7","13.48","1,7","24.88",",,,7","2.08","1,,,7"
"USC00049226","2018-01","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","0.0","7","0.0",",7","3",",7","2",",7","1",",7","0",",7","5",",7","0",",7","25",",7","0",",7","-0.6",",7,27,+","52.6",",,7,09,","29.4",",7,02,","344.8","7","115.9",",7","73.2",",,,7","14.59",",7","24.07",",,,7","5.11",",,,7"
"USC00049226","2018-02","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","0.0","7","0.0",",7","7",",7","3",",7","0",",7","0",",7","7",",7","0",",7","15",",7","0",",7","-4.4",",7,24,+","18.3",",,7,27,","30.6",",7,04,","512.2","7","167.4",",7","27.8",",,,7","12.35",",7","21.15",",,,7","3.56",",,,7"
"USC00049226","2018-03","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","0.0","7","0.0",",7","10",",7","8",",7","0",",7","0",",7","2",",7","0",",7","19",",7","0",",7","0.0",",7,27,+","16.5",",,7,11,","30.0",",7,30,","658.2","7","146.0",",7","68.0",",,,7","13.62",",7","21.45",",,,7","5.80",",,,7"
"USC00049226","2018-04","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","6.1","7","6.1",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","26",",7","2",",7","0.6",",7,17,","1.0",",,7,19,","33.9",",7,09,","727.0","7","68.8",",7","1.0",",,,7","16.25",",7","25.63",",,,7","6.86",",,,7"
"USC00049226","2018-05","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","21.2","7","15.1","1,7","6",",7","0",",7","0",",7","0","1,7","0","1,7","0","1,7","22","1,7","3","1,7","4.4","1,7,03,","2.0",",,7,01,","35.0","1,7,05,","782.6","7","55.6","1,7","4.3",",,,7","16.99","1,7","24.01","1,,,7","9.96","1,,,7"
"USC00049226","2018-06","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","103.4","7","82.2","1,7","0",",7","0",",7","0",",7","0","1,7","0","1,7","0","1,7","29","1,7","11","1,7","7.8","1,7,27,+","0.0",",,7,30,+","36.1","1,7,15,+","783.7","7","1.1","1,7","0.0",",,,7","21.13","1,7","29.90","1,,,7","12.35","1,,,7"
"USC00049226","2018-07","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","352.3","7","248.9",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","26",",7","11.1",",7,05,","0.0",",,7,31,+","45.6",",7,06,","0.0","7","0.0",",7","0.0",",,,7","26.36",",7","35.52",",,,7","17.21",",,,7"
"USC00049226","2018-08","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","566.7","7","214.4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","24",",7","10.0",",7,31,","0.0",",,7,31,+","39.4",",7,07,+","0.0","7","0.0",",7","0.0",",,,7","25.25",",7","34.03",",,,7","16.47",",,,7"
"USC00049226","2018-09","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","704.2","7","137.5",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","19",",7","8.3",",7,19,+","0.0",",,7,30,+","40.0",",7,08,","0.0","7","0.0",",7","0.0",",,,7","22.92",",7","32.80",",,,7","13.03",",,,7"
"USC00049226","2018-10","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","736.1","7","31.9",",7","3",",7","2",",7","1",",7","0",",7","0",",7","0",",7","31",",7","3",",7","2.8",",7,16,","25.9",",,7,13,","34.4",",7,27,","15.0","7","15.0",",7","37.4",",,,7","18.88",",7","27.44",",,,7","10.32",",,,7"
"USC00049226","2018-11","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","747.5","7","11.4",",7","3",",7","3",",7","0",",7","0",",7","0",",7","0",",7","26",",7","2",",7","1.7",",7,11,","25.1",",,7,29,","32.2",",7,03,+","90.7","7","75.7",",7","50.3",",,,7","16.19",",7","25.17",",,,7","7.21",",,,7"
"USC00049226","2018-12","33.22157","-117.03817","393.2","VALLEY CENTER 1 N, CA US","747.5","7","0.0",",7","7",",7","4",",7","0",",7","0",",7","4",",7","0",",7","14",",7","0",",7","-3.9",",7,29,","22.9",",,7,25,","26.7",",7,20,","292.9","7","202.2",",7","58.5",",,,7","11.81",",7","20.25",",,,7","3.37",",,,7"
