"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00062760","2015-10","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","7","2,7","3","2,7","1","2,7","0",",7","0",",7","","","","","","","","","","","","","","","","","0",",,7,31,+","0",",T,7,19,","41.9","2,,7,29,","","","","","57.2","2,,,7","0",",T,,7","","","","","",""
"USC00062760","2015-11","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","6",",7","4",",7","1",",7","0",",7","0",",7","","","","","","","","","","","1","","","","","","0",",,7,30,+","0",",,7,30,+","28.4",",,7,20,","","","","","46.8",",,,7","0",",,,7","","","","","",""
"USC00062760","2015-12","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","12",",7","10",",7","1",",7","3",",7","0",",7","","","","","","","","","","","5","","","","","","25",",,7,31,+","13",",,7,30,+","37.3",",,7,24,","","","","","111.6",",,,7","26",",,,7","","","","","",""
"USC00062760","2016-01","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","5",",7","3",",7","1",",7","6",",7","1",",7","","","","","","","","","","","","","","","","","51",",,7,26,+","56",",,7,24,","25.7",",,7,11,","","","","","41.8",",,,7","69",",,,7","","","","","",""
"USC00062760","2016-02","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","11",",7","8",",7","1",",7","16",",7","4",",7","","","","","","","","","","","1","","","","","","203",",,7,11,","173",",,7,06,","45.5",",,7,25,","","","","","119.2",",,,7","339",",,,7","","","","","",""
"USC00062760","2016-03","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","11",",7","7",",7","0",",7","1",",7","1",",7","","","","","","","","","","","2","","","","","","51",",,7,21,","48",",,7,21,","19.3",",,7,29,","","","","","66.0",",,,7","48",",,,7","","","","","",""
"USC00062760","2016-04","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","8",",7","6",",7","0",",7","3",",7","2",",7","","","","","","","","","","","3","","2","","","","76",",,7,05,","94",",,7,05,","17.0",",,7,03,","","","","","66.5",",,,7","142",",,,7","","","","","",""
"USC00062760","2016-05","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","16",",7","10",",7","0",",7","0",",7","0",",7","","","","","","","","","","","7","","","","","","0",",,7,31,+","0",",,7,31,+","17.8",",,7,03,","","","","","70.2",",,,7","0",",,,7","","","","","",""
"USC00062760","2016-06","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","7",",7","3",",7","0",",7","0",",7","0",",7","","","","","","","","","","","2","","3","","","","0",",,7,30,+","0",",,7,30,+","22.9",",,7,06,","","","","","46.8",",,,7","0",",,,7","","","","","",""
"USC00062760","2016-07","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","11",",7","3",",7","0",",7","0",",7","0",",7","","","","","","","","","","","13","","2","","","","0",",,7,31,+","0",",,7,31,+","6.6",",,7,02,","","","","","25.2",",,,7","0",",,,7","","","","","",""
"USC00062760","2016-08","42.028","-72.5749","41.1","ENFIELD, CT US","","","","","10",",7","8",",7","0",",7","0","2,7","0","1,7","","","","","","","","","","","13","","3","","","","0","2,,7,31,+","0","1,,7,31,+","21.6",",,7,11,","","","","","94.3",",,,7","0","1,,,7","","","","","",""
"USC00062760","2016-09","42.028","-72.5749","41.1","ENFIELD, CT US","","","37.4","2,7","10",",7","7",",7","0",",7","0",",7","0",",7","0","2,7","0","2,7","0","1,7","22","1,7","0","1,7","4","","2","","2.8","2,7,27,","0",",,7,30,+","0",",,7,30,+","11.7",",,7,27,+","30.0","1,7,10,","44.7","1,7","53.9",",,,7","0",",,,7","18.10","2,7","23.80","1,,,7","12.40","2,,,7"
"USC00062760","2016-10","42.028","-72.5749","41.1","ENFIELD, CT US","","","1.9","1,7","11",",7","5",",7","0",",7","0",",7","1",",7","0",",7","6",",7","0","1,7","5","1,7","0","1,7","6","","","","-3.3",",7,28,+","0",",T,7,28,","28",",,7,28,","25.1",",,7,28,","26.1","1,7,19,","221.2","1,7","58.5",",,,7","28",",,,7","11.03","1,7","16.65","1,,,7","5.40",",,,7"
"USC00062760","2016-11","42.028","-72.5749","41.1","ENFIELD, CT US","","","0.0","1,7","10",",7","4",",7","0",",7","0",",7","0",",7","0","1,7","23","1,7","0","1,7","0","1,7","0","1,7","6","","","","-5.0","1,7,29,","0",",T,7,21,","0",",T,7,28,+","24.9",",,7,30,","20.6","1,7,04,","377.9","1,7","55.3",",,,7","0",",T,,7","5.30","1,7","11.13","1,,,7","-0.53","1,,,7"
"USC00062760","2016-12","42.028","-72.5749","41.1","ENFIELD, CT US","","","0.0",",7","12",",7","7",",7","0",",7","14",",7","2",",7","0",",7","28",",7","6",",7","0",",7","0",",7","7","","","","-16.7",",7,21,","203",",,7,18,","152",",,7,18,","21.8",",,7,01,","12.8",",7,28,+","592.5",",7","84.4",",,,7","239",",,,7","-0.78",",7","4.22",",,,7","-5.78",",,,7"
"USC00062760","2017-01","42.028","-72.5749","41.1","ENFIELD, CT US","0.0","","0.0",",7","13",",7","8",",7","0",",7","8",",7","2",",7","1",",7","24",",7","6",",7","0",",7","0",",7","5","","","","-17.8",",7,10,","76",",,7,09,+","94",",,7,08,","23.6",",,7,04,","13.3",",7,13,","573.0",",7","90.7",",,,7","145",",,,7","-0.15",",7","4.10",",,,7","-4.40",",,,7"
"USC00062760","2017-02","42.028","-72.5749","41.1","ENFIELD, CT US","0.0","","0.0","1,7","6",",7","5",",7","1",",7","22",",7","4",",7","0","1,7","23","1,7","4","1,7","1","1,7","0","1,7","","","","","-15.0","1,7,11,+","381",",,7,10,","427",",,7,10,","32.5",",,7,10,","21.7","1,7,25,","488.4","1,7","82.5",",,,7","694",",,,7","0.24","1,7","6.53","1,,,7","-6.04","1,,,7"
"USC00062760","2017-03","42.028","-72.5749","41.1","ENFIELD, CT US","0.0","","0.0",",7","12",",7","6",",7","1",",7","13",",7","2",",7","0",",7","24",",7","5",",7","0",",7","0",",7","2","","","","-13.3",",7,06,+","305",",,7,15,","348",",,7,15,","47.5",",,7,15,","16.7",",7,01,","559.5",",7","83.1",",,,7","378",",,,7","0.28",",7","6.28",",,,7","-5.71",",,,7"
"USC00062760","2017-04","42.028","-72.5749","41.1","ENFIELD, CT US","8.4","","8.4",",7","15",",7","11",",7","1",",7","1",",7","1",",7","0",",7","8",",7","0",",7","7",",7","0",",7","3","","1","","-2.2",",7,10,","25",",,7,01,","33",",,7,01,","32.8",",,7,01,","30.6",",7,17,+","234.7",",7","126.2",",,,7","33",",,,7","10.79",",7","17.06",",,,7","4.52",",,,7"
"USC00062760","2017-05","42.028","-72.5749","41.1","ENFIELD, CT US","24.6","","16.2","2,7","14",",7","7",",7","3",",7","0",",7","0",",7","0","1,7","0","1,7","0","2,7","7","2,7","2","2,7","4","","2","","0.6","1,7,05,","0",",,7,31,+","0",",,7,31,+","39.4",",,7,06,","35.0","2,7,19,","151.8","2,7","126.3",",,,7","0",",,,7","13.71","2,7","19.33","2,,,7","8.08","1,,,7"
"USC00062760","2017-06","42.028","-72.5749","41.1","ENFIELD, CT US","93.0","","68.4",",7","10",",7","8",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","27",",7","3",",7","6","","1","","6.7",",7,03,","0",",,7,30,+","0",",,7,30,+","33.8",",,7,20,","35.0",",7,14,+","34.4",",7","110.7",",,,7","0",",,,7","19.47",",7","26.15",",,,7","12.79",",,,7"
