"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00082114","1948-07","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","225.8","2,a,,0","0",",,,0","","","","","",""
"USC00082114","1948-08","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","17",",0","14",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","71.1",",,0,28,+","","","","","254.7",",,,0","0",",,,0","","","","","",""
"USC00082114","1948-09","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","20",",0","16",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","105.4",",,0,22,","","","","","390.5",",,,0","0",",,,0","","","","","",""
"USC00082114","1948-10","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","17",",0","11",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","166.4",",,0,06,","","","","","424.3",",,,0","0",",,,0","","","","","",""
"USC00082114","1948-11","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","5","3,0","2","3,0","0","3,0","0","3,0","0","3,0","","","","","","","","","","","","","","","","","0","3,,0,30,+","0","3,,0,30,+","6.9","3,,0,09,","","","","","12.9","3,,,0","0","3,,,0","","","","","",""
"USC00082114","1948-12","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","10","3,0","6","3,0","1","3,0","0","3,0","0","3,0","","","","","","","","","","","","","","","","","0","3,,0,31,+","0","3,,0,31,+","34.8","3,,0,04,","","","","","76.2","3,,,0","0","3,,,0","","","","","",""
"USC00082114","1949-01","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","3",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","1.5",",,0,24,","","","","","3.1",",,,0","0",",,,0","","","","","",""
"USC00082114","1949-03","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","6",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","31.0",",,0,21,","","","","","44.4",",,,0","0",",,,0","","","","","",""
"USC00082114","1949-04","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","8",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","35.1",",,0,16,","","","","","92.3",",,,0","0",",,,0","","","","","",""
"USC00082114","1949-05","26.06667","-80.2","3.0","DANIA 4 WNW, FL US","","","11",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","30.0",",,0,11,","","","","","97.2",",,,0","0",",,,0","","","","","",""
