"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00094425","1892-10","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","2",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","34.5",",,6,23,","","","","","","","34.8",",,,6","","","","","","","",""
"USC00094425","1892-11","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","16.0",",,6,17,","","","","","","","29.0",",,,6","","","","","","","",""
"USC00094425","1892-12","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","11",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","25.4",",,6,08,","","","","","","","94.1",",,,6","","","","","","","",""
"USC00094425","1893-02","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","","","","","","","","","","","","","0","4,6","11","4,6","0","4,6","","","","","","","26.7","4,6,17,+","","","","","","","","","","","20.54","4,,,6","",""
"USC00094425","1893-03","31.033333","-82.733333","53.6","HOMERVILLE, GA US","11.1",",6","12",",6","11",",6","2",",6","","","0",",6","2",",6","0",",6","15",",6","0",",6","-2.2",",6,04,","","","26.7",",,6,24,","28.3",",6,24,","","","125.0",",6","152.8",",,,6","","","14.66",",6","20.45",",,,6","8.87",",,,6"
"USC00094425","1893-04","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","3",",6","3",",6","2",",6","","","","","","","","","","","","","","","","","74.9",",,6,19,","","","","","","","113.5",",,,6","","","","","","","",""
"USC00094425","1893-05","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","5",",6","5",",6","1",",6","","","0","1,6","0","1,6","","","","","","","10.0","1,6,18,","","","33.0",",,6,02,","","","","","","","54.4",",,,6","","","","","","","16.73","1,,,6"
"USC00094425","1893-06","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","11",",6","10",",6","6",",6","","","0","3,6","0","3,6","0","3,6","27","3,6","9","3,6","16.7","3,6,09,","","","52.1",",,6,15,","32.8","3,6,26,+","","","","","228.9",",,,6","","","26.04","6,6","30.98","3,,,6","21.09","3,,,6"
"USC00094425","1893-07","31.033333","-82.733333","53.6","HOMERVILLE, GA US","284.4","1,6","10",",6","8",",6","2",",6","","","0","1,6","0","1,6","0",",6","31",",6","24",",6","20.6","1,6,12,","","","61.0",",,6,28,","35.6",",6,28,","0.0","","0.0",",6","182.4",",,,6","","","27.82","1,6","32.98",",,,6","22.66","1,,,6"
"USC00094425","1893-08","31.033333","-82.733333","53.6","HOMERVILLE, GA US","249.2",",6","10",",6","10",",6","3",",6","","","0",",6","0",",6","0",",6","31",",6","15",",6","13.3",",6,05,","","","75.4",",,6,18,","35.0",",6,29,","0.0","","0.0",",6","212.5",",,,6","","","26.37",",6","31.24",",,,6","21.51",",,,6"
"USC00094425","1893-09","31.033333","-82.733333","53.6","HOMERVILLE, GA US","204.6",",6","6",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","30",",6","8",",6","15.0",",6,28,","","","34.8",",,6,08,","33.3",",6,21,+","0.0","","0.0",",6","56.7",",,,6","","","25.15",",6","30.26",",,,6","20.04",",,,6"
"USC00094425","1893-10","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","3",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","46.2",",,6,12,","","","","","","","83.3",",,,6","","","","","","","",""
"USC00094425","1893-11","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","3","1,6","2","1,6","0","1,6","","","","","","","","","","","","","","","","","24.9","1,,6,27,","","","","","","","49.1","1,,,6","","","","","","","",""
"USC00094425","1941-06","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","10",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","15.2",",,6,14,","","","","","","","91.8",",,,6","","","","","","","",""
"USC00094425","1941-07","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","11",",6","9",",6","2",",6","","","","","","","","","","","","","","","","","43.9",",,6,19,","","","","","","","171.1",",,,6","","","","","","","",""
"USC00094425","1941-08","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","10",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","23.1",",,6,27,","","","","","","","73.1",",,,6","","","","","","","",""
"USC00094425","1941-09","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","8",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","17.8",",,6,26,","","","","","","","68.9",",,,6","","","","","","","",""
"USC00094425","1941-10","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","49.3",",,6,20,","","","","","","","83.9",",,,6","","","","","","","",""
"USC00094425","1941-11","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","19.6",",,6,01,","","","","","","","46.5",",,,6","","","","","","","",""
"USC00094425","1941-12","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","8",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","30.5",",,6,23,","","","","","","","112.9",",,,6","","","","","","","",""
"USC00094425","1942-01","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","5",",6","5",",6","3",",6","","","","","","","","","","","","","","","","","74.9",",,6,03,","","","","","","","205.4",",,,6","","","","","","","",""
"USC00094425","1942-02","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","9",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","25.4",",,6,15,","","","","","","","108.0",",,,6","","","","","","","",""
"USC00094425","1942-03","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","9",",6","8",",6","2",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","60.2",",,6,21,","","","","","","","201.1",",,,6","0",",,,6","","","","","",""
"USC00094425","1942-04","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","2",",6","2",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","14.7",",,6,21,","","","","","","","19.8",",,,6","0",",,,6","","","","","",""
"USC00094425","1942-05","31.033333","-82.733333","53.6","HOMERVILLE, GA US","","","5",",6","5",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","17.0",",,6,13,","","","","","","","42.5",",,,6","0",",,,6","","","","","",""
