"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00103835","1964-12","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","","","0.0",",0","19",",0","11",",0","0",",0","16",",0","5",",0","3",",0","27",",0","8",",0","0",",0","0",",0","","","-30.0",",0,17,","254",",,0,20,","203",",,0,27,","15.7",",,0,24,","11.1",",0,23,","","","651.3",",0","91.9",",,,0","674",",,,0","-2.68",",0","1.67",",,,0","-7.03",",,,0"
"USC00103835","1965-01","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","0.0","0","0.0",",0","15",",0","9",",0","0",",0","21",",0","3",",0","0",",0","29",",0","7",",0","0",",0","0",",0","","","-15.6",",0,01,","178",",,0,10,+","102",",,0,10,","10.9",",,0,29,","10.6",",0,31,+","","","594.6",",0","60.8",",,,0","219",",,,0","-0.85",",0","2.89",",,,0","-4.59",",,,0"
"USC00103835","1965-02","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","0.0","0","0.0",",0","11",",0","1",",0","0",",0","9",",0","4",",0","0",",0","23",",0","3",",0","0",",0","0",",0","","","-12.8",",0,11,","76",",,0,11,+","51",",,0,22,+","2.5",",,0,27,","12.8",",0,18,","","","487.3",",0","9.2",",,,0","201",",,,0","0.93",",0","5.35",",,,0","-3.49",",,,0"
"USC00103835","1965-03","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","2",",0","1",",0","0",",0","30",",0","4",",0","0",",0","0",",0","","","-15.0",",0,18,","76",",,0,27,","152",",,0,27,","6.4",",,0,27,","18.9",",0,31,","","","533.6",",0","12.8",",,,0","165",",,,0","1.12",",0","7.35",",,,0","-5.11",",,,0"
"USC00103835","1965-04","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","0.0","0","0.0",",0","15",",0","9",",0","0",",0","3",",0","2",",0","0",",0","12",",0","0",",0","1",",0","0",",0","","","-5.0",",0,04,","203",",,0,02,","203",",,0,02,","23.9",",,0,02,","21.1",",0,27,","","","324.9",",0","75.6",",,,0","228",",,,0","7.50",",0","13.37",",,,0","1.63",",,,0"
"USC00103835","1965-05","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","0.0","0","0.0",",0","13",",0","6",",0","0",",0","0",",0","1",",0","0",",0","7",",0","0",",0","7",",0","0",",0","3","","-4.4",",0,18,","0",",,0,31,+","25",",,0,01,","5.3",",,0,29,+","27.2",",0,28,","","","272.8",",0","30.0",",,,0","25",",,,0","9.53",",0","16.33",",,,0","2.73",",,,0"
"USC00103835","1965-06","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","0.5","0","0.5",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","16",",0","0",",0","","","-0.6",",0,28,","0",",,0,30,+","0",",,0,30,+","13.0",",,0,12,","29.4",",0,10,","","","139.0",",0","34.5",",,,0","0",",,,0","13.72",",0","21.36",",,,0","6.07",",,,0"
"USC00103835","1965-07","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","49.2","0","48.7",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","6",",0","10","","3.9",",0,22,","0",",,0,31,+","0",",,0,31,+","10.9",",,0,12,","35.0",",0,31,+","35.6","0","35.6",",0","32.9",",,,0","0",",,,0","18.76",",0","28.03",",,,0","9.49",",,,0"
"USC00103835","1965-08","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","100.6","0","51.4",",0","13",",0","9",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","26",",0","6",",0","12","","-0.6",",0,30,","0",",,0,31,+","0",",,0,31,+","24.9",",,0,24,","36.7",",0,01,","89.9","0","54.3",",0","93.6",",,,0","0",",,,0","18.24",",0","26.35",",,,0","10.13",",,,0"
"USC00103835","1965-09","46.15","-116.26667","1022.0","GREENCREEK 3 N, ID US","100.6","0","0.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","10",",0","0",",0","","","-5.0",",0,17,","0",",,0,30,+","0",",,0,30,+","15.7",",,0,15,","26.1",",0,01,","318.9","0","229.0",",0","19.6",",,,0","0",",,,0","10.70",",0","17.94",",,,0","3.46",",,,0"
