"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00108899","1915-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","6.1","2,6","16",",6","11",",6","1",",6","","","","","0","2,6","1","2,6","0","2,6","9","2,6","0","2,6","","","0.0","2,6,14,","","","","","25.9",",,6,17,","26.7","2,6,22,","188.5","","188.5","2,6","128.0",",,,6","","","12.04","2,6","17.31","2,,,6","6.78","2,,,6"
"USC00108899","1915-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","41.0",",6","8",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","0",",6","","","5.6",",6,31,","","","","","11.7",",,6,21,","28.9",",6,11,+","208.8","","20.3",",6","33.3",",,,6","","","19.00",",6","24.80",",,,6","13.19",",,,6"
"USC00108899","1916-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","2.5",",6","8",",6","7",",6","0",",6","","","0","2,6","0",",6","6",",6","0",",6","12",",6","0",",6","","","-6.1",",6,04,+","","","0","2,,6,31,+","22.9",",,6,03,","27.2",",6,10,","204.6","","204.6",",6","87.2",",,,6","0","2,,,6","11.81",",6","18.48",",,,6","5.14",",,,6"
"USC00108899","1916-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","7.2",",6","6",",6","6",",6","1",",6","","","0","1,6","0",",6","3",",6","0",",6","13",",6","0",",6","","","-2.2",",6,18,","","","0","1,T,6,17,","40.6",",,6,18,","23.9",",6,29,","346.6","","142.0",",6","88.4",",,,6","0","1,T,,6","13.99",",6","18.79",",,,6","9.18",",,,6"
"USC00108899","1917-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","0",",6","0",",6","0",",6","0","3,6","0",",6","","","","","0","3,6","18","3,6","0","3,6","","","","","0","3,,6,31,+","0",",,6,31,+","0.0",",T,6,31,+","27.2","3,6,17,","","","","","0.0",",T,,6","0",",,,6","","","21.55","3,,,6","",""
"USC00108899","1917-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","9.7","3,6","0",",6","0",",6","0",",6","","","0",",6","0",",6","1",",6","0","3,6","20","3,6","1","3,6","","","-3.9",",6,31,","","","0",",,6,31,+","0.0",",T,6,20,+","35.0","3,6,25,","","","80.7","3,6","0.0",",T,,6","0",",,,6","15.58","3,6","23.27","3,,,6","7.90",",,,6"
"USC00108899","1918-06","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","6.4",",,6,23,","","","","","","","9.0",",,,6","","","","","","","",""
"USC00108899","1918-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","22.5",",6","6",",6","4",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","14",",6","0",",6","","","2.2",",6,27,","0",",,6,31,+","0",",,6,31,+","21.1",",,6,27,","31.1",",6,19,","130.9","","130.9",",6","43.5",",,,6","0",",,,6","14.84",",6","20.09",",,,6","9.58",",,,6"
"USC00108899","1918-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","12",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","13.0",",,6,02,","","","","","","","36.9",",,,6","0",",,,6","","","","","",""
"USC00108899","1919-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","30.1",",6","4",",6","0",",6","0",",6","","","0",",6","0",",6","1",",6","0",",6","17",",6","0",",6","","","0.0",",6,07,","","","0",",,6,31,+","1.0",",,6,11,","30.6",",6,16,","96.7","","96.7",",6","2.1",",,,6","0",",,,6","16.19",",6","21.90",",,,6","10.48",",,,6"
