"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00134116","1948-08","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","6",",0","4",",0","0",",0","4.3",",,0,03,","15.4",",,,0"
"USC00134116","1948-09","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","6",",0","3",",0","1",",0","35.1",",,0,20,","55.7",",,,0"
"USC00134116","1948-10","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","3",",0","3",",0","1",",0","32.8",",,0,06,","56.7",",,,0"
"USC00134116","1948-11","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","10",",0","4",",0","0",",0","12.7",",,0,16,","39.9",",,,0"
"USC00134116","1948-12","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","9",",0","5",",0","0",",0","16.8",",,0,28,","54.8",",,,0"
"USC00134116","1949-01","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","12",",0","7",",0","0",",0","17.3",",,0,27,","59.2",",,,0"
"USC00134116","1949-02","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","6","3,0","2","3,0","0","3,0","3.8","3,,0,21,","32.3",",a,,0"
"USC00134116","1949-03","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","7",",0","4",",0","1",",0","27.9",",,0,30,","68.6",",,,0"
"USC00134116","1949-04","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","5",",0","2",",0","0",",0","11.4",",,0,14,","22.9",",,,0"
"USC00134116","1949-05","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","13",",0","8",",0","0",",0","23.6",",,0,21,","67.7",",,,0"
"USC00134116","1949-06","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","11",",0","9",",0","2",",0","39.9",",,0,23,","137.5",",,,0"
"USC00134116","1949-07","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","9",",0","6",",0","0",",0","8.9",",,0,18,","35.6",",,,0"
"USC00134116","1949-08","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","7",",0","4",",0","1",",0","31.5",",,0,11,","79.6",",,,0"
"USC00134116","1949-09","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","6",",0","3",",0","1",",0","65.8",",,0,12,","94.4",",,,0"
"USC00134116","1949-10","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","7",",0","4",",0","0",",0","13.5",",,0,20,","37.4",",,,0"
"USC00134116","1949-11","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","3","1,0","3","1,0","0","1,0","15.5","1,,0,12,","22.6","1,,,0"
"USC00134116","1949-12","41.68333","-91.46667",,"IOWA CITY RALSTON CR, IA US","5",",0","4",",0","0",",0","16.5",",,0,31,","40.9",",,,0"
