"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00142357","1952-10","39.53333","-99.85","711.1","EDMOND 7 S, KS US","","","","","","","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00142357","1952-11","39.53333","-99.85","711.1","EDMOND 7 S, KS US","0","1,0","0","1,0","0","1,0","","","0","1,0","","","0","1,T,0,22,","0.0","1,T,0,28,+","0.0","1,T,,0","0","1,T,,0"
"USC00142357","1952-12","39.53333","-99.85","711.1","EDMOND 7 S, KS US","3",",0","2",",0","0",",0","","","2",",0","","","127",",,0,19,","10.4",",,0,19,","16.8",",,,0","203",",,,0"
"USC00142357","1953-01","39.53333","-99.85","711.1","EDMOND 7 S, KS US","1",",0","0",",0","0",",0","0","5,0","0",",0","0","5,,0,31,+","0",",,0,31,+","0.3",",,0,01,","0.3",",,,0","0",",,,0"
"USC00142357","1953-02","39.53333","-99.85","711.1","EDMOND 7 S, KS US","4",",0","1",",0","0",",0","3",",0","2",",0","25",",,0,25,+","25",",,0,25,+","2.8",",,0,05,","5.7",",,,0","63",",,,0"
"USC00142357","1953-03","39.53333","-99.85","711.1","EDMOND 7 S, KS US","3","4,0","3","4,0","0","4,0","0","4,0","0","4,0","0","4,,0,31,+","0","4,,0,31,+","6.9","4,,0,31,","16.8","4,,,0","0","4,,,0"
"USC00142357","1953-04","39.53333","-99.85","711.1","EDMOND 7 S, KS US","6",",0","5",",0","0",",0","0","2,0","0","1,0","0","2,,0,30,+","0","1,,0,30,+","13.5",",,0,30,","33.6",",,,0","0","1,,,0"
"USC00142357","1953-05","39.53333","-99.85","711.1","EDMOND 7 S, KS US","6",",0","5",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","15.2",",,0,28,","49.8",",,,0","0",",,,0"
"USC00142357","1953-06","39.53333","-99.85","711.1","EDMOND 7 S, KS US","6",",0","6",",0","1",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","45.7",",,0,28,","65.7",",,,0","0",",,,0"
"USC00142357","1953-07","39.53333","-99.85","711.1","EDMOND 7 S, KS US","4",",0","4",",0","2",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","63.5",",,0,20,","143.7",",,,0","0",",,,0"
"USC00142357","1953-08","39.53333","-99.85","711.1","EDMOND 7 S, KS US","6",",0","6",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","12.7",",,0,05,","48.8",",,,0","0",",,,0"
"USC00142357","1953-09","39.53333","-99.85","711.1","EDMOND 7 S, KS US","1",",0","1",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","12.7",",,0,03,","12.7",",,,0","0",",,,0"
"USC00142357","1953-10","39.53333","-99.85","711.1","EDMOND 7 S, KS US","1",",0","1",",0","1",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","27.9",",,0,21,","27.9",",,,0","0",",,,0"
"USC00142357","1953-11","39.53333","-99.85","711.1","EDMOND 7 S, KS US","4","2,0","4","2,0","0","2,0","","","0","1,0","","","0","1,T,0,05,+","13.2","2,,0,05,","62.0",",a,,0","305","1,a,,0"
"USC00142357","1953-12","39.53333","-99.85","711.1","EDMOND 7 S, KS US","2",",0","1",",0","0",",0","3","4,0","2",",0","127","4,,0,05,+","127",",,0,04,","20.1",",,0,04,","21.4",",,,0","165",",,,0"
"USC00142357","1954-01","39.53333","-99.85","711.1","EDMOND 7 S, KS US","0",",0","0",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",T,0,27,+","0.0",",T,0,27,+","0.0",",T,,0","0",",T,,0"
"USC00142357","1954-02","39.53333","-99.85","711.1","EDMOND 7 S, KS US","3",",0","2",",0","0",",0","0","1,0","0","1,0","0","1,,0,28,+","0","1,,0,28,+","11.4",",,0,20,","15.9",",,,0","0","1,,,0"
"USC00142357","1954-03","39.53333","-99.85","711.1","EDMOND 7 S, KS US","1",",0","1",",0","0",",0","0","1,0","0","1,0","0","1,,0,31,+","0","1,T,0,13,","8.4",",,0,24,","8.4",",,,0","0","1,T,,0"
"USC00142357","1954-04","39.53333","-99.85","711.1","EDMOND 7 S, KS US","3",",0","2",",0","1",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","48.3",",,0,21,","52.1",",,,0","0",",,,0"
"USC00142357","1954-05","39.53333","-99.85","711.1","EDMOND 7 S, KS US","12",",0","11",",0","3",",0","0",",0","0",",0","0",",,0,31,+","0",",T,0,02,","34.8",",,0,16,","186.0",",,,0","0",",T,,0"
"USC00142357","1954-06","39.53333","-99.85","711.1","EDMOND 7 S, KS US","4",",0","4",",0","1",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","40.6",",,0,13,","73.1",",,,0","0",",,,0"
"USC00142357","1954-07","39.53333","-99.85","711.1","EDMOND 7 S, KS US","1",",0","1",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","14.0",",,0,23,","14.0",",,,0","0",",,,0"
"USC00142357","1954-08","39.53333","-99.85","711.1","EDMOND 7 S, KS US","5",",0","4",",0","1",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","25.4",",,0,07,","47.3",",,,0","0",",,,0"
