"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00144586","1959-09","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","10",",6","9",",6","1",",6","","","29.7",",,6,22,","93.7",",,,6"
"USC00144586","1964-05","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","8",",6","5",",6","3",",6","","","35.1",",,6,04,","111.2",",,,6"
"USC00144586","1965-07","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","11",",6","9",",6","5",",6","","","67.6",",,6,20,","263.1",",,,6"
"USC00144586","1974-08","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","8",",6","7",",6","1",",6","","","49.5",",,6,31,","106.2",",,,6"
"USC00144586","1974-09","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","3",",6","3",",6","0",",6","","","15.2",",,6,01,","20.2",",,,6"
"USC00144586","1974-11","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","4",",6","3",",6","2",",6","","","38.1",",,6,04,","85.2",",,,6"
"USC00144586","1975-01","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","8",",6","7",",6","0",",6","","","22.9",",,6,13,","108.2",",,,6"
"USC00144586","1975-04","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","6",",6","5",",6","1",",6","","","68.6",",,6,24,","120.3",",,,6"
"USC00144586","1975-05","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","6",",6","6",",6","0",",6","","","22.1",",,6,30,","100.5",",,,6"
"USC00144586","1975-06","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","7",",6","6",",6","1",",6","","","36.8",",,6,11,","77.0",",,,6"
"USC00144586","1975-07","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","1",",6","1",",6","0",",6","","","5.6",",,6,20,","5.6",",,,6"
"USC00144586","1975-08","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","3",",6","2",",6","0",",6","","","16.5",",,6,14,","31.2",",,,6"
"USC00144586","1975-09","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","5",",6","3",",6","2",",6","","","105.2",",,6,11,","160.3",",,,6"
"USC00144586","1980-02","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","6",",6","4",",6","0",",6","2","","14.7",",,6,05,","43.6",",,,6"
"USC00144586","1980-03","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","12",",6","6",",6","0",",6","","","24.1",",,6,30,","94.0",",,,6"
"USC00144586","1980-04","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","7",",6","3",",6","0",",6","","","13.5",",,6,03,","24.7",",,,6"
"USC00144586","1981-05","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","15",",6","9",",6","0",",6","","","23.6",",,6,24,","107.5",",,,6"
"USC00144586","1981-06","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","15",",6","12",",6","0",",6","","","23.6",",,6,03,","182.1",",,,6"
"USC00144586","1981-08","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","12",",6","8",",6","0",",6","","","24.1",",,6,02,","82.6",",,,6"
"USC00144586","1981-09","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","5",",6","2",",6","0",",6","","","5.1",",,6,07,","12.7",",,,6"
"USC00144586","1981-10","39.3","-94.9","238.0","LEAVENWORTH 2, KS US","9",",6","6",",6","1",",6","","","46.0",",,6,14,","68.9",",,,6"
