"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00204790","1897-01","44.68472","-83.41222","239.3","LINCOLN, MI US","","","","","7",",6","6",",6","1",",6","","","3",",6","4","3,6","28","3,6","23","3,6","0","3,6","0","3,6","","","-23.3","3,6,23,","","","51",",,6,28,","38.6",",,6,04,","10.0","3,6,03,","","","","","74.3",",,,6","127",",,,6","-7.87","6,6","-3.68","3,,,6","-12.06","3,,,6"
"USC00204790","1897-02","44.68472","-83.41222","239.3","LINCOLN, MI US","","","0.0",",6","7",",6","7",",6","0",",6","","","7",",6","2",",6","28",",6","15",",6","0",",6","0",",6","","","-21.7",",6,27,+","","","89",",,6,22,+","8.9",",,6,22,+","7.8",",6,17,","","","676.1",",6","36.3",",,,6","355",",,,6","-5.81",",6","-1.86",",,,6","-9.76",",,,6"
"USC00204790","1897-03","44.68472","-83.41222","239.3","LINCOLN, MI US","","","0.0","3,6","7",",6","6",",6","0",",6","","","3","1,6","4","2,6","27","2,6","10","2,6","0","2,6","0","2,6","","","-20.6","2,6,15,","","","165","1,,6,14,","24.6",",,6,20,","8.3","2,6,30,","","","601.2","2,6","92.5",",,,6","338","1,,,6","-3.21","3,6","1.43","2,,,6","-7.86","2,,,6"
"USC00204790","1897-04","44.68472","-83.41222","239.3","LINCOLN, MI US","","","0.0","4,6","13",",6","11",",6","0",",6","","","1",",6","0","3,6","16","3,6","1","3,6","1","3,6","0","3,6","","","-9.4","3,6,20,+","","","28",",,6,16,","24.6",",,6,24,","21.7","3,6,22,","","","370.6","3,6","113.0",",,,6","46",",,,6","4.06","4,6","9.20","3,,,6","-1.07","3,,,6"
"USC00204790","1897-05","44.68472","-83.41222","239.3","LINCOLN, MI US","","","0.0","3,6","15",",6","8",",6","0",",6","","","","","0","2,6","1","2,6","0","1,6","4","1,6","0","1,6","","","-0.6","2,6,26,","","","","","22.1",",,6,02,","24.4","1,6,09,","","","247.0","1,6","101.0",",,,6","","","9.74","3,6","15.10","1,,,6","4.37","2,,,6"
"USC00204790","1897-06","44.68472","-83.41222","239.3","LINCOLN, MI US","","","15.0",",6","9",",6","3",",6","0",",6","","","","","0",",6","1",",6","0",",6","15",",6","0",",6","","","0.0",",6,09,","","","","","16.5",",,6,29,","28.3",",6,14,","","","121.0",",6","30.8",",,,6","","","14.80",",6","21.26",",,,6","8.34",",,,6"
"USC00204790","1897-07","44.68472","-83.41222","239.3","LINCOLN, MI US","","","95.3",",6","13",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","28",",6","5",",6","","","11.1",",6,14,","","","","","58.2",",,6,21,","36.1",",6,09,","3.7","6","3.7",",6","130.7",",,,6","","","21.29",",6","26.90",",,,6","15.68",",,,6"
"USC00204790","1897-08","44.68472","-83.41222","239.3","LINCOLN, MI US","","","15.5",",6","9",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","21",",6","0",",6","","","4.4",",6,31,","","","","","25.4",",,6,09,","27.2",",6,29,+","66.1","6","62.4",",6","77.0",",,,6","","","16.82",",6","22.60",",,,6","11.04",",,,6"
"USC00204790","1897-09","44.68472","-83.41222","239.3","LINCOLN, MI US","","","37.3","2,6","5",",6","3",",6","0",",6","","","","","0","1,6","2","1,6","0","1,6","17","1,6","1","1,6","","","-1.1","1,6,21,","","","","","15.5",",,6,13,","32.8","1,6,09,","165.5","6","99.4","1,6","27.2",",,,6","","","16.11","2,6","23.13","1,,,6","9.10","1,,,6"
"USC00204790","1897-10","44.68472","-83.41222","239.3","LINCOLN, MI US","","","5.0",",6","7",",6","5",",6","0",",6","","","","","0",",6","6",",6","0",",6","3",",6","0",",6","","","-1.7",",6,28,","","","","","24.9",",,6,19,","28.3",",6,15,","418.0","6","252.5",",6","85.4",",,,6","","","10.35",",6","15.24",",,,6","5.46",",,,6"
