"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00230536","1893-01","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0","3,6","","","","","","","1",",6","0","2,6","28","2,6","5","1,6","0","1,6","0","1,6","","","-15.6","2,6,17,+","38",",,6,02,","","","18.9","1,6,28,","","","557.2","1,6","","","100",",,,6","-1.30","3,6","5.69","1,,,6","-8.30","2,,,6"
"USC00230536","1893-02","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0","5,6","","","","","","","0",",6","1","2,6","22","2,6","1","3,6","0","3,6","0","3,6","","","-21.7","2,6,07,","15",",,6,17,","","","16.1","3,6,27,","","","415.8","3,6","","","25",",,,6","0.14","5,6","7.42","3,,,6","-7.13","2,,,6"
"USC00230536","1893-03","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0","4,6","11",",6","8",",6","0",",6","1",",6","0","2,6","17","2,6","4","2,6","3","2,6","0","2,6","","","-14.4","2,6,04,","43",",,6,16,","22.6",",,6,22,","27.8","2,6,22,","","","330.0","2,6","93.8",",,,6","67",",,,6","6.15","4,6","13.43","2,,,6","-1.13","2,,,6"
"USC00230536","1893-05","38.25","-91.75","312.1","BELLE, MO US","","","","","11",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","","","55.6",",,6,26,","","","","","","","162.3",",,,6","","","","","","","",""
"USC00230536","1893-06","38.25","-91.75","312.1","BELLE, MO US","","","","","14",",6","9",",6","3",",6","","","","","","","","","","","","","","","","","","","32.0",",,6,24,","","","","","","","158.6",",,,6","","","","","","","",""
"USC00230536","1893-07","38.25","-91.75","312.1","BELLE, MO US","","","","","13",",6","8",",6","4",",6","","","","","","","","","","","","","","","","","","","36.1",",,6,09,","","","","","","","150.7",",,,6","","","","","","","",""
"USC00230536","1893-08","38.25","-91.75","312.1","BELLE, MO US","","","104.5",",6","5",",6","4",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","6",",6","","","4.4",",6,31,","","","31.2",",,6,11,","35.0",",6,10,+","","","11.3",",6","64.8",",,,6","","","21.34",",6","28.78",",,,6","13.89",",,,6"
"USC00230536","1893-09","38.25","-91.75","312.1","BELLE, MO US","","","106.2",",6","9",",6","8",",6","1",",6","","","0",",6","1",",6","0",",6","26",",6","12",",6","","","-1.1",",6,26,","","","53.3",",,6,24,","38.3",",6,14,","","","50.1",",6","101.3",",,,6","","","20.21",",6","28.40",",,,6","12.01",",,,6"
"USC00230536","1893-10","38.25","-91.75","312.1","BELLE, MO US","","","19.4",",6","3",",6","2",",6","0",",6","","","0",",6","9",",6","0",",6","16",",6","1",",6","","","-3.9",",6,16,","","","10.4",",,6,05,","32.2",",6,01,","","","177.2",",6","14.2",",,,6","","","13.24",",6","21.29",",,,6","5.19",",,,6"
"USC00230536","1893-11","38.25","-91.75","312.1","BELLE, MO US","","","0.0","2,6","5",",6","3",",6","0",",6","","","0","1,6","20","1,6","1","1,6","2","1,6","0","1,6","","","-16.7","1,6,24,","","","18.8",",,6,26,","23.3","1,6,01,","","","389.4","1,6","38.1",",,,6","","","4.12","2,6","11.46","1,,,6","-3.22","1,,,6"
