"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00255500","1895-11","40.766667","-97.016667",,"MILFORD, NE US","5",",6","4",",6","0",",6","1",",6","38",",,6,24,","7.6",",,6,13,","25.9",",,,6","61",",,,6"
"USC00255500","1895-12","40.766667","-97.016667",,"MILFORD, NE US","2","2,6","0","2,6","0","2,6","0",",6","8",",,6,31,","0.8","2,,6,31,","1.3","2,,,6","13",",,,6"
"USC00255500","1896-01","40.766667","-97.016667",,"MILFORD, NE US","2","1,6","1","1,6","0","1,6","0",",6","15",",,6,15,","11.4","1,,6,31,","12.9","1,,,6","15",",,,6"
"USC00255500","1896-02","40.766667","-97.016667",,"MILFORD, NE US","3","1,6","1","1,6","0","1,6","1",",6","51",",,6,29,","5.1","1,,6,29,","6.7","1,,,6","67",",,,6"
"USC00255500","1896-03","40.766667","-97.016667",,"MILFORD, NE US","7","2,6","5","2,6","0","2,6","4",",6","114",",,6,22,+","11.4","2,,6,22,+","44.5","2,,,6","368",",,,6"
"USC00255500","1896-04","40.766667","-97.016667",,"MILFORD, NE US","15",",6","9",",6","0",",6","","","","","20.3",",,6,28,","110.1",",,,6","",""
"USC00255500","1896-05","40.766667","-97.016667",,"MILFORD, NE US","17",",6","11",",6","3",",6","","","","","43.9",",,6,31,","199.0",",,,6","",""
"USC00255500","1896-06","40.766667","-97.016667",,"MILFORD, NE US","11",",6","7",",6","1",",6","","","","","38.1",",,6,22,","91.4",",,,6","",""
"USC00255500","1896-07","40.766667","-97.016667",,"MILFORD, NE US","10",",6","6",",6","2",",6","","","","","112.3",",,6,01,","199.4",",,,6","",""
"USC00255500","1896-09","40.766667","-97.016667",,"MILFORD, NE US","5",",6","4",",6","1",",6","","","","","71.1",",,6,10,","115.1",",,,6","",""
"USC00255500","1896-10","40.766667","-97.016667",,"MILFORD, NE US","2",",6","2",",6","1",",6","","","","","65.0",",,6,30,","75.2",",,,6","",""
"USC00255500","1896-11","40.766667","-97.016667",,"MILFORD, NE US","1","1,6","1","1,6","1","1,6","0",",6","13",",,6,26,","62.2","1,,6,25,","62.2","1,,,6","13",",,,6"
"USC00255500","1896-12","40.766667","-97.016667",,"MILFORD, NE US","1",",6","1",",6","0",",6","","","","","13.2",",,6,31,","13.2",",,,6","",""
"USC00255500","1897-01","40.766667","-97.016667",,"MILFORD, NE US","2",",6","2",",6","0",",6","","","","","20.3",",,6,05,","30.5",",,,6","",""
"USC00255500","1897-03","40.766667","-97.016667",,"MILFORD, NE US","5",",6","4",",6","1",",6","","","","","78.7",",,6,31,","107.9",",,,6","",""
