"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00264341","1984-01","40.0634","-114.6148","1816.6","LAGES, NV US","0.0","0","0.0",",0","4",",0","2",",0","0",",0","10",",0","2",",0","6",",0","31",",0","8",",0","0",",0","0",",0","-24.4",",0,18,","25",",,0,27,+","38",",,0,26,","3.0",",,0,11,","8.9",",0,27,+","","","702.4",",0","7.0",",,,0","84",",,,0","-4.32",",0","2.93",",,,0","-11.57",",,,0"
"USC00264341","1984-02","40.0634","-114.6148","1816.6","LAGES, NV US","0.0","0","0.0",",0","3",",0","2",",0","0",",0","","","2",",0","0",",0","29",",0","0",",0","0",",0","0",",0","-16.1",",0,18,","","","76",",,0,16,","5.8",",,0,16,","13.3",",0,29,","","","574.9",",0","8.8",",,,0","122",",,,0","-1.49",",0","6.58",",,,0","-9.56",",,,0"
"USC00264341","1984-03","40.0634","-114.6148","1816.6","LAGES, NV US","0.0","0","0.0","1,0","10",",0","3",",0","0",",0","","","0",",0","0",",0","29",",0","0","1,0","0","1,0","0","1,0","-11.7",",0,05,","","","13",",,0,17,","10.2",",,0,17,","16.1","1,0,20,","","","471.1","1,0","25.7",",,,0","37",",,,0","2.56","1,0","9.56","1,,,0","-4.45",",,,0"
"USC00264341","1984-04","40.0634","-114.6148","1816.6","LAGES, NV US","0.0","0","0.0",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","3",",0","0",",0","-10.6",",0,08,","0",",T,0,02,+","13",",,0,01,","7.6",",,0,19,","25.6",",0,16,","","","403.3",",0","11.8",",,,0","21",",,,0","4.89",",0","12.89",",,,0","-3.11",",,,0"
"USC00264341","1984-05","40.0634","-114.6148","1816.6","LAGES, NV US","5.5","0","5.5","1,0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0","1,0","20","1,0","1","1,0","-6.7",",0,07,","0",",,0,31,+","0",",,0,31,+","5.3",",,0,31,","32.8","1,0,29,","","","142.7","1,0","9.6",",,,0","0",",,,0","13.74","1,0","23.19","1,,,0","4.28",",,,0"
"USC00264341","1984-06","40.0634","-114.6148","1816.6","LAGES, NV US","29.1","0","23.6",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","21",",0","5",",0","-1.7",",0,10,","0",",,0,30,+","0",",,0,30,+","6.4",",,0,06,","35.0",",0,29,+","","","106.8",",0","16.8",",,,0","0",",,,0","15.56",",0","25.51",",,,0","5.61",",,,0"
"USC00264341","1984-07","40.0634","-114.6148","1816.6","LAGES, NV US","125.7","0","96.6",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","6.1",",0,10,","0",",,0,31,+","0",",,0,31,+","22.1",",,0,28,","36.7",",0,18,","1.4","0","1.4",",0","56.9",",,,0","0",",,,0","21.40",",0","31.18",",,,0","11.62",",,,0"
"USC00264341","1984-08","40.0634","-114.6148","1816.6","LAGES, NV US","185.3","0","59.6",",0","12",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","7",",0","7.8",",0,22,","0",",,0,31,+","0",",,0,31,+","5.3",",,0,14,","33.9",",0,29,","1.5","0","0.1",",0","24.9",",,,0","0",",,,0","20.25",",0","29.61",",,,0","10.90",",,,0"
"USC00264341","1984-09","40.0634","-114.6148","1816.6","LAGES, NV US","202.5","0","17.2",",0","5",",0","3",",0","0",",0","0",",0","0","1,0","0",",0","7",",0","0",",0","26",",0","1",",0","-5.0",",0,25,","0",",,0,30,+","0","1,,0,30,+","16.0",",,0,24,","32.8",",0,04,","100.7","0","99.2",",0","28.9",",,,0","0","1,,,0","15.60",",0","25.87",",,,0","5.33",",,,0"
"USC00264341","1984-10","40.0634","-114.6148","1816.6","LAGES, NV US","202.5","0","0.0",",0","9",",0","5",",0","0",",0","0",",0","1",",0","0",",0","19",",0","0",",0","5",",0","0",",0","-10.6",",0,18,","0",",T,0,17,","38",",,0,17,","18.0",",,0,01,","25.0",",0,08,","482.4","0","381.7",",0","38.2",",,,0","38",",,,0","6.02",",0","13.48",",,,0","-1.44",",,,0"
