"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298289","1929-02","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","","","","","","","3",",6","","","","","","","","","","","","","51",",,6,28,","","","","","","","","","","","","","106",",,,6","","","","","","","",""
"USC00298289","1929-03","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0",",6","5","1,6","5","1,6","0","1,6","5",",6","0",",6","20",",6","0",",6","3",",6","0",",6","-16.7",",6,01,","152",",,6,28,","11.2","1,,6,28,","23.3",",6,20,","","","","","346.7",",6","32.7","1,,,6","406",",,,6","7.15",",6","15.49",",,,6","-1.19",",,,6","6451",",,,6"
"USC00298289","1929-04","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","13",",6","0",",6","16",",6","0",",6","-4.4",",6,09,","0",",,6,30,+","0.0",",,6,30,+","26.7",",6,17,","2622.7",",,,6","","","223.5",",6","0.0",",,,6","0",",,,6","10.88",",6","20.70",",,,6","1.06",",,,6","8874",",,,6"
"USC00298289","1929-05","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","3.1","2,6","10",",6","10",",6","2",",6","1",",6","0","2,6","1","2,6","0",",6","21",",6","0",",6","-5.0","2,6,02,","38",",,6,01,","30.2",",,6,21,","30.6",",6,10,","2221.8","2,,,6","","","126.4",",6","142.4",",,,6","38",",,,6","14.03","2,6","22.01",",,,6","6.06","2,,,6","7851",",,,6"
"USC00298289","1929-06","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","33.6",",6","4",",6","3",",6","0",",6","0",",6","0",",6","0",",6","0",",6","30",",6","4",",6","5.0",",6,13,","0",",,6,30,+","14.0",",,6,25,","33.3",",6,21,","2798.4",",,,6","","","15.9",",6","22.3",",,,6","0",",,,6","18.92",",6","27.68",",,,6","10.17",",,,6","5282",",,,6"
"USC00298289","1929-07","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","72.7",",6","9",",6","7",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","1",",6","8.9",",6,03,","0",",,6,31,+","24.1",",,6,18,","32.8",",6,17,","","","1.7","6","1.7",",6","101.6",",,,6","0",",,,6","20.62",",6","27.68",",,,6","13.57",",,,6","2860",",,,6"
"USC00298289","1929-08","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","69.7",",6","12",",6","9",",6","0",",6","0",",6","0",",6","0",",6","0",",6","30",",6","1",",6","8.9",",6,15,","0",",,6,31,+","18.0",",,6,11,","32.2",",6,02,","1513.3",",,,6","2.2","6","0.5",",6","88.9",",,,6","0",",,,6","20.56",",6","27.65",",,,6","13.48",",,,6","1290",",,,6"
"USC00298289","1929-09","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","16.7",",6","8",",6","7",",6","0",",6","0",",6","0",",6","0",",6","0",",6","29",",6","0",",6","3.3",",6,09,","0",",,6,30,+","18.5",",,6,29,","30.0",",6,03,","1506.9",",,,6","40.7","6","38.5",",6","61.2",",,,6","0",",,,6","17.61",",6","25.77",",,,6","9.45",",,,6","2590",",,,6"
"USC00298289","1929-10","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","6.4",",6","4",",6","2",",6","0",",6","1",",6","0",",6","9",",6","0",",6","21",",6","0",",6","-9.4",",6,25,+","89",",,6,29,","11.4",",,6,29,","28.9",",6,05,","1169.0",",,,6","255.3","6","214.6",",6","18.8",",,,6","89",",,,6","11.62",",6","20.28",",,,6","2.95",",,,6","2065",",,,6"
"USC00298289","1929-11","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0","1,6","2",",6","2",",6","0",",6","","","0",",6","28",",6","2","1,6","1","1,6","0","1,6","-17.2",",6,02,","","","5.8",",,6,01,","21.1","1,6,17,","","","746.4","6","491.1","1,6","10.9",",,,6","","","1.49","1,6","9.56","1,,,6","-6.57",",,,6","2815",",,,6"
