"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00310750","2011-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.5","4,a,,7","","","","","",""
"USC00310750","2011-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","34.4","3,7","11","3,7","7","3,7","0","3,7","0","3,7","0","3,7","0","3,7","20","3,7","0","3,7","2","","","","1.1","3,7,03,","20.8","3,,7,17,","30.6","3,7,25,","","","82.7","3,7","74.6","3,,,7","16.54","3,7","22.74","3,,,7","10.34","3,,,7"
"USC00310750","2011-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2011-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","0","5,7","25","5,7","18","5,7","","","","","","","","","35.6","5,7,29,","","","","","46.3","4,a,,7","","","32.49","5,,,7","",""
"USC00310750","2011-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","258.9","3,7","10","3,7","8","3,7","3","3,7","0","3,7","0","3,7","0","3,7","28","3,7","20","3,7","1","","","","18.9","3,7,15,","36.8","3,,7,26,","37.2","3,7,26,+","0.0","7","0.0","3,7","135.7","3,,,7","27.58","3,7","33.59","3,,,7","21.57","3,,,7"
"USC00310750","2011-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","10","3,7","8","3,7","3","3,7","","","","","","","","","","","1","","","","","","35.6","3,,7,14,","","","","","","","156.1","3,,,7","","","","","",""
"USC00310750","2011-12","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","37.1","1,a,,7","","","","","",""
"USC00310750","2012-01","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","65.9","4,a,,7","","","","","",""
"USC00310750","2012-02","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2","4,a,,7","","","","","",""
"USC00310750","2012-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.0","5,a,,7","","","","","",""
