"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00330102","1926-10","40.93333","-81.1","320.0","ALLIANCE, OH US","14",",6","10",",6","1",",6","","","0",",6","","","","","0",",T,6,31,+","35.3",",,6,24,","149.8",",,,6","0",",T,,6"
"USC00330102","1926-11","40.93333","-81.1","320.0","ALLIANCE, OH US","13",",6","5",",6","0",",6","","","0",",6","","","","","18",",,6,18,","24.6",",,6,16,","64.1",",,,6","36",",,,6"
"USC00330102","1926-12","40.93333","-81.1","320.0","ALLIANCE, OH US","15",",6","7",",6","1",",6","","","3",",6","","","","","86",",,6,29,","25.7",",,6,26,","67.5",",,,6","201",",,,6"
"USC00330102","1927-01","40.93333","-81.1","320.0","ALLIANCE, OH US","14",",6","11",",6","0",",6","15",",6","4",",6","","","51",",,6,18,+","46",",,6,05,","23.9",",,6,19,","96.6",",,,6","134",",,,6"
"USC00330102","1927-02","40.93333","-81.1","320.0","ALLIANCE, OH US","15",",6","10",",6","0",",6","7",",6","4",",6","","","152",",,6,21,","102",",,6,20,","13.0",",,6,05,","63.7",",,,6","255",",,,6"
"USC00330102","1927-03","40.93333","-81.1","320.0","ALLIANCE, OH US","14",",6","7",",6","1",",6","0",",6","0",",6","","","0",",,6,31,+","0",",T,6,28,+","26.7",",,6,20,","92.5",",,,6","0",",T,,6"
"USC00330102","1927-04","40.93333","-81.1","320.0","ALLIANCE, OH US","17",",6","8",",6","0",",6","","","0",",6","","","","","0",",T,6,25,+","15.0",",,6,27,","65.5",",,,6","0",",T,,6"
"USC00330102","1927-05","40.93333","-81.1","320.0","ALLIANCE, OH US","17",",6","10",",6","1",",6","","","","","","","","","","","30.5",",,6,19,","118.6",",,,6","",""
"USC00330102","1927-06","40.93333","-81.1","320.0","ALLIANCE, OH US","9",",6","7",",6","1",",6","","","","","","","","","","","31.2",",,6,04,","87.9",",,,6","",""
"USC00330102","1927-07","40.93333","-81.1","320.0","ALLIANCE, OH US","15",",6","10",",6","2",",6","","","","","","","","","","","45.2",",,6,31,","160.8",",,,6","",""
"USC00330102","1927-08","40.93333","-81.1","320.0","ALLIANCE, OH US","7",",6","6",",6","1",",6","","","","","","","","","","","28.7",",,6,19,","72.2",",,,6","",""
"USC00330102","1927-09","40.93333","-81.1","320.0","ALLIANCE, OH US","8",",6","7",",6","1",",6","","","","","","","","","","","28.2",",,6,18,","68.4",",,,6","",""
"USC00330102","1927-10","40.93333","-81.1","320.0","ALLIANCE, OH US","8",",6","5",",6","0",",6","","","","","","","","","","","15.5",",,6,12,","47.2",",,,6","",""
"USC00330102","1927-11","40.93333","-81.1","320.0","ALLIANCE, OH US","17",",6","11",",6","2",",6","","","0",",6","","","","","0",",T,6,18,+","48.8",",,6,30,","154.8",",,,6","0",",T,,6"
"USC00330102","1927-12","40.93333","-81.1","320.0","ALLIANCE, OH US","15",",6","10",",6","2",",6","2","1,6","3",",6","","","25","1,,6,21,+","102",",,6,16,","31.0",",,6,13,","138.6",",,,6","152",",,,6"
"USC00330102","1928-01","40.93333","-81.1","320.0","ALLIANCE, OH US","11",",6","5",",6","0",",6","","","1","3,6","","","","","51","3,,6,25,","14.0",",,6,24,","48.5",",,,6","51","3,,,6"
"USC00330102","1928-02","40.93333","-81.1","320.0","ALLIANCE, OH US","10",",6","9",",6","0",",6","","","3",",6","","","","","51",",,6,17,+","20.3",",,6,15,","80.0",",,,6","127",",,,6"
"USC00330102","1928-03","40.93333","-81.1","320.0","ALLIANCE, OH US","15",",6","9",",6","0",",6","","","5",",6","","","","","76",",,6,18,","18.3",",,6,30,","78.5",",,,6","189",",,,6"
"USC00330102","1928-04","40.93333","-81.1","320.0","ALLIANCE, OH US","12",",6","8",",6","0",",6","","","1",",6","","","","","25",",,6,01,","24.6",",,6,21,","79.8",",,,6","25",",,,6"
"USC00330102","1928-05","40.93333","-81.1","320.0","ALLIANCE, OH US","11",",6","4",",6","0",",6","","","","","","","","","","","9.7",",,6,20,","29.3",",,,6","",""
"USC00330102","1928-06","40.93333","-81.1","320.0","ALLIANCE, OH US","16",",6","9",",6","1",",6","","","","","","","","","","","25.9",",,6,04,","142.0",",,,6","",""
"USC00330102","1928-07","40.93333","-81.1","320.0","ALLIANCE, OH US","13",",6","10",",6","3",",6","","","","","","","","","","","52.8",",,6,20,","197.0",",,,6","",""
"USC00330102","1928-08","40.93333","-81.1","320.0","ALLIANCE, OH US","8",",6","6",",6","0",",6","","","","","","","","","","","22.9",",,6,05,","83.3",",,,6","",""
"USC00330102","1928-09","40.93333","-81.1","320.0","ALLIANCE, OH US","3",",6","2",",6","0",",6","","","","","","","","","","","3.6",",,6,20,","6.4",",,,6","",""
"USC00330102","1928-10","40.93333","-81.1","320.0","ALLIANCE, OH US","11",",6","6",",6","0",",6","","","","","","","","","","","10.9",",,6,18,","42.0",",,,6","",""
"USC00330102","1928-11","40.93333","-81.1","320.0","ALLIANCE, OH US","18",",6","12",",6","1",",6","","","3",",6","","","","","25",",,6,26,+","25.4",",,6,19,","84.4",",,,6","75",",,,6"
"USC00330102","1928-12","40.93333","-81.1","320.0","ALLIANCE, OH US","6",",6","4",",6","0",",6","","","0",",6","","","","","0",",T,6,21,+","10.2",",,6,14,","30.4",",,,6","0",",T,,6"
"USC00330102","1929-01","40.93333","-81.1","320.0","ALLIANCE, OH US","15",",6","9",",6","0",",6","","","5",",6","","","","","203",",,6,15,","18.3",",,6,25,","113.0",",,,6","380",",,,6"
"USC00330102","1929-02","40.93333","-81.1","320.0","ALLIANCE, OH US","11",",6","7",",6","1",",6","","","3",",6","","","","","102",",,6,19,","30.5",",,6,26,","59.3",",,,6","238",",,,6"
"USC00330102","1929-03","40.93333","-81.1","320.0","ALLIANCE, OH US","12",",6","7",",6","0",",6","","","1",",6","","","","","102",",,6,05,","18.0",",,6,26,","69.1",",,,6","102",",,,6"
"USC00330102","1929-04","40.93333","-81.1","320.0","ALLIANCE, OH US","15",",6","11",",6","1",",6","","","0",",6","","","","","0",",T,6,13,","25.4",",,6,21,","137.4",",,,6","0",",T,,6"
"USC00330102","1929-05","40.93333","-81.1","320.0","ALLIANCE, OH US","13","1,6","10","1,6","1","1,6","","","0",",6","","","","","0",",T,6,03,","41.9","1,,6,02,","170.9","1,,,6","0",",T,,6"
