"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00345020","2009-02","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","4.2",",0","4",",0","2",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0",",0","8",",0","0",",0","-7.2",",0,04,","0",",,0,28,+","0",",,0,28,+","27.2",",,0,10,","28.3",",0,26,","","","  13.9",",,,0,3,2","238.8",",0","  21.1",",,,0,3,2","   0.6",",,,0,3,2","   8.3",",,,0,3,2","   6.0",",,,0,3,2","  13.3",",,,0,3,2","38.4",",,,0","0",",,,0","9.95",",0","17.01",",,,0","2.90",",,,0"
"USC00345020","2009-03","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","10.3",",0","13",",0","8",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","12",",0","0",",0","-7.8",",0,02,","0",",,0,31,+","0",",,0,31,+","18.3",",,0,19,","26.7",",0,06,+","","","  15.6",",,,0,3,2","204.1",",0","  22.8",",,,0,3,2","   1.7",",,,0,3,2","   7.8",",,,0,3,2","   9.0",",,,0,3,2","  15.8",",,,0,3,2","80.8",",,,0","0",",,,0","12.08",",0","18.27",",,,0","5.90",",,,0"
"USC00345020","2009-04","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","26.7",",0","11",",0","5",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","21",",0","0",",0","-3.3",",0,07,","0",",,0,30,+","0",",,0,30,+","44.2",",,0,29,","31.7",",0,22,","","","  18.9",",,,0,3,2","107.4",",0","  24.4",",,,0,3,2","   3.3",",,,0,3,2","  13.3",",,,0,3,2","  11.5",",,,0,3,2","  19.2",",,,0,3,2","124.6",",,,0","0",",,,0","15.64",",0","22.33",",,,0","8.95",",,,0"
"USC00345020","2009-05","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","64.5",",0","20",",0","10",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","7.8",",0,18,","0",",,0,31,+","0",",,0,31,+","35.8",",,0,02,","31.7",",0,31,","","","  21.1",",,,0,3,2","24.2",",0","  28.9",",,,0,3,2","  13.9",",,,0,3,2","  17.2",",,,0,3,2","  17.4",",,,0,3,2","  24.4",",,,0,3,2","181.5",",,,0","0",",,,0","19.63",",0","24.84",",,,0","14.43",",,,0"
"USC00345020","2009-06","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","241.0",",0","6",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","12.8",",0,05,","0",",,0,30,+","0",",,0,30,+","62.0",",,0,03,","36.1",",0,27,","","","  25.6",",,,0,3,2","0.0",",0","  35.0",",,,0,3,2","  17.8",",,,0,3,2","  25.6",",,,0,3,2","  22.9",",,,0,3,2","  30.9",",,,0,3,2","118.1",",,,0","0",",,,0","26.37",",0","32.01",",,,0","20.72",",,,0"
"USC00345020","2009-07","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","264.6",",0","8",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","15.6",",0,23,","0",",,0,31,+","0",",,0,31,+","81.8",",,0,27,","38.3",",0,25,","0.0","0","  27.2",",,,0,3,2","0.0",",0","  38.9",",,,0,3,2","  21.7",",,,0,3,2","  26.7",",,,0,3,2","  24.5",",,,0,3,2","  34.3",",,,0,3,2","151.7",",,,0","0",",,,0","26.87",",0","33.05",",,,0","20.69",",,,0"
"USC00345020","2009-08","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","240.2",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","13.9",",0,31,","0",",,0,31,+","0",",,0,31,+","25.9",",,0,11,","34.4",",0,17,+","0.0","0","  25.0",",,,0,3,2","0.0",",0","  32.8",",,,0,3,2","  19.4",",,,0,3,2","  27.2",",,,0,3,2","  23.1",",,,0,3,2","  30.8",",,,0,3,2","81.3",",,,0","0",",,,0","26.08",",0","31.77",",,,0","20.39",",,,0"
"USC00345020","2009-09","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","119.4",",0","13",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","6",",0","7.8",",0,29,","0",",,0,30,+","0",",,0,30,+","40.6",",,0,12,","34.4",",0,09,","8.3","0","  23.3",",,,0,3,2","8.3",",0","  31.1",",,,0,3,2","  14.4",",,,0,3,2","  20.6",",,,0,3,2","  19.8",",,,0,3,2","  26.2",",,,0,3,2","153.3",",,,0","0",",,,0","22.04",",0","27.40",",,,0","16.67",",,,0"
"USC00345020","2009-10","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","9.2","1,0","21",",0","15",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","12","1,0","0","1,0","1.7",",0,24,","0",",,0,31,+","0",",,0,31,+","42.2",",,0,09,","30.0","1,0,08,+","128.3","0","  18.3",",,,0,3,2","120.0","1,0","  25.0",",,,0,3,2","   8.3",",,,0,3,2","  14.4",",,,0,3,2","  13.3",",,,0,3,2","  18.8",",,,0,3,2","294.8",",,,0","0",",,,0","14.65","1,0","19.75","1,,,0","9.54",",,,0"
"USC00345020","2009-11","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","0.0",",0","6","1,0","3","1,0","0","1,0","0","1,0","0","1,0","0",",0","4",",0","0",",0","16",",0","0",",0","-1.7",",0,25,","0","1,,0,30,+","0","1,,0,30,+","15.0","1,,0,15,","24.4",",0,09,+","287.0","0","  15.6",",,,0,3,2","158.7",",0","  21.1",",,,0,3,2","   5.0",",,,0,3,2","   9.4",",,,0,3,2","  10.0",",,,0,3,2","  16.6",",,,0,3,2","25.6","1,,,0","0","1,,,0","13.04",",0","19.93",",,,0","6.15",",,,0"
"USC00345020","2009-12","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","","","0.0",",0","","","","","","","0","1,0","0",",0","0",",0","23",",0","0",",0","1",",0","0",",0","-9.4",",0,10,","0","1,,0,31,+","0",",,0,31,+","","","21.1",",0,23,","762.4","0","  11.1",",,,0,3,2","475.4",",0","  15.0",",,,0,3,2","   1.1",",,,0,3,2","   3.3",",,,0,3,2","   3.0",",,,0,3,2","   7.1",",,,0,3,2","28.3","2,a,,0","0",",,,0","3.00",",0","8.31",",,,0","-2.32",",,,0"
"USC00345020","2010-01","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","0.0","0","0.0",",0","","","","","","","","","","","0",",0","18",",0","4",",0","1",",0","0",",0","-14.4",",0,09,","","","","","","","21.1",",0,19,","1222.0","0","  12.2",",,,0,3,2","459.6",",0","  15.6",",,,0,3,2","  -2.8",",,,0,3,2","   0.0",",,,0,3,2","   2.9",",,,0,3,2","   6.3",",,,0,3,2","74.4",",a,,0","","","3.51",",0","9.02",",,,0","-2.00",",,,0"
"USC00345020","2010-02","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","0.0","0","0.0",",0","","","","","","","0",",0","0",",0","0",",0","20",",0","0",",0","0",",0","0",",0","-6.7",",0,09,","0",",,0,28,+","0",",,0,28,+","","","16.7",",0,20,","1642.3","0","   7.8",",,,0,3,2","420.3",",0","  14.4",",,,0,3,2","   0.6",",,,0,3,2","   3.3",",,,0,3,2","   2.6",",,,0,3,2","   7.3",",,,0,3,2","","","0",",,,0","3.32",",0","7.98",",,,0","-1.34",",,,0"
"USC00345020","2010-03","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","1.4","0","1.4",",0","6","2,0","3","2,0","1","2,0","0",",0","0",",0","0",",0","7",",0","0",",0","6",",0","0",",0","-4.4",",0,03,","0",",,0,31,+","0",",,0,31,+","33.5","2,,0,08,","27.2",",0,31,","1882.2","0","  11.1",",,,0,3,2","239.9",",0","  20.0",",,,0,3,2","   2.2",",,,0,3,2","   3.9",",,,0,3,2","   6.6",",,,0,3,2","  14.2",",,,0,3,2","69.1",",a,,0","0",",,,0","10.64",",0","17.24",",,,0","4.04",",,,0"
"USC00345020","2010-04","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","23.4","0","22.0",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","2.2",",0,09,","0",",,0,30,+","0",",,0,30,+","22.4",",,0,02,","27.2",",0,29,+","1944.6","0","  18.9",",,,0,3,2","62.4",",0","  23.9",",,,0,3,2","   8.3",",,,0,3,2","  15.6",",,,0,3,2","  13.1",",,,0,3,2","  20.7",",,,0,3,2","65.4",",,,0","0",",,,0","16.98",",0","23.46",",,,0","10.51",",,,0"
"USC00345020","2010-05","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","137.9","0","114.5",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","7.8",",0,04,+","0",",,0,31,+","0",",,0,31,+","72.6",",,0,20,","32.2",",0,30,+","1951.0","0","  22.8",",,,0,3,2","6.4",",0","  32.2",",,,0,3,2","  12.8",",,,0,3,2","  19.4",",,,0,3,2","  18.5",",,,0,3,2","  26.5",",,,0,3,2","143.1",",,,0","0",",,,0","21.82",",0","27.69",",,,0","15.95",",,,0"
"USC00345020","2010-06","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","418.7","0","280.8",",0","5",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","23",",0","18.3",",0,30,","0",",,0,30,+","0",",,0,30,+","23.4",",,0,29,","35.6",",0,24,+","1951.0","0","  26.1",",,,0,3,2","0.0",",0","  37.2",",,,0,3,2","  22.2",",,,0,3,2","  28.9",",,,0,3,2","  24.2",",,,0,3,2","  33.0",",,,0,3,2","75.3",",,,0","0",",,,0","27.69",",0","33.37",",,,0","22.02",",,,0"
"USC00345020","2010-07","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","698.4","0","279.7","1,0","7",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","30","1,0","22","1,0","20.6","1,0,30,+","0",",,0,31,+","0",",,0,31,+","74.2",",,0,07,","36.7","1,0,31,","0.0","0","  26.7","1,,,0,3,2","0.0","1,0","  37.8","1,,,0,3,2","  23.3","1,,,0,3,2","  27.2","1,,,0,3,2","  25.3","1,,,0,3,2","  33.4","1,,,0,3,2","145.5",",,,0","0",",,,0","27.66","1,0","32.57","1,,,0","22.74","1,,,0"
"USC00345020","2010-08","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","1041.0","0","342.6",",0","7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","13.9",",0,28,+","0",",,0,31,+","0",",,0,31,+","25.7",",,0,15,","38.9",",0,15,+","0.0","0","  28.3",",,,0,3,2","0.0",",0","  41.7",",,,0,3,2","  22.2",",,,0,3,2","  34.4",",,,0,3,2","  26.6",",,,0,3,2","  38.4",",,,0,3,2","47.1",",,,0","0",",,,0","29.39",",0","36.34",",,,0","22.43",",,,0"
"USC00345020","2010-09","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","1218.6","0","177.6",",0","12",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","11",",0","8.9",",0,28,+","0",",,0,30,+","0",",,0,30,+","39.6",",,0,09,","33.9",",0,11,+","5.0","0","  25.0",",,,0,3,2","5.0",",0","  34.4",",,,0,3,2","  14.4",",,,0,3,2","  23.3",",,,0,3,2","  21.8",",,,0,3,2","  30.6",",,,0,3,2","159.6",",,,0","0",",,,0","24.09",",0","29.85",",,,0","18.32",",,,0"
"USC00345020","2010-10","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","1231.6","0","13.0",",0","9",",0","3",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","28",",0","0",",0","0.0",",0,29,","0",",,0,31,+","0",",,0,31,+","34.8",",,0,23,","29.4",",0,09,+","63.5","0","  17.8",",,,0,3,2","58.5",",0","  27.8",",,,0,3,2","   7.8",",,,0,3,2","  19.4",",,,0,3,2","  13.9",",,,0,3,2","  24.0",",,,0,3,2","57.1",",,,0","0",",,,0","16.86",",0","25.55",",,,0","8.18",",,,0"
"USC00345020","2010-11","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","1237.5","0","5.9",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","11",",0","0",",0","-5.6",",0,26,","0",",,0,30,+","0",",,0,30,+","10.9",",,0,29,","26.1",",0,22,","270.0","0","  16.1",",,,0,3,2","206.5",",0","  21.1",",,,0,3,2","   2.8",",,,0,3,2","   9.4",",,,0,3,2","   8.8",",,,0,3,2","  16.3",",,,0,3,2","40.9",",,,0","0",",,,0","11.64",",0","18.34",",,,0","4.95",",,,0"
"USC00345020","2010-12","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","1237.5","0","0.0",",0","6","3,0","5","3,0","1","3,0","0",",0","0",",0","0",",0","18",",0","0",",0","3",",0","0",",0","-7.8",",0,13,","0",",,0,31,+","0",",,0,31,+","39.6","3,,0,24,","22.2",",0,15,","658.6","0","  11.1",",,,0,3,2","388.6",",0","  15.0",",,,0,3,2","   1.1",",,,0,3,2","   5.0",",,,0,3,2","   4.0",",,,0,3,2","   9.9",",,,0,3,2","93.0",",a,,0","0",",,,0","5.80",",0","11.84",",,,0","-0.25",",,,0"
"USC00345020","2011-01","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","0.0","K","0.0",",K","","","","","","","","","","","0",",K","25",",K","3",",K","2",",K","0",",K","-11.7",",K,13,","","","","","","","23.9",",K,29,","1139.4","K","   7.2",",,,K,3,2","480.8",",K","  13.3",",,,K,3,2","   0.0",",,,K,3,2","   0.6",",,,K,3,2","   2.4",",,,K,3,2","   7.0",",,,K,3,2","","","","","2.82",",K","9.78",",,,K","-4.14",",,,K"
"USC00345020","2011-02","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","5.8","K","5.8",",K","","","","","","","","","","","0",",K","15",",K","3",",K","8",",K","0",",K","-16.7",",K,10,","","","","","","","23.9",",K,20,","1470.1","K","","","330.7",",K","","","","","","","","","","","","","","","6.73",",K","13.25",",,,K","0.21",",,,K"
"USC00345020","2011-03","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","20.9","K","15.1",",K","4",",K","3",",K","0",",K","","","","","0",",K","3",",K","0",",K","16",",K","0",",K","-3.3",",K,01,","","","","","5.1",",,K,13,","27.2",",K,19,","1649.9","K","  15.6",",,,K,3,2","179.8",",K","  21.7",",,,K,3,2","   3.3",",,,K,3,2","  11.7",",,,K,3,2","   9.5",",,,K,3,2","  16.2",",,,K,3,2","13.3",",,,K","","","13.02",",K","19.52",",,,K","6.52",",,,K"
"USC00345020","2011-04","34.30861","-95.99694","180.7","LANE 1 WNW MESONET, OK US","70.1","K","49.2",",K","10",",K","7",",K","0",",K","","","","","0",",K","1",",K","0",",K","26",",K","0",",K","-2.2",",K,05,","","","","","17.8",",,K,11,","31.7",",K,09,","1715.6","K","  18.9",",,,K,3,2","65.7",",K","  25.6",",,,K,3,2","   6.7",",,,K,3,2","  16.7",",,,K,3,2","  13.4",",,,K,3,2","  21.0",",,,K,3,2","66.5",",,,K","","","17.78",",K","24.95",",,,K","10.61",",,,K"
