"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00387288","1996-08","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","186.7","2,0","12",",0","9",",0","4",",0","0","1,0","0",",0","0","2,0","0","2,0","0","1,0","30","1,0","1","1,0","","","","","15.6","2,0,22,","0","1,,0,31,+","0",",,0,31,+","82.8",",,0,27,","32.8","1,0,01,","125.0","1,,,0","","","  27.8",",,,0,0,2","0.0","1,0","  33.3",",,,0,0,2","  24.4",",,,0,0,2","  28.9",",,,0,0,2","  26.5",",,,0,0,2","21.52",",,,0","  30.8",",,,0,0,2","33.79",",,,0","230.0",",,,0","0",",,,0","24.78","2,0","30.30","1,,,0","19.27","2,,,0","745",",,,0"
"USC00387288","1996-09","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","133.5",",0","10",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","","","10.6",",0,20,","0",",,0,30,+","0",",,0,30,+","85.9",",,0,11,","32.8",",0,10,","100.8","1,,,0","","","  27.2",",,,0,0,2","0.2",",0","  32.8",",,,0,0,2","  21.7",",,,0,0,2","  25.0",",,,0,0,2","  24.4",",,,0,0,2","18.62",",,,0","  28.0",",,,0,0,2","30.54",",,,0","154.2",",,,0","0",",,,0","22.78",",0","28.59",",,,0","16.96",",,,0","893",",,,0"
"USC00387288","1996-10","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","10",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","84.1",",,0,08,","","","62.6","5,,,0","","","","","","","","","","","","","","","","","","","","","96.2",",,,0","0",",,,0","","","","","","","",""
"USC00387288","1996-11","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","9.6",",0","5",",0","5",",0","0",",0","0",",0","0",",0","0",",0","11",",0","0",",0","11",",0","0",",0","","","","","-4.4",",0,30,+","0",",,0,30,+","0",",,0,30,+","14.0",",,0,09,","26.7",",0,08,+","49.0",",,,0","","","  21.1","1,,,0,0,2","232.4",",0","  22.8","1,,,0,0,2","   9.4","1,,,0,0,2","  11.7","1,,,0,0,2","  13.7","1,,,0,0,2","5.75",",,,0","  16.7","1,,,0,0,2","16.04",",,,0","33.1",",,,0","0",",,,0","10.90",",0","18.25",",,,0","3.56",",,,0","1185",",,,0"
"USC00387288","1996-12","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","0.3","3,0","7",",0","5",",0","1",",0","0",",0","0",",0","0","2,0","14","2,0","0","2,0","13","2,0","0","2,0","","","","","-8.3","2,0,22,+","0",",,0,31,+","0",",,0,31,+","32.8",",,0,19,","25.0","2,0,31,","","","","","  13.9",",,,0,0,2","221.0","2,0","  16.1",",,,0,0,2","   5.6",",,,0,0,2","   7.8",",,,0,0,2","   9.7",",,,0,0,2","","","  12.6",",,,0,0,2","","","67.8",",,,0","0",",,,0","10.19","3,0","18.64","2,,,0","1.75","2,,,0","",""
"USC00387288","1997-01","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","1.1","0","1.1","2,0","12",",0","7",",0","2",",0","0",",0","0",",0","0","2,0","12","2,0","0","1,0","8","1,0","0","1,0","","","","","-6.7","2,0,19,+","0",",,0,31,+","0",",,0,31,+","37.1",",,0,09,","25.6","1,0,01,","","","","","  15.0","1,,,0,0,2","290.1","1,0","  16.7","1,,,0,0,2","   4.4","1,,,0,0,2","   7.2","1,,,0,0,2","   9.2","1,,,0,0,2","","","  12.1","1,,,0,0,2","","","107.1",",,,0","0",",,,0","8.46","2,0","14.95","1,,,0","1.96","2,,,0","",""
"USC00387288","1997-02","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","4.7","0","3.6","1,0","9",",0","3",",0","2",",0","0",",0","0",",0","0","1,0","7","1,0","0",",0","13",",0","0",",0","","","","","-3.3","1,0,12,","0",",,0,28,+","0",",,0,28,+","38.9",",,0,15,","28.9",",0,28,","","","","","  15.0",",,,0,0,2","198.1",",0","  19.4",",,,0,0,2","   7.8",",,,0,0,2","  10.6",",,,0,0,2","  10.2",",,,0,0,2","","","  13.9",",,,0,0,2","","","100.5",",,,0","0",",,,0","11.09","1,0","18.67",",,,0","3.52","1,,,0","",""
"USC00387288","1997-03","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","32.7","0","28.0","2,0","6",",0","4",",0","1",",0","0",",0","0",",0","0","2,0","1","2,0","0",",0","24",",0","0",",0","","","","","-1.1","2,0,17,","0",",,0,31,+","0",",,0,31,+","36.8",",,0,14,","29.4",",0,30,+","","","","","  18.9",",,,0,0,2","68.0",",0","  22.8",",,,0,0,2","  12.2",",,,0,0,2","  18.3",",,,0,0,2","  15.7",",,,0,0,2","","","  20.1",",,,0,0,2","","","59.7",",,,0","0",",,,0","16.92","2,0","24.04",",,,0","9.80","2,,,0","",""
"USC00387288","1997-04","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","45.7","0","13.0","1,0","10",",0","6",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","22",",0","0",",0","","","","","0.6","1,0,18,+","0",",,0,30,+","0",",,0,30,+","64.0",",,0,28,","29.4",",0,23,","109.8","1,,,0","","","  20.0",",,,0,0,2","108.0",",0","  24.4",",,,0,0,2","  14.4",",,,0,0,2","  18.3",",,,0,0,2","  16.5",",,,0,0,2","10.30",",,,0","  21.6",",,,0,0,2","25.14",",,,0","126.0",",,,0","0",",,,0","15.11","1,0","22.97",",,,0","7.25","1,,,0","1250",",,,0"
"USC00387288","1997-05","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","86.2","0","40.5","1,0","7",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","0",",0","","","","","5.0","1,0,05,","0",",,0,31,+","0",",,0,31,+","22.4",",,0,04,","30.6",",0,27,+","142.9",",,,0","","","  22.8",",,,0,0,2","26.6",",0","  27.8",",,,0,0,2","  17.8",",,,0,0,2","  21.1",",,,0,0,2","  19.9",",,,0,0,2","14.37",",,,0","  24.9",",,,0,0,2","29.02",",,,0","34.3",",,,0","0",",,,0","18.81","1,0","26.05",",,,0","11.56","1,,,0","1315",",,,0"
