"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00396227","1948-08","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","6",",0","3",",0","1",",0","","","","","","","","","","","","","","","","","","","","","","","","","36.6",",,0,08,","","","","","","","63.8",",,,0","","","","","","","",""
"USC00396227","1948-09","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","3","1,0","2","1,0","0","1,0","","","","","","","","","","","","","","","","","","","","","","","","","5.1","1,,0,07,","","","","","","","8.4","1,,,0","","","","","","","",""
"USC00396227","1948-10","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","3",",0","2",",0","1",",0","","","","","","","","","","","","","","","","","","","","","","","","","28.2",",,0,29,","","","","","","","31.7",",,,0","","","","","","","",""
"USC00396227","1948-11","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","7",",0","3",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","5.8",",,0,04,","","","","","","","14.9",",,,0","","","","","","","",""
"USC00396227","1948-12","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","3",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","6.9",",,0,24,","","","","","","","8.9",",,,0","","","","","","","",""
"USC00396227","1949-02","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,0,28,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00396227","1949-03","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","5",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","2.8",",,0,23,","","","","","","","8.1",",,,0","","","","","","","",""
"USC00396227","1949-04","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","7",",0","5",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","22.9",",,0,30,","","","","","","","47.5",",,,0","","","","","","","",""
"USC00396227","1949-06","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","10",",0","7",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","15.2",",,0,28,","","","","","","","61.1",",,,0","","","","","","","",""
"USC00396227","1949-08","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","3","3,0","1","3,0","0","3,0","","","","","","","","","","","","","","","","","","","","","","","","","3.8","3,,0,12,","","","","","","","12.7",",a,,0","","","","","","","",""
"USC00396227","1949-09","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","5",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","13.5",",,0,06,","","","","","","","22.5",",,,0","","","","","","","",""
"USC00396227","1950-06","43.175","-102.7458","912.9","OGLALA 1 S, SD US","","","","","4",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","","","9.7",",,0,13,","","","","","","","18.3",",,,0","","","","","","","",""
