"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00413507","1981-07","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","","","285.9",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","","","18.3",",0,09,","0",",,0,31,+","0",",,0,31,+","9.7",",,0,08,","37.2",",0,22,","198.1",",,,0","0.0","0","0.0",",0","23.32",",,,0","","","24.1",",,,0","0",",,,0","27.55",",0","34.15",",,,0","20.96",",,,0","1556",",,,0"
"USC00413507","1981-08","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","","","290.4",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","17.2",",0,21,+","0",",,0,31,+","0",",,0,31,+","19.3",",,0,29,","38.9",",0,17,","218.9",",,,0","0.0","0","0.0",",0","22.34",",,,0","","","59.2",",,,0","0",",,,0","27.70",",0","35.21",",,,0","20.19",",,,0","1396",",,,0"
"USC00413507","1981-09","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","","","183.5",",0","3",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","19",",0","","","7.8",",0,19,","0",",,0,30,+","0",",,0,30,+","34.0",",,0,02,","35.0",",0,02,","151.3","1,,,0","6.6","0","6.6",",0","18.45","3,,,0","33.70","4,,,0","75.4",",,,0","0",",,,0","24.23",",0","31.33",",,,0","17.13",",,,0","1136",",,,0"
"USC00413507","1981-10","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","","","103.6","3,0","10",",0","10",",0","1",",0","0",",0","0",",0","0","3,0","0","3,0","0",",0","26",",0","6",",0","","","4.4","3,0,24,","0",",,0,31,+","0",",,0,31,+","33.3",",,0,07,","33.9",",0,06,","94.9",",,,0","45.7","0","39.1",",0","","","","","137.9",",,,0","0",",,,0","20.27","3,0","25.92",",,,0","14.63","3,,,0","1145",",,,0"
"USC00413507","1981-11","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","","","5.9",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","","","2.2",",0,20,","0",",,0,30,+","0",",,0,30,+","12.7",",,0,01,","27.8",",0,06,","77.3",",,,0","137.7","0","92.0",",0","11.06","5,,,0","24.69","4,,,0","36.2",",,,0","0",",,,0","15.46",",0","22.46",",,,0","8.46",",,,0","1134",",,,0"
"USC00413507","1981-12","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","","","0.8","1,0","5",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","12","1,0","0",",0","9",",0","0",",0","","","-6.7","1,0,18,","0",",,0,31,+","0",",,0,31,+","2.8",",,0,31,","26.7",",0,04,","","","406.9","0","269.2",",0","","","","","7.7",",,,0","0",",,,0","9.41","1,0","16.28",",,,0","2.55","1,,,0","1349","2,,,0"
"USC00413507","1982-01","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","4.5","0","4.5","2,0","8",",0","4",",0","0",",0","","","0","1,0","0","2,0","12","2,0","1",",0","12",",0","0",",0","","","-14.4","2,0,11,","","","0","1,,0,31,+","9.7",",,0,31,","25.6",",0,21,","","","694.5","0","287.6",",0","","","","","24.4",",,,0","0","1,,,0","8.55","2,0","16.65",",,,0","0.45","2,,,0","1982",",,,0"
"USC00413507","1982-02","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","7.3","0","2.8","1,0","9",",0","2",",0","0",",0","","","0","1,0","0","1,0","14","1,0","1",",0","8",",0","0",",0","","","-9.4","1,0,06,","","","0","1,,0,28,+","17.0",",,0,26,","30.6",",0,18,","","","972.0","0","277.5",",0","","","","","27.8",",,,0","0","1,,,0","8.06","1,0","14.52",",,,0","1.60","1,,,0","1668",",,,0"
"USC00413507","1982-03","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","58.8","0","51.5","2,0","11",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","3","1,0","0","1,0","16","1,0","0","1,0","","","-2.2","1,0,07,","0",",,0,31,+","0",",,0,31,+","10.7",",,0,27,","30.0","1,0,20,+","92.7","4,,,0","1076.2","0","104.2","1,0","","","","","29.0",",,,0","0",",,,0","16.23","2,0","22.03","1,,,0","10.43","1,,,0","2334",",,,0"
"USC00413507","1982-04","30.6763","-97.7208","266.4","GEORGETOWN LAKE, TX US","105.0","0","46.2",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","2",",0","","","5.0",",0,11,","0",",,0,30,+","0",",,0,30,+","35.6",",,0,22,","36.1",",0,14,","","","1141.2","0","65.0",",0","","","","","117.1",",,,0","0",",,,0","17.71",",0","23.91",",,,0","11.51",",,,0","1888","1,,,0"
