"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00413557","1947-09","31.06667","-102.4","705.0","GIRVIN, TX US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","0.0",",,,0","0",",,,0"
"USC00413557","1947-10","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","2.0",",,0,22,","2.0",",,,0","0",",,,0"
"USC00413557","1947-11","31.06667","-102.4","705.0","GIRVIN, TX US","3",",0","2",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","10.7",",,0,19,","19.4",",,,0","0",",,,0"
"USC00413557","1948-01","31.06667","-102.4","705.0","GIRVIN, TX US","3",",0","2",",0","0",",0","0",",0","0",",0","1","","","","0",",T,0,22,+","8",",,0,21,","7.6",",,0,21,","13.0",",,,0","13",",,,0"
"USC00413557","1948-02","31.06667","-102.4","705.0","GIRVIN, TX US","2",",0","2",",0","0",",0","0",",0","0",",0","1","","","","0",",,0,29,+","0",",,0,29,+","5.1",",,0,26,+","10.2",",,,0","0",",,,0"
"USC00413557","1948-03","31.06667","-102.4","705.0","GIRVIN, TX US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","0.0",",,,0","0",",,,0"
"USC00413557","1948-05","31.06667","-102.4","705.0","GIRVIN, TX US","","","","","","","","","","","","","1","","","","","","","","","","",""
"USC00413557","1948-06","31.06667","-102.4","705.0","GIRVIN, TX US","3",",0","3",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","20.8",",,0,22,","42.9",",,,0","0",",,,0"
"USC00413557","1948-07","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","8.9",",,0,27,","17.7",",,,0","0",",,,0"
"USC00413557","1948-08","31.06667","-102.4","705.0","GIRVIN, TX US","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","24.1",",,0,16,","25.6",",,,0","0",",,,0"
