"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00414474","1900-04","32.583333","-101.0",,"IRA, TX US","","","","","7","4,6","5","4,6","2","4,6","","","","","","","","","","","","","","","1","","","","","","106.4","4,,6,06,","","","","","","","196.6","4,,,6","","","","","","","",""
"USC00414474","1900-05","32.583333","-101.0",,"IRA, TX US","","","85.4",",6","7",",6","6",",6","2",",6","","","0",",6","0",",6","0",",6","29",",6","3",",6","","","6","","8.9",",6,10,","","","28.2",",,6,20,","34.4",",6,06,","","","11.6",",6","78.1",",,,6","","","20.71",",6","27.49",",,,6","13.94",",,,6"
"USC00414474","1900-06","32.583333","-101.0",,"IRA, TX US","","","240.7",",6","3",",6","1",",6","1",",6","","","0",",6","0",",6","0",",6","30",",6","24",",6","","","","","15.0",",6,24,","","","26.7",",,6,02,","41.7",",6,17,","","","0.0",",6","28.5",",,,6","","","26.36",",6","34.15",",,,6","18.57",",,,6"
"USC00414474","1900-07","32.583333","-101.0",,"IRA, TX US","","","256.9",",6","5",",6","5",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","27",",6","","","","","16.7",",6,18,","","","59.4",",,6,17,","36.1",",6,12,+","0.0","6","0.0",",6","105.9",",,,6","","","26.62",",6","33.39",",,,6","19.85",",,,6"
"USC00414474","1900-08","32.583333","-101.0",,"IRA, TX US","","","253.9",",6","9",",6","7",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","20",",6","","","1","","17.8",",6,08,+","","","20.3",",,6,04,","40.0",",6,24,","0.0","6","0.0",",6","65.9",",,,6","","","26.52",",6","32.93",",,,6","20.11",",,,6"
"USC00414474","1900-09","32.583333","-101.0",,"IRA, TX US","","","194.3",",6","9",",6","6",",6","1",",6","","","0",",6","0",",6","0",",6","30",",6","15",",6","","","","","12.2",",6,18,","","","51.6",",,6,23,","39.4",",6,13,","0.6","6","0.6",",6","107.5",",,,6","","","24.79",",6","31.30",",,,6","18.28",",,,6"
"USC00414474","1900-10","32.583333","-101.0",,"IRA, TX US","","","141.3",",6","6",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","28",",6","13",",6","","","","","6.1",",6,23,","","","8.9",",,6,17,","39.4",",6,11,","18.7","6","18.1",",6","31.9",",,,6","","","22.31",",6","29.51",",,,6","15.10",",,,6"
"USC00414474","1900-11","32.583333","-101.0",,"IRA, TX US","","","2.2","2,6","2",",6","2",",6","0",",6","","","0","1,6","6","1,6","0","1,6","19","1,6","0","1,6","","","","","-1.7","1,6,25,+","","","11.9",",,6,09,","26.7","1,6,22,","187.9","6","169.2","1,6","18.3",",,,6","","","12.36","2,6","20.74","1,,,6","3.97","1,,,6"
"USC00414474","1900-12","32.583333","-101.0",,"IRA, TX US","","","0.0","3,6","0",",6","0",",6","0",",6","","","0","3,6","20","3,6","0","3,6","3","3,6","0","3,6","4","","","","-11.1","3,6,31,","","","0.0",",T,6,28,+","25.6","3,6,20,","495.4","6","307.5","3,6","0.0",",T,,6","","","7.35","3,6","16.09","3,,,6","-1.39","3,,,6"
"USC00414474","1901-01","32.583333","-101.0",,"IRA, TX US","0.0","6","0.0","1,6","1",",6","1",",6","0",",6","0",",6","0",",6","16",",6","1","1,6","13","1,6","0","1,6","","","","","-10.6",",6,01,","0",",,6,31,+","2.5",",,6,29,","27.8","1,6,23,+","768.8","6","273.4","1,6","2.5",",,,6","0",",,,6","9.23","1,6","18.18","1,,,6","0.28",",,,6"
"USC00414474","1901-02","32.583333","-101.0",,"IRA, TX US","0.0","6","0.0","4,6","5",",6","4",",6","0",",6","4",",6","0","2,6","16","2,6","2","2,6","9","2,6","0","2,6","","","","","-13.9","2,6,14,","102",",,6,09,","25.1",",,6,11,","29.4","2,6,22,","1052.4","6","283.6","2,6","42.8",",,,6","241",",,,6","6.17","4,6","14.10","2,,,6","-1.75","2,,,6"
"USC00414474","1901-03","32.583333","-101.0",,"IRA, TX US","0.3","6","0.3","5,6","0",",6","0",",6","0",",6","0",",6","0","2,6","7","2,6","0","3,6","18","3,6","1","3,6","","","","","-6.7","2,6,05,","0",",,6,31,+","0.0",",T,6,31,+","33.9","3,6,01,","1202.9","6","150.5","3,6","0.0",",T,,6","0",",,,6","12.68","5,6","22.46","3,,,6","2.90","2,,,6"
"USC00414474","1901-04","32.583333","-101.0",,"IRA, TX US","32.7","6","32.4",",6","7",",6","4",",6","0",",6","","","0",",6","1",",6","0",",6","25",",6","1",",6","","","","","0.0",",6,18,","","","19.6",",,6,11,","32.8",",6,25,","1272.8","6","69.9",",6","36.6",",,,6","","","17.08",",6","25.35",",,,6","8.81",",,,6"
"USC00414474","1901-05","32.583333","-101.0",,"IRA, TX US","136.8","6","104.1","3,6","9",",6","6",",6","0",",6","","","0",",6","0",",6","0","3,6","27","3,6","11","3,6","","","","","6.7",",6,28,","","","21.8",",,6,30,","37.8","3,6,10,","1285.3","6","12.5","3,6","80.3",",,,6","","","21.75","3,6","30.01","3,,,6","13.48",",,,6"
"USC00414474","1901-06","32.583333","-101.0",,"IRA, TX US","421.9","6","285.1",",6","2",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","30",",6","28",",6","","","","","13.3",",6,01,","","","7.1",",,6,12,","40.0",",6,20,+","1285.3","6","0.0",",6","8.9",",,,6","","","27.84",",6","35.72",",,,6","19.95",",,,6"
"USC00414474","1901-07","32.583333","-101.0",,"IRA, TX US","727.0","6","305.1",",6","10",",6","8",",6","2",",6","","","0",",6","0",",6","0",",6","31",",6","30",",6","","","","","17.2",",6,10,","","","48.5",",,6,11,","40.6",",6,06,","0.0","6","0.0",",6","120.1",",,,6","","","28.17",",6","35.25",",,,6","21.10",",,,6"
"USC00414474","1901-08","32.583333","-101.0",,"IRA, TX US","1038.8","6","311.8","1,6","0",",6","0",",6","0",",6","","","0","1,6","0","1,6","0",",6","31",",6","31",",6","","","","","16.1","1,6,30,","","","0.0",",T,6,21,+","41.1",",6,27,","0.0","6","0.0",",6","0.0",",T,,6","","","28.73","1,6","36.36",",,,6","21.10","1,,,6"
"USC00414474","1901-09","32.583333","-101.0",,"IRA, TX US","","","","","8",",6","4",",6","1",",6","","","0",",6","0",",6","","","","","","","","","","","10.6",",6,19,+","","","25.9",",,6,07,","","","","","","","87.5",",,,6","","","","","","","16.89",",,,6"
"USC00414474","1901-10","32.583333","-101.0",,"IRA, TX US","","","","","5",",6","2",",6","0",",6","","","0","1,6","0","1,6","","","","","","","","","","","3.3","1,6,14,","","","12.2",",,6,08,","","","","","","","22.4",",,,6","","","","","","","12.28","1,,,6"
"USC00414474","1901-11","32.583333","-101.0",,"IRA, TX US","","","6.1","1,6","3",",6","3",",6","1",",6","","","0","1,6","0","1,6","0","1,6","16","1,6","0","1,6","2","","","","0.6","1,6,04,","","","31.0",",,6,02,","28.9","1,6,11,","","","154.0","1,6","38.1",",,,6","","","13.23","1,6","21.11","1,,,6","5.36","1,,,6"
"USC00414474","1901-12","32.583333","-101.0",,"IRA, TX US","","","0.0","1,6","1",",6","1",",6","0",",6","","","0",",6","16",",6","1","1,6","8","1,6","0","1,6","","","","","-13.3",",6,14,","","","4.6",",,6,08,","24.4","1,6,24,+","","","314.4","1,6","4.6",",,,6","","","7.88","1,6","16.79","1,,,6","-1.03",",,,6"
"USC00414474","1902-01","32.583333","-101.0",,"IRA, TX US","0.0","6","0.0",",6","2",",6","2",",6","0",",6","","","0",",6","21",",6","3",",6","3",",6","0",",6","2","","","","-11.7",",6,27,","","","8.1",",,6,14,","21.7",",6,25,+","","","377.8",",6","12.9",",,,6","","","6.15",",6","14.22",",,,6","-1.92",",,,6"
"USC00414474","1902-02","32.583333","-101.0",,"IRA, TX US","","","","","0",",6","0",",6","0",",6","","","","","","","0","1,6","10","1,6","0","1,6","1","","","","","","","","0.0",",T,6,27,+","30.0","1,6,08,","","","","","0.0",",T,,6","","","","","18.20","1,,,6","",""
"USC00414474","1902-03","32.583333","-101.0",,"IRA, TX US","","","5.6","4,6","0",",6","0",",6","0",",6","","","0","3,6","6","3,6","0","1,6","18","1,6","0","1,6","","","1","","-5.6","3,6,05,","","","0.0",",T,6,22,+","31.7","1,6,03,","","","158.2","1,6","0.0",",T,,6","","","12.84","4,6","22.10","1,,,6","3.58","3,,,6"
