"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00425815","1935-08","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","12",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","9.1",",,6,17,","","","","","","","","","27.8",",,,6","","","","","","","","","",""
"USC00425815","1935-09","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","5",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","12.2",",,6,07,","","","","","","","","","19.8",",,,6","0",",,,6","","","","","","","",""
"USC00425815","1935-11","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","8.6",",,6,17,","","","","","","","","","16.2",",,,6","","","","","","","","","",""
"USC00425815","1936-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","8",",6","7",",6","1",",6","","","8",",6","","","","","","","","","","","","","","","330",",,6,02,","32.5",",,6,02,","","","","","","","","","97.1",",,,6","1207",",,,6","","","","","","","",""
"USC00425815","1936-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","5","1,6","4","1,6","1","1,6","","","5",",6","","","","","","","","","","","","","","","508",",,6,31,","37.8","1,,6,31,","","","","","","","","","62.6","1,,,6","915",",,,6","","","","","","","",""
"USC00425815","1936-08","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","10",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","","","","","14.0",",,6,31,","","","","","","","","","54.1",",,,6","","","","","","","","","",""
"USC00425815","1936-09","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","","","","","","","","","","","","","0",",,,6","","","","","","","",""
"USC00425815","1936-11","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.8",",,6,01,","","","","","","","","","5.8",",,,6","","","","","","","","","",""
"USC00425815","1936-12","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","11.4",",,6,27,","","","","","","","","","55.6",",,,6","","","","","","","","","",""
"USC00425815","1937-01","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","8",",6","6",",6","0",",6","","","8",",6","","","","","","","","","","","","","","","203",",,6,31,","15.7",",,6,31,","","","","","","","","","51.0",",,,6","686",",,,6","","","","","","","",""
"USC00425815","1937-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0","1,6","","","","","","","","","","","15",",6","28",",6","17","1,6","0","1,6","0","1,6","-23.3",",6,10,","","","","","","","5.6","1,6,23,","","","","","729.6","1,6","","","","","-8.77","1,6","-1.09","1,,,6","-16.46",",,,6","",""
"USC00425815","1937-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","5",",6","3",",6","0",",6","","","4",",6","","","","","","","","","","","","","","","165",",,6,18,","16.5",",,6,18,","","","","","","","","","32.0",",,,6","368",",,,6","","","","","","","",""
