"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00448787","1913-10","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","","","6",",6","6",",6","2",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","50.3",",,6,25,","","","","","","","125.4",",,,6","0",",,,6","","","","","",""
"USC00448787","1913-11","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","0.0","4,6","3",",6","3",",6","0",",6","0",",6","0","2,6","3","2,6","0","3,6","3","3,6","0","3,6","-1.7","2,6,11,","0",",,6,30,+","11.4",",,6,09,","22.2","3,6,23,","","","195.1","3,6","26.1",",,,6","0",",,,6","10.75","4,6","15.88","3,,,6","5.61","2,,,6"
"USC00448787","1913-12","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","","","2",",6","2",",6","1",",6","0",",6","0",",6","15",",6","","","","","","","-4.4",",6,28,+","0",",,6,31,+","30.5",",,6,25,","","","","","","","40.7",",,,6","0",",,,6","","","","","1.10",",,,6"
"USC00448787","1914-01","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","","","3",",6","3",",6","2",",6","0",",6","0",",6","19",",6","","","","","","","-7.8",",6,13,","0",",,6,31,+","34.3",",,6,03,","","","","","","","77.0",",,,6","0",",,,6","","","","","-0.04",",,,6"
"USC00448787","1914-02","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","0.0",",6","5",",6","5",",6","2",",6","2",",6","0",",6","20",",6","1",",6","0",",6","0",",6","-14.4",",6,25,","102",",,6,23,","40.6",",,6,20,","18.3",",6,19,+","","","426.1",",6","90.2",",,,6","153",",,,6","3.12",",6","9.41",",,,6","-3.18",",,,6"
"USC00448787","1914-03","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","0.0","1,6","","","","","","","4",",6","0","1,6","18","1,6","1",",6","2",",6","0",",6","-10.0","1,6,21,","203",",,6,22,","","","21.7",",6,28,","","","399.3",",6","","","533",",,,6","4.97","1,6","10.54",",,,6","-0.61","1,,,6"
"USC00448787","1914-04","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","2.2","1,6","5",",6","5",",6","1",",6","0",",6","0",",6","3",",6","0","1,6","9","1,6","0","1,6","-2.2",",6,06,","0",",,6,30,+","25.4",",,6,15,","27.8","1,6,19,","","","180.3","1,6","73.5",",,,6","0",",,,6","12.16","1,6","18.33","1,,,6","6.00",",,,6"
"USC00448787","1914-05","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","","","3",",6","3",",6","1",",6","0",",6","0",",","0",",6","","","","","","","4.4",",6,01,","0",",,6,31,+","41.9",",,6,05,","","","","","","","67.8",",,,6","0",",,,6","","","","","12.36",",,,6"
"USC00448787","1914-06","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","133.2","1,6","","","","","","","","","0","1,6","0","1,6","0",",6","28",",6","10",",6","10.0","1,6,03,","","","","","35.6",",6,12,","","","5.0",",6","","","","","22.74","1,6","27.54",",,,6","17.94","1,,,6"
"USC00448787","1914-07","37.616667","-76.7","4.9","WACHAPREAQUE, VA US","","","175.6",",6","8",",6","8",",6","1",",6","0",",6","0",",6","0",",6","0",",6","31",",6","8",",6","13.9",",6,20,+","0",",,6,31,+","36.3",",,6,28,","34.4",",6,12,","0.0","6","0.0",",6","114.8",",,,6","0",",,,6","24.00",",6","28.69",",,,6","19.30",",,,6"
