"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00456484","1928-07","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","3",",6","1",",6","0",",6","","","","","","","4.1",",,6,04,","7.4",",,,6","",""
"USC00456484","1928-09","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","5",",6","5",",6","0",",6","","","2","","","","12.2",",,6,14,","44.7",",,,6","",""
"USC00456484","1928-10","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","18",",6","15",",6","1",",6","","","","","","","52.1",",,6,09,","236.4",",,,6","",""
"USC00456484","1929-01","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","17",",6","10",",6","0",",6","","","","","","","18.5",",,6,02,","114.6",",,,6","",""
"USC00456484","1929-02","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","13",",6","9",",6","0",",6","","","","","","","23.6",",,6,16,","90.9",",,,6","",""
"USC00456484","1929-03","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","24",",6","19",",6","0",",6","","","","","","","20.8",",,6,28,","192.3",",,,6","",""
"USC00456484","1929-04","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","19",",6","10",",6","2",",6","","","","","","","34.5",",,6,14,","173.2",",,,6","",""
"USC00456484","1929-07","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","5",",6","3",",6","0",",6","","","","","","","9.9",",,6,10,","25.7",",,,6","",""
"USC00456484","1930-05","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","16",",6","9",",6","2",",6","","","","","","","50.3",",,6,20,","150.6",",,,6","",""
"USC00456484","1930-07","48.35","-122.1","253.0","PILCHUCK CREEK, WA US","1",",6","0",",6","0",",6","0",",6","","","0",",,6,31,+","1.0",",,6,24,","1.0",",,,6","0",",,,6"
