"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00503591","1919-01","55.85","-160.25","4.6","HERENDEEN BAY, AK US","0.0","6","0.0","1,6","12",",6","11",",6","0",",6","","","9","1,6","30","1,6","20",",6","0",",6","0",",6","-27.8","1,6,28,","","","12.7",",,6,30,","4.4",",6,30,+","805.7",",6","64.0",",,,6","","","-8.55","1,6","-5.21",",,,6","-11.89","1,,,6"
"USC00503591","1919-02","55.85","-160.25","4.6","HERENDEEN BAY, AK US","0.0","6","0.0",",6","16",",6","12",",6","0",",6","9",",6","0",",6","27",",6","10",",6","0",",6","0",",6","-15.6",",6,11,+","152",",,6,20,","12.7",",,6,20,","5.6",",6,26,","593.9",",6","74.1",",,,6","762",",,,6","-2.88",",6","0.01",",,,6","-5.76",",,,6"
"USC00503591","1919-03","55.85","-160.25","4.6","HERENDEEN BAY, AK US","0.0","6","0.0","1,6","19",",6","12",",6","0",",6","5",",6","0","1,6","24","1,6","1",",6","0",",6","0",",6","-4.4","1,6,14,","127",",,6,02,","15.2",",,6,15,","6.7",",6,16,","509.7",",6","82.6",",,,6","317",",,,6","1.32","1,6","3.62",",,,6","-0.98","1,,,6"
"USC00503591","1919-04","55.85","-160.25","4.6","HERENDEEN BAY, AK US","0.0","6","0.0",",6","4",",6","3",",6","0",",6","1",",6","0",",6","26",",6","4",",6","0",",6","0",",6","-6.7",",6,26,+","76",",,6,29,","14.5",",,6,10,","7.8",",6,06,","537.7",",6","27.7",",,,6","76",",,,6","0.41",",6","3.41",",,,6","-2.59",",,,6"
"USC00503591","1919-05","55.85","-160.25","4.6","HERENDEEN BAY, AK US","","","","","","","","","","","1",",6","","","","","1",",6","0",",6","0",",6","","","25",",,6,16,","","","12.2",",6,31,","","","","","64",",,,6","","","6.57",",,,6","",""
"USC00503591","1919-06","55.85","-160.25","4.6","HERENDEEN BAY, AK US","","","","","10",",6","7",",6","0",",6","","","","","","","0",",6","0",",6","0",",6","","","","","12.7",",,6,28,","16.7",",6,23,+","","","46.6",",,,6","","","","","12.85",",,,6","",""
"USC00503591","1919-07","55.85","-160.25","4.6","HERENDEEN BAY, AK US","","","","","9",",6","8",",6","0",",6","","","","","","","0","3,6","0","3,6","0","3,6","","","","","18.5",",,6,08,","20.6","3,6,18,","","","60.1",",,,6","","","","","15.95","3,,,6","",""
"USC00503591","1919-08","55.85","-160.25","4.6","HERENDEEN BAY, AK US","","","0.0",",6","18",",6","14",",6","1",",6","","","0",",6","2",",6","0",",6","1",",6","0",",6","-1.1",",6,23,","","","41.9",",,6,09,","21.1",",6,18,","215.6",",6","121.0",",,,6","","","11.38",",6","15.09",",,,6","7.67",",,,6"
"USC00503591","1919-09","55.85","-160.25","4.6","HERENDEEN BAY, AK US","","","","","17",",6","11",",6","2",",6","","","","","","","","","","","","","","","","","29.7",",,6,14,","","","","","152.1",",,,6","","","","","","","",""
"USC00503591","1919-10","55.85","-160.25","4.6","HERENDEEN BAY, AK US","","","0.0","1,6","21",",6","16",",6","0",",6","0",",6","0","1,6","8","1,6","0",",6","0",",6","0",",6","-5.6","1,6,31,","13",",,6,06,","24.9",",,6,25,","15.6",",6,01,","372.4",",6","149.6",",,,6","13",",,,6","5.87","1,6","9.42",",,,6","2.33","1,,,6"
