"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000COKS","1992-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","36.3",",U","0",",U","0",",U","0",",U","24",",U","2",",U","10.6",",U,15,+","32.8",",U,26,","","","26.1",",U","18.67",",U","24.42",",,,U","12.92",",,,U"
"USR0000COKS","1992-10","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","45.8",",U","0",",U","0",",U","0",",U","19",",U","1",",U","10.6",",U,16,","32.2",",U,07,","","","50.6",",U","18.18",",U","22.70",",,,U","13.66",",,,U"
"USR0000COKS","1992-11","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","1.1",",U","0",",U","0",",U","0",",U","4",",U","0",",U","6.7",",U,24,+","23.3",",U,03,","","","148.3",",U","13.43",",U","16.85",",,,U","10.00",",,,U"
"USR0000COKS","1992-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","0.0",",U","0",",U","1",",U","0",",U","0",",U","0",",U","0.0",",U,26,","18.3",",U,01,","","","314.6",",U","8.18",",U","11.12",",,,U","5.25",",,,U"
"USR0000COKS","1993-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","0.6",",U,12,","16.1",",U,31,+","","","306.6",",U","8.44",",U","11.25",",,,U","5.64",",,,U"
"USR0000COKS","1993-02","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0","1,U","0","1,U","0","1,U","0","1,U","0","1,U","0","1,U","3.3","1,U,26,","16.7","1,U,04,","","","239.3","1,U","9.47","1,U","12.30","1,,,U","6.64","1,,,U"
"USR0000COKS","1993-03","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","3",",U","0",",U","6.7",",U,28,+","23.3",",U,07,","","","171.8",",U","12.79",",U","16.55",",,,U","9.04",",,,U"
"USR0000COKS","1993-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","4",",U","0",",U","6.1",",U,11,","25.0",",U,30,","","","156.2",",U","13.13",",U","17.58",",,,U","8.67",",,,U"
"USR0000COKS","1993-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","5.9","U","5.9",",U","0",",U","0",",U","0",",U","10",",U","0",",U","7.2",",U,12,+","30.6",",U,09,","","","102.6",",U","15.21",",U","19.85",",,,U","10.57",",,,U"
"USR0000COKS","1993-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","33.8","U","27.9","5,U","0","5,U","0","5,U","0","2,U","16","2,U","3","2,U","9.4","5,U,28,+","36.7","2,U,25,","","","54.7","2,U","17.85","5,U","23.85","2,,,U","11.86","5,,,U"
"USR0000COKS","1993-07","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","52.2","U","18.4",",U","0",",U","0",",U","0",",U","19",",U","1",",U","10.0",",U,04,+","36.7",",U,31,","52.0","U","52.0",",U","17.25",",U","22.79",",,,U","11.70",",,,U"
"USR0000COKS","1993-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","100.6","U","48.4","1,U","0","1,U","0","1,U","0",",U","20",",U","4",",U","11.1","1,U,18,","36.1",",U,01,","93.5","U","41.5",",U","18.76","1,U","23.98",",,,U","13.54","1,,,U"
"USR0000COKS","1993-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","149.3","U","48.7",",U","0",",U","0",",U","0",",U","18",",U","1",",U","9.4",",U,23,","33.9",",U,27,","143.5","U","50.0",",U","18.29",",U","23.65",",,,U","12.93",",,,U"
"USR0000COKS","1993-10","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","179.0","U","29.7",",U","0",",U","0",",U","0",",U","17",",U","0",",U","9.4",",U,17,","28.3",",U,26,","205.9","U","62.4",",U","17.28",",U","21.29",",,,U","13.26",",,,U"
"USR0000COKS","1993-11","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","181.8","U","2.8",",U","0",",U","0",",U","0",",U","7",",U","0",",U","3.3",",U,24,","23.9",",U,03,","371.5","U","165.6",",U","12.91",",U","16.51",",,,U","9.30",",,,U"
"USR0000COKS","1993-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","181.8","U","0.0",",U","0",",U","3",",U","0",",U","0",",U","0",",U","-0.6",",U,22,+","18.3",",U,02,","655.5","U","284.0",",U","9.17",",U","12.17",",,,U","6.17",",,,U"
"USR0000COKS","1994-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","5.0",",U,28,","20.0",",U,18,+","850.0","U","194.5",",U","12.06",",U","15.16",",,,U","8.95",",,,U"
"USR0000COKS","1994-02","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","1",",U","0",",U","3.9",",U,18,","22.2",",U,28,","1079.7","U","229.7",",U","10.13",",U","13.28",",,,U","6.98",",,,U"
"USR0000COKS","1994-03","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","2.8","U","2.8",",U","0",",U","0",",U","0",",U","7",",U","0",",U","3.9",",U,23,","25.6",",U,13,","1245.9","U","166.2",",U","13.06",",U","17.49",",,,U","8.64",",,,U"
"USR0000COKS","1994-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","2.8","U","0.0","1,U","0","1,U","0","1,U","0",",U","6",",U","0",",U","6.7","1,U,07,","23.3",",U,12,+","1392.2","U","146.3",",U","13.24","1,U","17.16",",,,U","9.32","1,,,U"
"USR0000COKS","1994-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","8.6","U","5.8",",U","0",",U","0",",U","0",",U","6",",U","0",",U","8.9",",U,17,+","28.9",",U,30,","1504.5","U","112.3",",U","14.90",",U","18.88",",,,U","10.92",",,,U"
"USR0000COKS","1994-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","31.4","U","22.8",",U","0",",U","0",",U","0",",U","18",",U","2",",U","8.9",",U,16,+","33.9",",U,10,","1559.5","U","55.0",",U","17.26",",U","22.80",",,,U","11.72",",,,U"
"USR0000COKS","1994-07","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","33.1","U","1.7",",U","0",",U","0",",U","0",",U","14",",U","0",",U","9.4",",U,12,+","27.2",",U,25,","80.6","U","80.6",",U","15.79",",U","20.88",",,,U","10.70",",,,U"
"USR0000COKS","1994-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","78.9","U","45.8","2,U","0","2,U","0","2,U","0",",U","27",",U","1",",U","11.1","2,U,27,+","35.6",",U,06,","104.9","U","24.3",",U","19.26","2,U","24.97",",,,U","13.54","2,,,U"
"USR0000COKS","1994-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","99.5","U","20.6",",U","0",",U","0",",U","0",",U","22",",U","1",",U","10.6",",U,07,","32.8",",U,15,","143.3","U","38.4",",U","17.74",",U","22.87",",,,U","12.61",",,,U"
