"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000FBLO","2003-03","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","41.0",",U","0",",U","1",",U","0",",U","24",",U","0",",U","-1.1",",U,31,","31.1",",U,13,","","","46.4",",U","18.16",",U","24.16",",,,U","12.15",",,,U"
"USR0000FBLO","2003-04","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","53.7",",U","0",",U","0",",U","0",",U","27",",U","0",",U","0.6",",U,01,","31.7",",U,14,","","","36.6",",U","18.90",",U","26.57",",,,U","11.23",",,,U"
"USR0000FBLO","2003-05","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","179.2",",U","0",",U","0",",U","0",",U","31",",U","16",",U","10.6",",U,13,","34.4",",U,17,","","","0.0",",U","24.11",",U","30.93",",,,U","17.30",",,,U"
"USR0000FBLO","2003-06","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","231.9",",U","0",",U","0",",U","0",",U","30",",U","16",",U","18.3",",U,28,","34.4",",U,16,+","","","0.0",",U","26.06",",U","31.26",",,,U","20.87",",,,U"
"USR0000FBLO","2003-07","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","247.3",",U","0",",U","0",",U","0",",U","31",",U","16",",U","18.9",",U,18,","35.0",",U,09,","0.0","U","0.0",",U","26.31",",U","31.68",",,,U","20.95",",,,U"
"USR0000FBLO","2003-08","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","254.1",",U","0",",U","0",",U","0",",U","31",",U","11",",U","20.6",",U,16,+","34.4",",U,25,","0.0","U","0.0",",U","26.53",",U","31.29",",,,U","21.77",",,,U"
"USR0000FBLO","2003-09","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","183.0",",U","0",",U","0",",U","0",",U","30",",U","6",",U","10.6",",U,30,+","32.8",",U,16,+","0.2","U","0.2",",U","24.43",",U","30.39",",,,U","18.47",",,,U"
"USR0000FBLO","2003-10","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","72.4",",U","0",",U","0",",U","0",",U","30",",U","1",",U","7.2",",U,16,","35.6",",U,30,","5.4","U","5.2",",U","20.50",",U","26.95",",,,U","14.05",",,,U"
"USR0000FBLO","2003-11","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","38.4",",U","0",",U","2",",U","0",",U","23",",U","0",",U","-3.3",",U,30,","30.0",",U,06,","90.1","U","84.7",",U","16.79",",U","24.30",",,,U","9.27",",,,U"
"USR0000FBLO","2003-12","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","0.0",",U","0",",U","15",",U","0",",U","5",",U","0",",U","-5.0",",U,21,+","22.8",",U,23,","372.6","U","282.5",",U","9.22",",U","17.52",",,,U","0.93",",,,U"
"USR0000FBLO","2004-01","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","1.1","U","1.1","2,U","0","1,U","13","1,U","0","1,U","10","1,U","0","1,U","-5.0","1,U,29,","26.1","1,U,04,","615.3","U","242.7","1,U","10.15","2,U","18.00","1,,,U","2.30","1,,,U"
"USR0000FBLO","2004-02","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","1.1","U","0.0",",U","0",",U","5",",U","0",",U","7",",U","0",",U","-2.2",",U,19,","25.0",",U,21,","837.1","U","221.8",",U","10.69",",U","16.38",",,,U","4.99",",,,U"
"USR0000FBLO","2004-03","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","5.9","U","4.8",",U","0",",U","2",",U","0",",U","27",",U","0",",U","-0.6",",U,23,+","30.6",",U,19,","912.6","U","75.5",",U","16.05",",U","24.90",",,,U","7.21",",,,U"
"USR0000FBLO","2004-06","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","208.5","3,U","0","3,U","0","3,U","0","3,U","27","3,U","18","3,U","17.8","3,U,08,+","35.6","3,U,12,","","","0.0","3,U","26.05","3,U","31.76","3,,,U","20.35","3,,,U"
"USR0000FBLO","2004-07","30.5872","-84.9886","30.5","BLOXHAM FLORIDA, FL US","","","254.5","2,U","0",",U","0",",U","0","2,U","29","2,U","20","2,U","18.3",",U,22,+","36.7","2,U,24,","0.0","U","0.0","2,U","27.19","2,U","33.02","2,,,U","21.35",",,,U"
