"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GNEW","2003-03","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","0.8","2,U","0","1,U","2","1,U","0","1,U","10","1,U","0","1,U","-0.6","1,U,31,+","25.6","1,U,13,","","","148.5","1,U","13.25","2,U","18.84","1,,,U","7.67","1,,,U"
"USR0000GNEW","2003-05","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","77.4",",U","0",",U","0",",U","0",",U","28",",U","0",",U","8.3",",U,13,","30.6",",U,31,","","","7.3",",U","20.60",",U","25.93",",,,U","15.26",",,,U"
"USR0000GNEW","2003-06","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","133.8","2,U","0","2,U","0","2,U","0","2,U","28","2,U","0","2,U","11.1","2,U,02,","31.7","2,U,25,+","","","0.0","2,U","23.11","2,U","28.75","2,,,U","17.47","2,,,U"
"USR0000GNEW","2003-07","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","224.4",",U","0",",U","0",",U","0",",U","31",",U","11",",U","16.7",",U,25,+","33.3",",U,16,+","0.0","U","0.0",",U","25.57",",U","30.89",",,,U","20.25",",,,U"
"USR0000GNEW","2003-08","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","233.8",",U","0",",U","0",",U","0",",U","31",",U","9",",U","17.8",",U,09,+","34.4",",U,26,+","0.0","U","0.0",",U","25.87",",U","31.12",",,,U","20.63",",,,U"
"USR0000GNEW","2003-09","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","113.3",",U","0",",U","0",",U","0",",U","29",",U","0",",U","6.7",",U,30,+","31.7",",U,20,+","9.1","U","9.1",",U","21.80",",U","27.95",",,,U","15.65",",,,U"
"USR0000GNEW","2003-10","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","13.7",",U","0",",U","0",",U","0",",U","24",",U","0",",U","4.4",",U,16,","30.0",",U,21,","63.2","U","54.1",",U","17.03",",U","23.87",",,,U","10.19",",,,U"
"USR0000GNEW","2003-11","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","17.4",",U","0",",U","3",",U","0",",U","17",",U","0",",U","-5.0",",U,30,","28.9",",U,02,","209.9","U","146.7",",U","14.03",",U","20.94",",,,U","7.11",",,,U"
"USR0000GNEW","2003-12","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","0.0",",U","0",",U","21",",U","0",",U","0",",U","0",",U","-6.7",",U,21,","19.4",",U,23,","591.9","U","382.0",",U","6.01",",U","12.68",",,,U","-0.66",",,,U"
"USR0000GNEW","2004-01","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","0.0","U","0.0",",U","0",",U","18",",U","0",",U","2",",U","0",",U","-7.8",",U,29,+","21.1",",U,04,+","986.6","U","394.7",",U","5.60",",U","11.97",",,,U","-0.77",",,,U"
