"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OFOS","1994-08","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","","","13.7",",U","0",",U","2",",U","0",",U","31",",U","10",",U","-1.7",",U,23,","33.9",",U,14,+","","","47.3",",U","17.25",",U","30.25",",,,U","4.24",",,,U"
"USR0000OFOS","1994-09","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","","","0.5",",U","0",",U","12",",U","0",",U","23",",U","0",",U","-3.9",",U,12,+","31.7",",U,27,","","","150.5",",U","13.33",",U","25.34",",,,U","1.33",",,,U"
"USR0000OFOS","1994-10","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","","","0.0",",U","0",",U","26",",U","0",",U","6",",U","0",",U","-15.0",",U,29,","23.9",",U,08,","","","396.2",",U","5.55",",U","15.48",",,,U","-4.37",",,,U"
"USR0000OFOS","1994-11","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","","","0.0",",U","6",",U","29",",U","8",",U","0",",U","0",",U","-25.6",",U,21,","10.0",",U,30,","","","668.8",",U","-3.96",",U","2.29",",,,U","-10.21",",,,U"
"USR0000OFOS","1994-12","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","","","0.0",",U","4",",U","30",",U","14",",U","0",",U","0",",U","-22.2",",U,04,","8.9",",U,21,","","","690.8",",U","-3.95",",U","1.75",",,,U","-9.65",",,,U"
"USR0000OFOS","1995-01","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0","2,U","0","2,U","23","2,U","4","2,U","0","2,U","0","2,U","-13.3","2,U,04,","10.6","2,U,31,+","","","520.4","2,U","0.39","2,U","4.21","2,,,U","-3.43","2,,,U"
"USR0000OFOS","1995-02","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0",",U","1",",U","22",",U","2",",U","0",",U","0",",U","-18.9",",U,13,","18.9",",U,24,+","","","410.5",",U","3.67",",U","11.04",",,,U","-3.69",",,,U"
"USR0000OFOS","1995-03","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0",",U","0",",U","29",",U","1",",U","0",",U","0",",U","-12.8",",U,05,","18.3",",U,31,","","","512.9",",U","1.79",",U","7.89",",,,U","-4.31",",,,U"
"USR0000OFOS","1995-04","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0",",U","0",",U","24",",U","0",",U","2",",U","0",",U","-11.1",",U,15,","21.1",",U,24,+","","","447.5",",U","3.42",",U","11.25",",,,U","-4.42",",,,U"
"USR0000OFOS","1995-05","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0",",U","0",",U","13",",U","0",",U","5",",U","0",",U","-5.0",",U,27,","27.2",",U,30,","","","304.9",",U","8.50",",U","16.37",",,,U","0.62",",,,U"
"USR0000OFOS","1995-06","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","1.4","U","1.4",",U","0",",U","9",",U","0",",U","17",",U","1",",U","-4.4",",U,20,","32.2",",U,25,","","","206.5",",U","11.50",",U","20.90",",,,U","2.09",",,,U"
"USR0000OFOS","1995-07","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","12.3","U","10.9",",U","0",",U","4",",U","0",",U","30",",U","3",",U","-5.0",",U,30,","33.3",",U,28,+","64.4","U","64.4",",U","16.60",",U","27.77",",,,U","5.44",",,,U"
"USR0000OFOS","1995-08","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","22.7","U","10.4",",U","0",",U","12",",U","0",",U","29",",U","6",",U","-5.6",",U,18,","34.4",",U,05,","181.1","U","116.7",",U","14.90",",U","27.87",",,,U","1.93",",,,U"
"USR0000OFOS","1995-09","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","25.2","U","2.5",",U","0",",U","14",",U","0",",U","22",",U","4",",U","-11.7",",U,22,","33.9",",U,14,","350.8","U","169.7",",U","12.76",",U","24.82",",,,U","0.70",",,,U"
"USR0000OFOS","1995-10","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","25.2","U","0.0",",U","0",",U","27",",U","0",",U","5",",U","0",",U","-15.0",",U,19,","24.4",",U,15,","760.4","U","409.6",",U","5.12",",U","15.87",",,,U","-5.64",",,,U"
"USR0000OFOS","1995-11","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","25.2","U","0.0",",U","3",",U","19",",U","0",",U","0",",U","0",",U","-21.1",",U,03,+","20.0",",U,14,","1181.6","U","421.2",",U","4.29",",U","11.85",",,,U","-3.27",",,,U"
"USR0000OFOS","1995-12","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","25.2","U","0.0","3,U","3","2,U","25","2,U","6","2,U","0","2,U","0","2,U","-21.1","2,U,26,","13.3","2,U,01,","1746.5","U","564.9","2,U","-1.68","3,U","3.62","2,,,U","-6.98","2,,,U"
"USR0000OFOS","1996-01","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0",",U","0",",U","28",",U","12",",U","0",",U","0",",U","-15.6",",U,24,+","12.8",",U,12,","2361.5","U","615.0",",U","-1.50",",U","3.10",",,,U","-6.11",",,,U"
"USR0000OFOS","1996-02","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0","1,U","6","1,U","20","1,U","9","1,U","0","1,U","0","1,U","-27.8","1,U,01,","17.8","1,U,14,","2912.6","U","551.1","1,U","-1.35","1,U","5.06","1,,,U","-7.76","1,,,U"
"USR0000OFOS","1996-03","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0",",U","0",",U","27",",U","2",",U","0",",U","0",",U","-12.8",",U,25,","17.8",",U,19,","3386.9","U","474.3",",U","3.03",",U","9.95",",,,U","-3.88",",,,U"
"USR0000OFOS","1996-04","42.9736","-119.2461","1524.0","FOSTER FLAT OREGON, OR US","0.0","U","0.0",",U","0",",U","22",",U","0",",U","3",",U","0",",U","-10.0",",U,13,","24.4",",U,07,+","3773.1","U","386.2",",U","5.46",",U","13.47",",,,U","-2.55",",,,U"
