"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OWIC","1992-04","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","23.8",",U","0",",U","1",",U","0",",U","21",",U","0",",U","-0.6",",U,02,","31.1",",U,23,","","","83.1",",U","16.36",",U","22.47",",,,U","10.25",",,,U"
"USR0000OWIC","1992-05","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","68.4","4,U","0","2,U","0","2,U","0","4,U","23","4,U","2","4,U","5.0","2,U,07,","33.9","4,U,12,","","","17.5","4,U","20.17","4,U","25.64","4,,,U","14.69","2,,,U"
"USR0000OWIC","1992-07","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","249.8","1,U","0",",U","0",",U","0","1,U","30","1,U","20","1,U","17.2",",U,18,","35.0","1,U,26,+","0.0","U","0.0","1,U","26.62","1,U","32.44","1,,,U","20.79",",,,U"
"USR0000OWIC","1992-08","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","170.2",",U","0",",U","0",",U","0",",U","28",",U","11",",U","13.9",",U,28,+","35.6",",U,10,","1.7","U","1.7",",U","23.77",",U","29.26",",,,U","18.28",",,,U"
"USR0000OWIC","1992-09","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","130.6",",U","0",",U","0",",U","0",",U","30",",U","5",",U","9.4",",U,27,+","33.3",",U,20,","3.4","U","1.7",",U","22.63",",U","28.52",",,,U","16.74",",,,U"
"USR0000OWIC","1992-10","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","45.2",",U","0",",U","0",",U","0",",U","26",",U","1",",U","2.8",",U,08,","32.2",",U,13,","52.3","U","48.9",",U","18.21",",U","25.46",",,,U","10.96",",,,U"
"USR0000OWIC","1992-11","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","1.4","1,U","0",",U","11",",U","1","1,U","6","1,U","0","1,U","-6.1",",U,28,","25.6","1,U,10,+","336.0","U","283.7","1,U","8.49","1,U","13.89","1,,,U","3.09",",,,U"
"USR0000OWIC","1992-12","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","0.0","1,U","0","1,U","15","1,U","2","1,U","2","1,U","0","1,U","-8.3","1,U,31,","21.7","1,U,29,","739.8","U","403.8","1,U","4.88","1,U","10.27","1,,,U","-0.52","1,,,U"
"USR0000OWIC","1993-01","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","","","0","3,U","19","3,U","1","3,U","0","3,U","0","3,U","-8.3","3,U,13,","17.2","3,U,31,","","","","","3.13","6,U","8.13","3,,,U","-1.87","3,,,U"
"USR0000OWIC","1993-02","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","0.0","2,U","0","1,U","15","1,U","3","1,U","1","1,U","0","1,U","-11.7","1,U,18,","26.7","1,U,20,","","","368.5","1,U","4.28","2,U","9.66","1,,,U","-1.09","1,,,U"
"USR0000OWIC","1993-04","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","9.4","5,U","0","3,U","0","3,U","0","5,U","14","5,U","0","5,U","0.6","3,U,02,","30.6","5,U,12,","","","97.3","5,U","14.61","5,U","20.26","5,,,U","8.97","3,,,U"
"USR0000OWIC","1993-06","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","202.2",",U","0",",U","0",",U","0",",U","30",",U","9",",U","13.9",",U,01,","35.6",",U,02,","","","0.0",",U","25.07",",U","30.57",",,,U","19.57",",,,U"
"USR0000OWIC","1993-07","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","312.7",",U","0",",U","0",",U","0",",U","31",",U","26",",U","20.6",",U,07,","39.4",",U,31,","0.0","U","0.0",",U","28.42",",U","33.72",",,,U","23.12",",,,U"
"USR0000OWIC","1993-08","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","298.5",",U","0",",U","0",",U","0",",U","30",",U","23",",U","15.0",",U,31,","38.3",",U,21,+","1.7","U","1.7",",U","27.91",",U","33.94",",,,U","21.88",",,,U"
"USR0000OWIC","1993-09","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","121.7",",U","0",",U","0",",U","0",",U","29",",U","6",",U","5.6",",U,15,","33.3",",U,22,+","15.0","U","13.3",",U","21.95",",U","28.76",",,,U","15.14",",,,U"
"USR0000OWIC","1993-10","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","26.0",",U","0",",U","3",",U","0",",U","18",",U","0",",U","-7.2",",U,31,","31.7",",U,01,","149.7","U","134.7",",U","14.83",",U","21.22",",,,U","8.44",",,,U"
"USR0000OWIC","1993-11","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","0.0","4,U","0","2,U","10","2,U","1","2,U","2","2,U","0","2,U","-8.9","2,U,26,+","25.6","2,U,04,","446.7","U","297.0","2,U","7.33","4,U","14.09","2,,,U","0.58","2,,,U"
"USR0000OWIC","1993-12","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","","","0.0","1,U","0","1,U","15","1,U","1","1,U","0","1,U","0","1,U","-6.7","1,U,30,","19.4","1,U,26,","799.4","U","352.7","1,U","6.58","1,U","12.07","1,,,U","1.08","1,,,U"
"USR0000OWIC","1994-01","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","0.0","U","0.0","1,U","0","1,U","21","1,U","3","1,U","0","1,U","0","1,U","-13.3","1,U,31,","18.9","1,U,05,","1258.0","U","458.6","1,U","3.05","1,U","8.20","1,,,U","-2.11","1,,,U"
"USR0000OWIC","1994-02","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","0.0","U","0.0",",U","0",",U","19",",U","1",",U","0",",U","0",",U","-12.8",",U,09,","20.6",",U,17,","1648.5","U","390.5",",U","4.39",",U","11.20",",,,U","-2.43",",,,U"
"USR0000OWIC","1994-03","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","15.9","U","15.9","2,U","0","1,U","5","1,U","0","1,U","15","1,U","0","1,U","-2.8","1,U,09,+","31.7","1,U,19,","1825.4","U","176.9","1,U","12.58","2,U","19.81","1,,,U","5.34","1,,,U"
"USR0000OWIC","1994-04","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","60.2","U","44.3",",U","0",",U","2",",U","0",",U","19",",U","1",",U","-1.7",",U,06,","33.3",",U,14,","1930.6","U","105.2",",U","16.30",",U","23.66",",,,U","8.95",",,,U"
"USR0000OWIC","1994-05","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","135.9","U","75.7",",U","0",",U","0",",U","0",",U","27",",U","1",",U","3.3",",U,01,","32.2",",U,30,","1958.4","U","27.8",",U","19.88",",U","25.47",",,,U","14.29",",,,U"
"USR0000OWIC","1994-06","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","392.4","U","256.5",",U","0",",U","0",",U","0",",U","30",",U","18",",U","17.2",",U,11,+","44.4",",U,27,","1958.4","U","0.0",",U","26.88",",U","33.42",",,,U","20.35",",,,U"
"USR0000OWIC","1994-07","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","663.8","U","271.4",",U","0",",U","0",",U","0",",U","31",",U","25",",U","15.6",",U,28,+","39.4",",U,24,","0.0","U","0.0",",U","27.09",",U","33.99",",,,U","20.19",",,,U"
"USR0000OWIC","1994-08","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","943.4","U","279.6",",U","0",",U","0",",U","0",",U","31",",U","27",",U","12.8",",U,16,","38.9",",U,19,","0.0","U","0.0",",U","27.35",",U","34.59",",,,U","20.12",",,,U"
"USR0000OWIC","1994-09","34.7744","-98.7458","548.6","WICHITA OKLAHOMA, OK US","1093.3","U","149.9",",U","0",",U","0",",U","0",",U","28",",U","10",",U","5.6",",U,24,","37.2",",U,28,","14.7","U","14.7",",U","22.84",",U","29.55",",,,U","16.13",",,,U"
