"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0007M16S","1986-10","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","10",",T","10",",T","0",",T","","","","","","","0","4,T","0","4,T","0","4,T","","","","","22.9",",,T,19,+","13.8","4,T,07,","","","","","104.1",",,,T","","","9.51","4,,,T","",""
"USS0007M16S","1986-11","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","10",",T","10",",T","1",",T","","","","","","","6","2,T","0","2,T","0","2,T","","","","","35.6",",,T,02,","8.0","2,T,17,","","","","","83.6",",,,T","","","2.77","2,,,T","",""
"USS0007M16S","1986-12","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","1",",T","1",",T","0",",T","","","","","","","20","1,T","0","1,T","0","1,T","","","","","2.5",",,T,04,","3.7","1,T,05,","","","","","2.5",",,,T","","","-1.68","1,,,T","",""
"USS0007M16S","1987-01","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","12",",T","12",",T","0",",T","","","","","","","18",",T","0",",T","0",",T","","","","","20.3",",,T,15,","6.7",",T,25,","","","","","60.7",",,,T","","","-1.10",",,,T","",""
"USS0007M16S","1987-02","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","9",",T","9",",T","2",",T","","","","","","","11","1,T","0","1,T","0","1,T","","","","","40.6",",,T,24,","9.8","1,T,03,","","","","","116.7",",,,T","","","2.06","1,,,T","",""
"USS0007M16S","1987-03","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","15",",T","15",",T","0",",T","","","","","","","5","2,T","0","2,T","0","2,T","","","","","12.7",",,T,21,","12.1","2,T,07,","","","","","76.0",",,,T","","","4.91","2,,,T","",""
"USS0007M16S","1987-04","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","6",",T","6",",T","0",",T","","","","","","","2",",T","0",",T","0",",T","","","","","7.6",",,T,04,","20.1",",T,17,","","","","","27.9",",,,T","","","9.18",",,,T","",""
"USS0007M16S","1987-05","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","5",",T","5",",T","0",",T","","","","","","","0",",T","0",",T","0",",T","","","","","15.2",",,T,11,","18.2",",T,31,","","","","","35.6",",,,T","","","12.12",",,,T","",""
"USS0007M16S","1987-06","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","2",",T","2",",T","0",",T","","","","","","","0",",T","20",",T","0",",T","","","","","12.7",",,T,28,","24.6",",T,26,","","","","","20.3",",,,T","","","21.04",",,,T","",""
"USS0007M16S","1987-07","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","0.0","3,T","2",",T","2",",T","0",",T","","","0","3,T","7","3,T","0","1,T","25","1,T","0","1,T","-1.2","3,T,04,","","","5.1",",,T,18,","27.5","1,T,23,","156.4","T","156.4","1,T","7.6",",,,T","12.68","3,T","23.03","1,,,T","2.34","3,,,T"
"USS0007M16S","1987-08","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","7",",T","7",",T","0",",T","","","","","","","0","1,T","14","1,T","0","1,T","","","","","22.9",",,T,02,","25.5","1,T,19,","","","","","68.6",",,,T","","","20.51","1,,,T","",""
"USS0007M16S","1987-09","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","3",",T","3",",T","0",",T","","","0","5,T","24","5,T","0","3,T","3","3,T","0","3,T","-4.8","5,T,29,","","","5.1",",,T,15,+","23.8","3,T,01,","","","","","12.7",",,,T","7.63","6,T","17.67","3,,,T","-2.41","5,,,T"
"USS0007M16S","1987-10","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","0.0","5,T","6",",T","6",",T","0",",T","","","0","5,T","26","5,T","1",",T","4",",T","0",",T","-8.4","5,T,21,","","","12.7",",,T,13,","21.7",",T,06,","","","339.9",",T","32.9",",,,T","4.77","5,T","13.83",",,,T","-4.29","5,,,T"
"USS0007M16S","1987-11","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","8",",T","8",",T","1",",T","","","","","","","7","1,T","0","1,T","0","1,T","","","","","33.0",",,T,05,","10.4","1,T,04,","","","","","63.4",",,,T","","","3.91","1,,,T","",""
"USS0007M16S","1987-12","37.72","-107.26","2865.1","UPPER RIO GRANDE, CO US","","","","","","","8",",T","8",",T","0",",T","","","","","","","19","1,T","0","1,T","0","1,T","","","","","7.6",",,T,22,+","9.8","1,T,10,","","","","","32.8",",,,T","","","-1.92","1,,,T","",""
