"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0009F27S","1983-10","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,18,","","","","","","","25.2",",,,T","","","","","",""
"USS0009F27S","1983-11","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","10",",T","10",",T","1",",T","","","","","","","","","","","","","","","","","27.9",",,T,25,","","","","","","","88.8",",,,T","","","","","",""
"USS0009F27S","1983-12","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","8",",T","8",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,07,","","","","","","","40.5",",,,T","","","","","",""
"USS0009F27S","1984-01","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","4",",T","4",",T","0",",T","","","","","","","","","","","","","","","","","12.7",",,T,14,","","","","","","","22.8",",,,T","","","","","",""
"USS0009F27S","1984-02","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","5.1",",,T,10,","","","","","","","20.1",",,,T","","","","","",""
"USS0009F27S","1984-03","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","17.8",",,T,03,","","","","","","","55.7",",,,T","","","","","",""
"USS0009F27S","1984-04","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","9",",T","9",",T","1",",T","","","","","","","","","","","","","","","","","38.1",",,T,20,","","","","","","","124.4",",,,T","","","","","",""
"USS0009F27S","1984-05","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","4",",T","4",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,06,","","","","","","","15.1",",,,T","","","","","",""
"USS0009F27S","1984-06","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","3",",T","3",",T","1",",T","","","","","","","","","","","","","","","","","25.4",",,T,10,","","","","","","","40.7",",,,T","","","","","",""
"USS0009F27S","1984-07","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","4",",T","4",",T","0",",T","","","","","","","","","","","","","","","","","12.7",",,T,31,","","","","","","","30.5",",,,T","","","","","",""
"USS0009F27S","1984-08","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","3",",T","3",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,29,","","","","","","","17.8",",,,T","","","","","",""
"USS0009F27S","1984-09","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","4",",T","4",",T","1",",T","","","","","","","","","","","","","","","","","25.4",",,T,23,","","","","","","","53.3",",,,T","","","","","",""
"USS0009F27S","1984-10","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,17,","","","","","","","27.8",",,,T","","","","","",""
"USS0009F27S","1984-11","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,25,","","","","","","","25.4",",,,T","","","","","",""
"USS0009F27S","1984-12","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","6",",T","6",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,28,","","","","","","","20.1",",,,T","","","","","",""
"USS0009F27S","1985-01","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,28,","","","","","","","20.2",",,,T","","","","","",""
"USS0009F27S","1985-02","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","20.3",",,T,25,","","","","","","","53.2",",,,T","","","","","",""
"USS0009F27S","1985-03","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","15.2",",,T,27,","","","","","","","50.7",",,,T","","","","","",""
"USS0009F27S","1985-04","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","3",",T","3",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,25,","","","","","","","22.9",",,,T","","","","","",""
"USS0009F27S","1985-05","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","10",",T","10",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,16,","","","","","","","32.7",",,,T","","","","","",""
"USS0009F27S","1985-06","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","10",",T","10",",T","1",",T","","","","","","","","","","","","","","","","","30.5",",,T,25,","","","","","","","70.9",",,,T","","","","","",""
"USS0009F27S","1985-07","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","8",",T","8",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,31,+","","","","","","","35.4",",,,T","","","","","",""
"USS0009F27S","1985-08","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","0",",T","0",",T","0",",T","","","","","","","","","","","","","","","","","0.0",",,T,31,+","","","","","","","0.0",",,,T","","","","","",""
"USS0009F27S","1985-09","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","15.2",",,T,11,","","","","","","","65.9",",,,T","","","","","",""
"USS0009F27S","1985-10","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,22,","","","","","","","20.2",",,,T","","","","","",""
"USS0009F27S","1985-11","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","11",",T","11",",T","0",",T","","","","","","","","","","","","","","","","","17.8",",,T,12,","","","","","","","81.1",",,,T","","","","","",""
"USS0009F27S","1985-12","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","6",",T","6",",T","1",",T","","","","","","","","","","","","","","","","","38.1",",,T,08,","","","","","","","53.2",",,,T","","","","","",""
"USS0009F27S","1986-01","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,14,","","","","","","","25.3",",,,T","","","","","",""
"USS0009F27S","1986-02","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","12",",T","12",",T","0",",T","","","","","","","","","","","","","","","","","17.8",",,T,19,+","","","","","","","93.9",",,,T","","","","","",""
"USS0009F27S","1986-03","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","12.7",",,T,17,","","","","","","","38.0",",,,T","","","","","",""
"USS0009F27S","1986-04","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","16",",T","16",",T","0",",T","","","","","","","","","","","","","","","","","15.2",",,T,08,","","","","","","","96.5",",,,T","","","","","",""
"USS0009F27S","1986-05","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","8",",T","8",",T","0",",T","","","","","","","","","","","","","","","","","20.3",",,T,07,","","","","","","","76.2",",,,T","","","","","",""
"USS0009F27S","1986-06","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,09,","","","","","","","25.4",",,,T","","","","","",""
"USS0009F27S","1986-07","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","3",",T","3",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,09,","","","","","","","17.8",",,,T","","","","","",""
"USS0009F27S","1986-08","43.03","-109.17","2627.4","ST. LAWRENCE ALT, WY US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","7.6",",,T,30,+","","","","","","","33.0",",,,T","","","","","",""
