"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021D08S","1980-10","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,02,","","","","","","","20.2",",,,T","","","","","",""
"USS0021D08S","1980-11","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","19",",T","19",",T","3",",T","","","","","","","","","","","","","","","","","53.3",",,T,07,+","","","","","","","282.0",",,,T","","","","","",""
"USS0021D08S","1980-12","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","20",",T","20",",T","8",",T","","","","","","","","","","","","","","","","","106.7",",,T,24,","","","","","","","591.8",",,,T","","","","","",""
"USS0021D08S","1981-01","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","10",",T","10",",T","2",",T","","","","","","","","","","","","","","","","","33.0",",,T,26,","","","","","","","172.6",",,,T","","","","","",""
"USS0021D08S","1981-02","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","19",",T","19",",T","9",",T","","","","","","","","","","","","","","","","","58.4",",,T,15,","","","","","","","395.8",",,,T","","","","","",""
"USS0021D08S","1981-03","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","17",",T","17",",T","1",",T","","","","","","","","","","","","","","","","","45.7",",,T,30,","","","","","","","182.6",",,,T","","","","","",""
"USS0021D08S","1981-04","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","18",",T","18",",T","6",",T","","","","","","","","","","","","","","","","","35.6",",,T,11,","","","","","","","309.7",",,,T","","","","","",""
"USS0021D08S","1981-05","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","17",",T","17",",T","1",",T","","","","","","","","","","","","","","","","","27.9",",,T,03,","","","","","","","183.0",",,,T","","","","","",""
"USS0021D08S","1981-06","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","17",",T","17",",T","5",",T","","","","","","","","","","","","","","","","","50.8",",,T,08,","","","","","","","292.1",",,,T","","","","","",""
"USS0021D08S","1981-07","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","7",",T","7",",T","1",",T","","","","","","","","","","","","","","","","","30.5",",,T,03,","","","","","","","71.1",",,,T","","","","","",""
"USS0021D08S","1981-08","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","3",",T","3",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,18,","","","","","","","20.3",",,,T","","","","","",""
"USS0021D08S","1981-09","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","9",",T","9",",T","1",",T","","","","","","","","","","","","","","","","","48.3",",,T,27,","","","","","","","111.7",",,,T","","","","","",""
"USS0021D08S","1981-10","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","14",",T","14",",T","3",",T","","","","","","","","","","","","","","","","","38.1",",,T,08,","","","","","","","218.5",",,,T","","","","","",""
"USS0021D08S","1981-11","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","15",",T","15",",T","2",",T","","","","","","","","","","","","","","","","","50.8",",,T,30,","","","","","","","246.5",",,,T","","","","","",""
"USS0021D08S","1981-12","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","27",",T","27",",T","6",",T","","","","","","","","","","","","","","","","","104.1",",,T,18,","","","","","","","527.9",",,,T","","","","","",""
"USS0021D08S","1982-01","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","16","1,T","16","1,T","3","1,T","","","","","","","","","","","","","","","","","104.1","1,,T,04,","","","","","","","386.1","1,,,T","","","","","",""
"USS0021D08S","1982-02","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","20",",T","20",",T","9",",T","","","","","","","","","","","","","","","","","94.0",",,T,15,","","","","","","","490.3",",,,T","","","","","",""
"USS0021D08S","1982-03","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","19",",T","19",",T","3",",T","","","","","","","","","","","","","","","","","91.4",",,T,12,","","","","","","","345.3",",,,T","","","","","",""
"USS0021D08S","1982-04","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","20",",T","20",",T","2",",T","","","","","","","","","","","","","","","","","45.7",",,T,10,","","","","","","","256.5",",,,T","","","","","",""
"USS0021D08S","1982-05","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","11",",T","11",",T","0",",T","","","","","","","","","","","","","","","","","20.3",",,T,13,","","","","","","","78.5",",,,T","","","","","",""
"USS0021D08S","1982-06","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","5",",T","5",",T","0",",T","","","","","","","","","","","","","","","","","12.7",",,T,05,","","","","","","","32.9",",,,T","","","","","",""
"USS0021D08S","1982-07","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","5.1",",,T,15,+","","","","","","","25.3",",,,T","","","","","",""
"USS0021D08S","1982-08","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","0",",T","0",",T","0",",T","","","","","","","","","","","","","","","","","0.0",",,T,31,+","","","","","","","0.0",",,,T","","","","","",""
"USS0021D08S","1982-09","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","11",",T","11",",T","3",",T","","","","","","","","","","","","","","","","","40.6",",,T,28,","","","","","","","198.0",",,,T","","","","","",""
"USS0021D08S","1982-10","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","18",",T","18",",T","5",",T","","","","","","","","","","","","","","","","","66.0",",,T,28,","","","","","","","294.3",",,,T","","","","","",""
"USS0021D08S","1982-11","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","18",",T","18",",T","5",",T","","","","","","","","","","","","","","","","","73.7",",,T,04,","","","","","","","342.8",",,,T","","","","","",""
"USS0021D08S","1982-12","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","20",",T","20",",T","6",",T","","","","","","","","","","","","","","","","","73.7",",,T,02,","","","","","","","421.7",",,,T","","","","","",""
"USS0021D08S","1983-01","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","21",",T","21",",T","6",",T","","","","","","","","","","","","","","","","","68.6",",,T,16,+","","","","","","","492.8",",,,T","","","","","",""
"USS0021D08S","1983-02","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","22",",T","22",",T","4",",T","","","","","","","","","","","","","","","","","61.0",",,T,17,","","","","","","","363.3",",,,T","","","","","",""
"USS0021D08S","1983-03","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","24",",T","24",",T","3",",T","","","","","","","","","","","","","","","","","58.4",",,T,29,","","","","","","","386.0",",,,T","","","","","",""
"USS0021D08S","1983-04","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","0.0","4,T","10",",T","10",",T","1",",T","","","0","4,T","26","4,T","6",",T","0",",T","0",",T","-6.8","4,T,01,","","","25.4",",,T,10,","9.4",",T,04,","","","477.4",",T","106.5",",,,T","0.21","4,T","3.61",",,,T","-3.19","4,,,T"
"USS0021D08S","1983-05","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","12",",T","12",",T","1",",T","","","","","","","","","","","","","","","","","25.4",",,T,14,","","","","","","","142.3",",,,T","","","","","",""
"USS0021D08S","1983-06","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","11",",T","11",",T","0",",T","","","0","4,T","8","4,T","0","5,T","0","5,T","0","5,T","-1.5","4,T,04,","","","22.9",",,T,19,","18.8","5,T,19,+","","","","","126.9",",,,T","5.52","8,T","9.40","5,,,T","1.63","4,,,T"
"USS0021D08S","1983-07","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","13",",T","13",",T","2",",T","","","0","5,T","0","5,T","0","2,T","5","2,T","0","2,T","3.0","5,T,04,+","","","27.9",",,T,13,","23.7","2,T,18,+","","","","","129.3",",,,T","11.26","7,T","15.69","2,,,T","6.84","5,,,T"
"USS0021D08S","1983-08","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","7",",T","7",",T","0",",T","","","","","","","","","","","","","","","","","5.1",",,T,11,+","","","","","","","25.3",",,,T","","","","","",""
"USS0021D08S","1983-09","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","7",",T","7",",T","2",",T","","","","","","","","","","","","","","","","","33.0",",,T,28,+","","","","","","","98.9",",,,T","","","","","",""
"USS0021D08S","1983-10","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","10",",T","10",",T","1",",T","","","","","","","","","","","","","","","","","25.4",",,T,30,","","","","","","","63.5",",,,T","","","","","",""
"USS0021D08S","1983-11","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","28",",T","28",",T","7",",T","","","","","","","20","4,T","0","4,T","0","4,T","","","","","45.7",",,T,23,+","5.8","4,T,03,","","","","","490.2",",,,T","","","-1.55","4,,,T","",""
"USS0021D08S","1983-12","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","18",",T","18",",T","7",",T","","","","","","","24","5,T","0","5,T","0","5,T","","","","","81.3",",,T,29,","1.3","5,T,30,","","","","","449.5",",,,T","","","-6.32","5,,,T","",""
"USS0021D08S","1984-01","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","15",",T","15",",T","6",",T","","","","","","","13","5,T","0","5,T","0","5,T","","","","","81.3",",,T,03,","8.9","5,T,31,","","","","","386.0",",,,T","","","0.20","5,,,T","",""
"USS0021D08S","1984-02","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","23",",T","23",",T","4",",T","","","","","","","18",",T","0",",T","0",",T","","","","","61.0",",,T,12,","9.0",",T,03,","","","","","337.6",",,,T","","","-0.93",",,,T","",""
"USS0021D08S","1984-03","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","0.0","3,T","28",",T","28",",T","3",",T","","","0","3,T","28","3,T","21",",T","0",",T","0",",T","-10.4","3,T,03,","","","48.3",",,T,25,","8.5",",T,08,","","","580.6",",T","358.1",",,,T","-2.53","3,T","0.24",",,,T","-5.30","3,,,T"
"USS0021D08S","1984-04","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","24",",T","24",",T","3",",T","","","","","","","21","1,T","0","1,T","0","1,T","","","","","27.9",",,T,09,","9.8","1,T,14,","","","","","289.3",",,,T","","","-1.07","1,,,T","",""
"USS0021D08S","1984-05","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","0.0","5,T","26",",T","26",",T","1",",T","","","0","4,T","26","4,T","10","1,T","0","1,T","0","1,T","-7.7","4,T,04,","","","25.4",",,T,25,","18.1","1,T,29,","","","503.4","1,T","243.8",",,,T","-0.65","5,T","3.17","1,,,T","-4.47","4,,,T"
"USS0021D08S","1984-06","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","0.0","3,T","24",",T","24",",T","4",",T","","","0","3,T","18","3,T","1",",T","0",",T","0",",T","-6.2","3,T,01,","","","27.9",",,T,21,","17.1",",T,25,","","","407.9",",T","223.2",",,,T","3.27","3,T","7.15",",,,T","-0.61","3,,,T"
"USS0021D08S","1984-07","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","0.0","1,T","3",",T","3",",T","0",",T","","","0","1,T","1","1,T","0",",T","5",",T","0",",T","0.0","1,T,06,","","","2.5",",,T,03,+","23.3",",T,16,","226.3","","226.3",",T","7.5",",,,T","10.88","1,T","15.92",",,,T","5.84","1,,,T"
"USS0021D08S","1984-08","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","2",",T","2",",T","0",",T","","","","","","","0",",T","6",",T","0",",T","","","","","12.7",",,T,31,","24.1",",T,08,","","","","","20.3",",,,T","","","17.00",",,,T","",""
"USS0021D08S","1984-09","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","7",",T","7",",T","3",",T","","","","","","","0","3,T","2","3,T","0","3,T","","","","","58.4",",,T,05,","24.0","3,T,17,","","","","","193.1",",,,T","","","12.37","3,,,T","",""
"USS0021D08S","1984-10","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","19",",T","19",",T","6",",T","","","","","","","","","","","","","","","","","58.4",",,T,28,+","","","","","","","406.4",",,,T","","","","","",""
"USS0021D08S","1984-11","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","26",",T","26",",T","11",",T","","","","","","","","","","","","","","","","","71.1",",,T,02,","","","","","","","594.2",",,,T","","","","","",""
"USS0021D08S","1984-12","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","22",",T","22",",T","10",",T","","","","","","","","","","","","","","","","","66.0",",,T,12,","","","","","","","538.2",",,,T","","","","","",""
"USS0021D08S","1985-01","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","10.2",",,T,23,","","","","","","","35.3",",,,T","","","","","",""
"USS0021D08S","1985-02","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","18",",T","18",",T","7",",T","","","","","","","","","","","","","","","","","53.3",",,T,11,","","","","","","","378.3",",,,T","","","","","",""
"USS0021D08S","1985-03","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","15",",T","15",",T","5",",T","","","","","","","","","","","","","","","","","66.0",",,T,29,","","","","","","","378.5",",,,T","","","","","",""
"USS0021D08S","1985-04","45.32","-121.72","1636.8","MOUNT HOOD TEST SITE, OR US","","","","","15",",T","15",",T","4",",T","","","","","","","","","","","","","","","","","43.2",",,T,18,","","","","","","","228.5",",,,T","","","","","",""
