"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0022C12S","1985-10","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","18",",T","18",",T","5",",T","","","","","","","","","","","","","","","","","111.8",",,T,24,","","","","","","","419.1",",,,T","","","","","",""
"USS0022C12S","1985-11","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","22",",T","22",",T","1",",T","","","","","","","","","","","","","","","","","30.5",",,T,09,","","","","","","","185.4",",,,T","","","","","",""
"USS0022C12S","1985-12","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","12",",T","12",",T","1",",T","","","","","","","","","","","","","","","","","38.1",",,T,02,","","","","","","","144.7",",,,T","","","","","",""
"USS0022C12S","1986-01","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","25",",T","25",",T","13",",T","","","","","","","","","","","","","","","","","104.1",",,T,18,","","","","","","","637.5",",,,T","","","","","",""
"USS0022C12S","1986-02","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","17",",T","17",",T","4",",T","","","","","","","","","","","","","","","","","170.2",",,T,22,","","","","","","","441.9",",,,T","","","","","",""
"USS0022C12S","1986-03","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","18",",T","18",",T","3",",T","","","","","","","","","","","","","","","","","66.0",",,T,06,","","","","","","","276.8",",,,T","","","","","",""
"USS0022C12S","1986-04","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","14",",T","14",",T","0",",T","","","","","","","","","","","","","","","","","22.9",",,T,03,","","","","","","","134.5",",,,T","","","","","",""
"USS0022C12S","1986-05","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","9",",T","9",",T","0",",T","","","","","","","","","","","","","","","","","17.8",",,T,12,","","","","","","","76.3",",,,T","","","","","",""
"USS0022C12S","1986-06","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","1",",T","1",",T","0",",T","","","","","","","0","3,T","9","3,T","0","3,T","","","","","10.2",",,T,18,","29.0","3,T,13,","","","","","10.2",",,,T","","","17.53","3,,,T","",""
"USS0022C12S","1986-07","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","5",",T","5",",T","0",",T","","","","","","","0",",T","5",",T","0",",T","","","","","7.6",",,T,16,+","23.3",",T,31,","","","","","25.3",",,,T","","","15.54",",,,T","",""
"USS0022C12S","1986-08","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","10.9","5,T","1",",T","1",",T","0",",T","","","0","5,T","0","5,T","0",",T","20",",T","0",",T","4.9","5,T,17,","","","7.6",",,T,30,","31.3",",T,26,","","","83.5",",T","7.6",",,,T","15.55","5,T","22.54",",,,T","8.57","5,,,T"
"USS0022C12S","1986-09","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0","2,T","13",",T","13",",T","2",",T","","","0","2,T","2","2,T","0",",T","3",",T","0",",T","-0.5","2,T,24,","","","27.9",",,T,23,","25.4",",T,05,","","","302.7",",T","157.4",",,,T","7.41","2,T","11.08",",,,T","3.74","2,,,T"
"USS0022C12S","1986-10","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0","5,T","7",",T","7",",T","4",",T","","","0","5,T","1","5,T","0",",T","2",",T","0",",T","-1.5","5,T,02,","","","35.6",",,T,25,","23.4",",T,05,","","","251.9",",T","134.5",",,,T","8.76","5,T","14.04",",,,T","3.48","5,,,T"
"USS0022C12S","1986-11","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0",",T","23",",T","23",",T","9",",T","","","0",",T","24",",T","2",",T","0",",T","0",",T","-7.9",",T,10,","","","68.6",",,T,23,","18.9",",T,03,","","","495.7",",T","457.2",",,,T","1.81",",T","5.40",",,,T","-1.78",",,,T"
"USS0022C12S","1986-12","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0","3,T","18",",T","18",",T","3",",T","","","0","2,T","22","2,T","1","1,T","0","1,T","0","1,T","-7.0","2,T,01,","","","45.7",",,T,22,","8.8","1,T,06,","","","491.8","1,T","203.0",",,,T","0.84","3,T","3.37","1,,,T","-1.70","2,,,T"
"USS0022C12S","1987-01","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","5,T","19",",T","19",",T","3",",T","","","0","3,T","28","3,T","5","2,T","0","2,T","0","2,T","-10.1","3,T,16,","","","91.4",",,T,31,","8.7","2,T,11,","","","492.9","2,T","345.3",",,,T","-0.37","5,T","2.63","2,,,T","-3.37","3,,,T"
"USS0022C12S","1987-02","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","3,T","16",",T","16",",T","3",",T","","","0","3,T","17","3,T","1",",T","0",",T","0",",T","-9.0","3,T,24,","","","33.0",",,T,13,","10.7",",T,06,","","","406.2",",T","162.4",",,,T","1.97","3,T","5.13",",,,T","-1.19","3,,,T"
"USS0022C12S","1987-03","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","2,T","19",",T","19",",T","3",",T","","","0","2,T","19","2,T","0",",T","0",",T","0",",T","-3.9","2,T,20,","","","73.7",",,T,02,","15.7",",T,31,","","","454.7",",T","281.8",",,,T","2.71","2,T","5.80",",,,T","-0.39","2,,,T"
"USS0022C12S","1987-04","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","17",",T","17",",T","0",",T","","","","","","","5",",T","3",",T","0",",T","","","","","22.9",",,T,07,","26.8",",T,27,","","","","","154.8",",,,T","","","7.53",",,,T","",""
"USS0022C12S","1987-05","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","15",",T","15",",T","2",",T","","","","","","","0",",T","5",",T","0",",T","","","","","55.9",",,T,30,","28.8",",T,07,","","","","","147.1",",,,T","","","13.43",",,,T","",""
"USS0022C12S","1987-06","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","2",",T","2",",T","0",",T","","","","","","","0",",T","12",",T","0",",T","","","","","17.8",",,T,19,","30.6",",T,29,","","","","","25.4",",,,T","","","18.78",",,,T","",""
"USS0022C12S","1987-07","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","3",",T","3",",T","0",",T","","","","","","","0","1,T","7","1,T","0","1,T","","","","","12.7",",,T,23,","27.4","1,T,14,","","","","","30.5",",,,T","","","17.59","1,,,T","",""
"USS0022C12S","1987-08","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","2",",T","2",",T","0",",T","","","","","","","0",",T","15",",T","1",",T","","","","","17.8",",,T,13,","32.8",",T,31,","","","","","22.9",",,,T","","","21.11",",,,T","",""
"USS0022C12S","1987-09","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","13.0","5,T","4",",T","4",",T","0",",T","","","0","5,T","0","5,T","0",",T","15",",T","0",",T","2.5","5,T,27,+","","","12.7",",,T,14,","29.1",",T,22,","","","122.7",",T","27.9",",,,T","14.12","5,T","19.85",",,,T","8.39","5,,,T"
"USS0022C12S","1987-10","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","3.5","4,T","1",",T","1",",T","0",",T","","","0","4,T","1","4,T","0",",T","5",",T","0",",T","-0.4","4,T,15,","","","10.2",",,T,31,","27.1",",T,01,","","","183.9",",T","10.2",",,,T","11.48","4,T","16.76",",,,T","6.19","4,,,T"
"USS0022C12S","1987-11","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0","4,T","17",",T","17",",T","3",",T","","","0","3,T","13","3,T","0","1,T","0","1,T","0","1,T","-4.0","3,T,16,","","","45.7",",,T,13,","14.7","1,T,04,","","","373.8","1,T","223.3",",,,T","4.01","4,T","6.48","1,,,T","1.53","3,,,T"
"USS0022C12S","1987-12","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0","3,T","20",",T","20",",T","7",",T","","","0","3,T","23","3,T","15",",T","0",",T","0",",T","-12.6","3,T,23,","","","124.5",",,T,09,","8.6",",T,02,","","","546.9",",T","487.4",",,,T","-1.35","3,T","1.64",",,,T","-4.34","3,,,T"
"USS0022C12S","1988-01","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","3,T","14",",T","14",",T","2",",T","","","0","2,T","25","2,T","14","1,T","0","1,T","0","1,T","-8.1","2,T,17,+","","","55.9",",,T,14,","12.8","1,T,27,","","","521.5","1,T","213.3",",,,T","-0.42","3,T","2.19","1,,,T","-3.02","2,,,T"
"USS0022C12S","1988-02","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","2,T","17",",T","17",",T","1",",T","","","0","2,T","14","2,T","3",",T","0",",T","0",",T","-12.6","2,T,02,","","","48.3",",,T,09,","12.8",",T,20,","","","432.3",",T","203.1",",,,T","2.48","2,T","5.80",",,,T","-0.84","2,,,T"
"USS0022C12S","1988-03","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","4,T","21",",T","21",",T","8",",T","","","0","4,T","22","4,T","2",",T","0",",T","0",",T","-7.9","4,T,11,","","","43.2",",,T,26,","14.8",",T,18,","","","444.8",",T","386.1",",,,T","1.96","4,T","6.00",",,,T","-2.08","4,,,T"
"USS0022C12S","1988-04","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","15",",T","15",",T","4",",T","","","","","","","0",",T","0",",T","0",",T","","","","","48.3",",,T,03,","19.8",",T,12,","","","","","205.8",",,,T","","","8.46",",,,T","",""
"USS0022C12S","1988-05","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.7","4,T","15",",T","15",",T","2",",T","","","0","4,T","5","4,T","0",",T","2",",T","0",",T","-2.3","4,T,01,","","","35.6",",,T,27,","25.0",",T,11,","","","325.3",",T","162.4",",,,T","6.65","4,T","11.24",",,,T","2.07","4,,,T"
"USS0022C12S","1988-06","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","10",",T","10",",T","1",",T","","","","","","","0",",T","6",",T","0",",T","","","","","40.6",",,T,02,","25.5",",T,14,","","","","","88.7",",,,T","","","15.18",",,,T","",""
"USS0022C12S","1988-07","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","4",",T","4",",T","0",",T","","","","","","","0",",T","15",",T","0",",T","","","","","10.2",",,T,02,","31.4",",T,25,","","","","","25.5",",,,T","","","19.73",",,,T","",""
"USS0022C12S","1988-08","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","13.3","4,T","4",",T","4",",T","0",",T","","","0","4,T","0","4,T","0",",T","13",",T","0",",T","4.4","4,T,21,","","","7.6",",,T,16,","30.9",",T,23,","","","129.5",",T","17.7",",,,T","14.18","4,T","19.95",",,,T","8.41","4,,,T"
"USS0022C12S","1988-09","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","","","8",",T","8",",T","0",",T","","","","","","","0",",T","11",",T","3",",T","","","","","20.3",",,T,19,+","35.2",",T,03,","","","","","88.8",",,,T","","","18.07",",,,T","",""
"USS0022C12S","1988-10","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","2.3","3,T","10",",T","10",",T","0",",T","","","0","2,T","0","2,T","0","1,T","8","1,T","0","1,T","0.7","2,T,26,","","","20.3",",,T,14,","27.5","1,T,08,","","","190.0","1,T","81.2",",,,T","11.66","3,T","16.02","1,,,T","7.31","2,,,T"
"USS0022C12S","1988-11","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0",",T","26",",T","26",",T","6",",T","","","0",",T","23",",T","4",",T","0",",T","0",",T","-4.9",",T,14,","","","63.5",",,T,02,","13.9",",T,05,","","","485.9",",T","492.8",",,,T","2.14",",T","4.66",",,,T","-0.39",",,,T"
"USS0022C12S","1988-12","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","","","0.0","2,T","19",",T","19",",T","2",",T","","","0","2,T","16","2,T","7",",T","0",",T","0",",T","-13.7","2,T,26,","","","30.5",",,T,30,","11.3",",T,01,","","","490.0",",T","213.4",",,,T","1.50","2,T","4.31",",,,T","-1.31","2,,,T"
"USS0022C12S","1989-01","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","1,T","24",",T","24",",T","2",",T","","","0","1,T","27","1,T","8",",T","0",",T","0",",T","-11.9","1,T,23,","","","45.7",",,T,09,","8.8",",T,25,+","","","564.2",",T","340.4",",,,T","-0.43","1,T","2.50",",,,T","-3.37","1,,,T"
"USS0022C12S","1989-02","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","2,T","12",",T","12",",T","0",",T","","","3","2,T","24","2,T","13",",T","0",",T","0",",T","-22.4","2,T,03,","","","15.2",",,T,22,","7.2",",T,26,","","","565.3",",T","81.3",",,,T","-3.43","2,T","-0.50",",,,T","-6.37","2,,,T"
"USS0022C12S","1989-03","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","4,T","23",",T","23",",T","3",",T","","","0","4,T","20","4,T","4",",T","0",",T","0",",T","-6.7","4,T,01,","","","40.6",",,T,09,","9.9",",T,19,","","","461.3",",T","332.5",",,,T","1.03","4,T","3.93",",,,T","-1.87","4,,,T"
"USS0022C12S","1989-04","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","2,T","12",",T","12",",T","0",",T","","","0","2,T","7","2,T","0",",T","0",",T","0",",T","-3.3","2,T,03,+","","","20.3",",,T,02,","19.2",",T,30,","","","336.9",",T","99.0",",,,T","6.30","2,T","10.65",",,,T","1.94","2,,,T"
"USS0022C12S","1989-05","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.0","T","0.0","2,T","12",",T","12",",T","1",",T","","","0","2,T","5","2,T","0",",T","0",",T","0",",T","-0.9","2,T,18,","","","30.5",",,T,17,","19.6",",T,04,","","","334.4",",T","106.6",",,,T","6.84","2,T","11.01",",,,T","2.68","2,,,T"
"USS0022C12S","1989-06","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.3","T","0.3","5,T","6",",T","6",",T","1",",T","","","0","5,T","0","5,T","0",",T","9",",T","0",",T","1.5","5,T,19,","","","30.5",",,T,19,","26.5",",T,24,","","","172.1",",T","58.4",",,,T","11.70","5,T","17.01",",,,T","6.40","5,,,T"
"USS0022C12S","1989-07","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","0.3","T","0.0","1,T","3",",T","3",",T","0",",T","","","0","1,T","0","1,T","0",",T","6",",T","0",",T","4.4","1,T,22,","","","12.7",",,T,16,","26.5",",T,25,","191.0","T","191.0",",T","17.7",",,,T","12.00","1,T","16.68",",,,T","7.32","1,,,T"
"USS0022C12S","1989-08","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","1.9","T","1.6",",T","5",",T","5",",T","0",",T","","","0",",T","0",",T","0",",T","6",",T","0",",T","5.7",",T,11,+","","","20.3",",,T,21,","27.5",",T,06,","361.1","T","170.1",",T","38.0",",,,T","12.90",",T","17.45",",,,T","8.35",",,,T"
"USS0022C12S","1989-09","46.26","-122.18","1072.9","SPIRIT LAKE, WA US","10.3","T","8.4","1,T","2",",T","2",",T","0",",T","","","0","1,T","0","1,T","0",",T","16",",T","0",",T","1.4","1,T,18,","","","7.6",",,T,01,","28.3",",T,24,","490.7","T","129.6",",T","10.1",",,,T","14.12","1,T","19.91",",,,T","8.34","1,,,T"
