"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013881","1939-07","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","228.5",",0","14",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","","","13","","16.7",",0,22,","0",",,0,31,+","0",",,0,31,+","87.9",",,0,21,","36.1",",0,19,","0.0","0","0.0",",0","268.8",",,,0","","","0",",,,0","25.70",",0","31.20",",,,0","20.21",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1939-08","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","212.2",",0","15",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","","","","","18","","14.4",",0,29,","0",",,0,31,+","0",",,0,31,+","47.8",",,0,18,","35.0",",0,10,","0.0","0","0.0",",0","120.8",",,,0","","","0",",,,0","25.18",",0","30.66",",,,0","19.69",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1939-09","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","165.4",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","","","","","9","","12.2",",0,23,","0",",,0,30,+","0",",,0,30,+","9.4",",,0,26,","37.8",",0,09,","0.0","0","0.0",",0","22.2",",,,0","","","0",",,,0","23.85",",0","30.35",",,,0","17.34",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1939-10","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","53.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","2",",0","","","","","1","","1.1",",0,16,","0",",,0,31,+","0",",,0,31,+","15.0",",,0,01,","32.8",",0,09,","67.1","0","67.1",",0","27.5",",,,0","","","0",",,,0","17.88",",0","24.95",",,,0","10.80",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1939-11","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","0.0","2,0","8",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","9","1,0","0","1,0","7","1,0","0","1,0","","","","","","","-2.8","1,0,27,","0",",,0,30,+","0",",,0,30,+","20.6",",,0,19,","23.9","1,0,17,","340.5","0","273.4","1,0","31.8",",,,0","","","0",",,,0","8.75","2,0","15.61","1,,,0","1.89","1,,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1939-12","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","","","0.0",",0","10",",0","9",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","2",",0","0",",0","","","","","2","","-3.9",",0,25,+","0",",,0,31,+","0",",T,0,26,+","18.3",",,0,23,","21.1",",0,18,+","715.5","0","375.0",",0","68.9",",,,0","","","0",",T,,0","6.24",",0","12.28",",,,0","0.19",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-01","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","0.0","0","0.0",",0","8",",0","4",",0","2",",0","10",",0","2",",0","2",",0","27",",0","4",",0","0",",0","0",",0","","","","","","","-19.4",",0,27,","152",",,0,24,","99",",,0,23,","33.5",",,0,14,","13.9",",0,18,","1321.5","0","606.0",",0","94.9",",,,0","","","172",",,,0","-1.22",",0","4.34",",,,0","-6.77",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-02","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","0.0","0","0.0",",0","15",",0","6",",0","1",",0","1",",0","0",",0","0",",0","11",",0","0",",0","0",",0","0",",0","","","","","2","","-7.8",",0,03,","51",",,0,01,","0",",,0,29,+","35.6",",,0,18,","19.4",",0,13,","1679.8","0","358.3",",0","93.0",",,,0","","","0",",,,0","5.98",",0","11.39",",,,0","0.56",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-03","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","0.3","0","0.3",",0","13",",0","7",",0","0",",0","1",",0","1",",0","0",",0","13",",0","0",",0","7",",0","0",",0","","","","","1","","-7.8",",0,25,","76",",,0,24,","69",",,0,24,","20.3",",,0,14,","24.4",",0,18,","1990.0","0","310.2",",0","81.9",",,,0","","","69",",,,0","8.34",",0","14.56",",,,0","2.11",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-04","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","11.7","0","11.4",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","15",",0","0",",0","","","","","","","-2.8",",0,13,","0",",,0,30,+","0",",,0,30,+","19.6",",,0,19,","28.9",",0,01,","2120.6","0","130.6",",0","47.8",",,,0","","","0",",,,0","14.36",",0","21.02",",,,0","7.70",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-05","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","77.8","0","66.1",",0","14",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","","","","","","","2.2",",0,05,+","0",",,0,31,+","0",",,0,31,+","31.2",",,0,29,","36.1",",0,08,","2163.7","0","43.1",",0","98.8",",,,0","","","0",",,,0","19.07",",0","26.25",",,,0","11.89",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-06","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","276.7","0","198.9",",0","7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","","","","","","","13.3",",0,01,","0",",,0,30,+","0",",,0,30,+","35.8",",,0,16,","35.6",",0,07,+","2163.7","0","0.0",",0","108.5",",,,0","","","0",",,,0","24.96",",0","31.32",",,,0","18.60",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013881","1940-07","35.2236","-80.9552","221.9","CHARLOTTE DOUGLAS AIRPORT, NC US","","","494.8","0","218.1",",0","9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","14",",0","","","","","","","15.0",",0,14,","0",",,0,31,+","0",",,0,31,+","32.8",",,0,04,","38.3",",0,27,","0.0","0","0.0",",0","110.5",",,,0","","","0",",,,0","25.37",",0","31.06",",,,0","19.68",",,,0","","","","","","","","","","","","","","","","","","","","","",""
