"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00022514","1949-01","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","66.3","X","66.3","1,X","13",",X","7",",X","4",",X","0","1,X","0",",X","0","1,X","0","1,X","0","1,X","30","1,X","0","1,X","","","","","","","11.1","1,X,25,+","0","1,,X,31,+","0",",,X,31,+","128.3",",,X,16,","26.7","1,X,15,","","","0.6","1,X","358.1",",,,X","0",",,,X","20.53","1,X","25.23","1,,,X","15.82","1,,,X","","","",""
"USW00022514","1949-02","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","151.8","X","85.5",",X","8",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","0",",X","","","","","1","","13.9",",X,02,","0",",,X,28,+","0",",,X,28,+","80.3",",,X,08,","27.2",",X,26,","","","0.0",",X","122.0",",,,X","0",",,,X","21.39",",X","25.60",",,,X","17.17",",,,X","","","",""
"USW00022514","1949-03","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","262.0","X","110.2",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","","","14.4",",X,05,","0",",,X,31,+","0",",,X,31,+","2.5",",,X,08,","27.8",",X,20,","","","0.0",",X","3.8",",,,X","0",",,,X","21.89",",X","25.86",",,,X","17.92",",,,X","","","",""
"USW00022514","1949-04","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","388.6","X","126.6",",X","16",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","","","17.2",",X,16,","0",",,X,30,+","0",",,X,30,+","1.0",",,X,11,","27.2",",X,28,+","","","0.0",",X","6.3",",,,X","0",",,,X","22.55",",X","26.07",",,,X","19.03",",,,X","68",",X","17.0",",X"
"USW00022514","1949-05","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","550.0","X","161.4",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","","","17.2",",X,15,","0",",,X,31,+","0",",,X,31,+","0.8",",,X,16,","28.3",",X,29,+","","","0.0",",X","2.2",",,,X","0",",,,X","23.54",",X","27.12",",,,X","19.96",",,,X","68",",X","13.9",",X"
"USW00022514","1949-06","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","739.4","X","189.4",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","","","19.4",",X,07,","0",",,X,30,+","0",",,X,30,+","6.9",",,X,12,","29.4",",X,26,","","","0.0",",X","9.6",",,,X","0",",,,X","24.65",",X","28.11",",,,X","21.18",",,,X","45","1,X","14.4","1,X"
"USW00022514","1949-07","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","943.8","X","204.4",",X","3",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","","","20.0",",X,15,+","0",",,X,31,+","0",",,X,31,+","5.1",",,X,15,","30.0",",X,28,+","0.0","X","0.0",",X","6.2",",,,X","0",",,,X","24.93",",X","28.54",",,,X","21.31",",,,X","45",",X","16.4",",X"
"USW00022514","1949-08","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","1160.1","X","216.3",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","","","20.6",",X,20,","0",",,X,31,+","0",",,X,31,+","1.3",",,X,18,","30.0",",X,09,","0.0","X","0.0",",X","3.2",",,,X","0",",,,X","25.31",",X","28.75",",,,X","21.87",",,,X","45","2,X","17.0","2,X"
"USW00022514","1949-09","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","1359.7","X","199.6","1,X","5","1,X","1","1,X","0","1,X","0",",X","0",",X","0","1,X","0","1,X","0","1,X","29","1,X","0","1,X","","","","","","","20.0","1,X,26,","0",",,X,30,+","0",",,X,30,+","3.0","1,,X,28,","30.0","1,X,07,","0.0","X","0.0","1,X","5.1","1,,,X","0",",,,X","25.22","1,X","28.96","1,,,X","21.47","1,,,X","68","1,X","17.5","1,X"
"USW00022514","1949-10","21.31667","-158.06667","15.2","BARBERS POINT NAS, HI US","","","1549.9","X","190.2",",X","1",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","","","17.8",",X,27,","0",",,X,31,+","0",",,X,31,+","3.8",",,X,31,","29.4",",X,20,","0.0","X","0.0",",X","3.8",",,,X","0",",,,X","24.47",",X","28.32",",,,X","20.62",",,,X","45",",X","16.4",",X"
