"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00023908","2007-06","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","","","145.2",",R","14",",R","12",",R","5",",R","0",",R","0",",R","0",",R","30",",R","0",",R","12.0",",R,09,","96.4",",,R,30,","30.8",",R,24,","","","0.3",",R","465.1",",,,R","23.16",",R","28.17",",,,R","18.15",",,,R"
"USW00023908","2007-07","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","","","200.9",",R","6",",R","3",",R","1",",R","0",",R","0",",R","0",",R","31",",R","2",",R","15.4",",R,25,","34.1",",,R,20,","32.6",",R,16,","0.0","R","0.0",",R","67.7",",,,R","24.81",",R","29.92",",,,R","19.71",",,,R"
"USW00023908","2007-08","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","","","258.3",",R","5",",R","4",",R","0",",R","0",",R","0",",R","0",",R","31",",R","18",",R","14.2",",R,31,","23.4",",,R,19,","37.3",",R,15,+","0.0","R","0.0",",R","61.2",",,,R","26.67",",R","32.91",",,,R","20.43",",,,R"
"USW00023908","2007-09","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","","","96.3",",R","11",",R","6",",R","2",",R","0",",R","0",",R","0",",R","27",",R","0",",R","6.9",",R,15,","67.8",",,R,08,","32.0",",R,03,","13.8","R","13.8",",R","151.4",",,,R","21.09",",R","27.17",",,,R","15.00",",,,R"
"USW00023908","2007-10","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","","","29.6",",R","8",",R","6",",R","1",",R","0",",R","0",",R","0",",R","20",",R","0",",R","1.4",",R,29,+","36.9",",,R,17,","30.5",",R,05,","129.1","R","115.3",",R","104.9",",,,R","15.57",",R","22.36",",,,R","8.77",",,,R"
"USW00023908","2007-11","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","","","1.2",",R","5",",R","3",",R","0",",R","0",",R","14",",R","0",",R","6",",R","0",",R","-10.2",",R,23,","4.4",",,R,25,","25.1",",R,11,","434.4","R","305.3",",R","15.6",",,,R","8.20",",R","15.50",",,,R","0.90",",,,R"
"USW00023908","2007-12","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","","","","","12",",R","6",",R","2",",R","","","","","","","","","","","","","29.5",",,R,11,","","","","","","","83.0",",,,R","","","","","",""
"USW00023908","2008-01","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","0.0","R","0.0",",R","6",",R","3",",R","0",",R","0",",R","26",",R","5",",R","2",",R","0",",R","-15.5",",R,24,","14.0",",,R,08,","21.4",",R,07,","","","527.7",",R","21.4",",,,R","1.31",",R","7.30",",,,R","-4.68",",,,R"
"USW00023908","2008-02","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","0.0","R","0.0",",R","10",",R","6",",R","0",",R","0",",R","26",",R","5",",R","1",",R","0",",R","-10.1",",R,13,","22.5",",,R,11,","24.3",",R,04,","","","490.9",",R","87.1",",,,R","1.41",",R","7.03",",,,R","-4.22",",,,R"
"USW00023908","2008-03","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","0.0","R","0.0",",R","9",",R","7",",R","1",",R","0",",R","16",",R","0",",R","4",",R","0",",R","-9.0",",R,08,","49.2",",,R,18,","27.4",",R,27,","","","333.5",",R","124.7",",,,R","7.58",",R","14.45",",,,R","0.70",",,,R"
"USW00023908","2008-04","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","9.0","R","9.0","1,R","9",",R","9",",R","3",",R","0","1,R","3","1,R","0","1,R","12","1,R","0","1,R","-2.3","1,R,14,","36.6",",,R,09,","27.4","1,R,23,+","","","185.1","1,R","176.9",",,,R","12.26","1,R","18.29","1,,,R","6.23","1,,,R"
"USW00023908","2008-05","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","55.3","R","46.3","2,R","13",",R","12",",R","4",",R","0","2,R","0","2,R","0","2,R","23","2,R","0","2,R","2.0","2,R,04,","90.9",",,R,07,","31.0","2,R,25,","","","50.6","2,R","258.1",",,,R","18.19","2,R","24.09","2,,,R","12.28","2,,,R"
"USW00023908","2008-06","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","197.9","R","142.6",",R","13",",R","10",",R","4",",R","0",",R","0",",R","0",",R","29",",R","0",",R","13.7",",R,17,","46.1",",,R,09,","31.4",",R,25,+","","","0.7",",R","191.0",",,,R","23.06",",R","28.57",",,,R","17.56",",,,R"
"USW00023908","2008-07","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","419.9","R","222.0",",R","7",",R","3",",R","1",",R","0",",R","0",",R","0",",R","31",",R","12",",R","14.2",",R,15,","36.9",",,R,26,","35.8",",R,26,","0.0","R","0.0",",R","70.2",",,,R","25.50",",R","31.50",",,,R","19.49",",,,R"
"USW00023908","2008-08","37.4277","-94.5829","290.2","JOPLIN 24 N, MO US","567.9","R","148.0","3,R","8",",R","3",",R","1",",R","0","3,R","0","3,R","0","3,R","27","3,R","7","3,R","12.0","3,R,26,","29.5",",,R,09,","36.2","3,R,05,+","0.0","R","0.0","3,R","47.7",",,,R","23.62","3,R","29.68","3,,,R","17.56","3,,,R"
