"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00025503","1942-02","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","","","13",",6","6",",6","0",",6","","","2","1,6","2","2,6","20","2,6","","","","","","","","","","","","","-21.1","2,6,02,","","","30","1,,6,01,","8.9",",,6,22,","","","","","","","42.6",",,,6","63","1,,,6","","","","","-3.90","2,,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-03","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","8",",6","3",",6","0",",6","21",",6","4",",6","6",",6","31",",6","12",",6","0",",6","0",",6","","","","","","","-23.3",",6,22,","76",",,6,24,+","51",",,6,07,","2.8",",,6,08,+","4.4",",6,31,","","","766.1",",6","12.6",",,,6","157",",,,6","-6.38",",6","-0.39",",,,6","-12.36",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-04","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","17",",6","4",",6","0",",6","","","0",",6","0",",6","28",",6","0",",6","0",",6","0",",6","","","","","","","-6.1",",6,12,","","","20",",,6,28,","8.6",",,6,08,","11.1",",6,21,","","","483.1",",6","35.6",",,,6","23",",,,6","2.23",",6","6.61",",,,6","-2.15",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-05","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","13",",6","4",",6","0",",6","","","0",",6","0",",6","7",",6","0",",6","5",",6","0",",6","","","","","","","-4.4",",6,08,+","","","13",",,6,06,","6.6",",,6,06,","23.3",",6,14,","","","309.4",",6","28.8",",,,6","13",",,,6","8.35",",6","14.17",",,,6","2.53",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-06","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","17",",6","11",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","1",",6","0",",6","","","","","","","1.1",",6,05,","","","0",",,6,30,+","9.7",",,6,25,+","21.1",",6,23,","","","243.6",",6","65.8",",,,6","0",",,,6","10.21",",6","15.56",",,,6","4.87",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-07","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","13",",6","8",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","7",",6","0",",6","","","","","","","2.2",",6,19,","","","0",",,6,31,+","11.2",",,6,10,","25.0",",6,29,","178.1","6","178.1",",6","51.9",",,,6","0",",,,6","12.59",",6","17.33",",,,6","7.85",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-08","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","","","","","","","","","","","0",",6","0",",6","0",",6","1",",6","0",",6","","","","","","","3.3",",6,20,","","","","","","","23.3",",6,31,","348.4","6","170.3",",6","","","","","12.84",",6","16.75",",,,6","8.93",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-09","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","","","","","","","","","","","0",",6","1",",6","0",",6","1",",6","0",",6","","","","","","","-3.3",",6,15,","","","","","","","22.2",",6,01,","563.5","6","215.1",",6","","","","","11.16",",6","15.05",",,,6","7.28",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-10","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","","","","","","","","","5",",6","0",",6","25",",6","4",",6","0",",6","0",",6","","","","","","","-10.6",",6,11,","","","51",",,6,13,","","","14.4",",6,01,","1120.5","6","557.0",",6","","","200",",,,6","0.37",",6","3.83",",,,6","-3.10",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-11","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","10",",6","4",",6","0",",6","","","0","1,6","11",",6","27",",6","20",",6","0",",6","0",",6","","","","","","","-26.7",",6,27,","","","13","1,,6,26,","5.1",",,6,03,","8.9",",6,05,","1927.3","6","806.8",",6","20.1",",,,6","24","1,,,6","-8.56",",6","-4.57",",,,6","-12.55",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1942-12","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","","","0.0",",6","4",",6","0",",6","0",",6","24",",6","4",",6","30",",6","31",",6","31",",6","0",",6","0",",6","","","","","","","-38.9",",6,17,","102",",,6,22,+","38",",,6,12,+","1.8",",,6,09,","-2.2",",6,11,","3190.3","6","1263.0",",6","5.1",",,,6","139",",,,6","-22.41",",6","-17.36",",,,6","-27.45",",,,6","","","","","","","","","","","","","","","","","",""
"USW00025503","1943-01","58.6829","-156.6563","20.4","KING SALMON AIRPORT, AK US","","","0.0","","0.0",",6","5",",6","3",",6","0",",6","31",",6","3",",6","24",",6","30",",6","24",",6","0",",6","0",",6","","","","","","","-36.7",",6,09,","203",",,6,27,+","64",",,6,24,","6.1",",,6,24,","3.3",",6,30,+","4274.8","","1084.5",",6","18.6",",,,6","166",",,,6","-16.65",",6","-12.34",",,,6","-20.96",",,,6","","","","","","","","","","","","","","","","","",""
