"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00054778","1998-01","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","","","0.0","W","0.0",",M","","","","","","","0",",M","24",",M","11",",M","0",",M","0",",M","","","","","","","-13.9",",M,01,","","","16.7",",M,05,","","","582.2",",M","","","-0.45",",M","3.15",",,,M","-4.05",",,,M","","","","","","","","","",""
"USW00054778","1998-02","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","","","0.0","W","0.0",",M","","","","","","","0",",M","22",",M","5",",M","0",",M","0",",M","","","","","","","-12.8",",M,15,","","","11.7",",M,10,","","","502.8",",M","","","0.38",",M","4.07",",,,M","-3.31",",,,M","","","","","","","","","",""
"USW00054778","1998-03","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","","","4.1","W","4.1","1,M","","","","","","","0","1,M","18","1,M","5","1,M","4","1,M","0","1,M","","","","","","","-11.1","1,M,12,+","","","27.2","1,M,31,+","","","447.5","1,M","","","3.55","1,M","8.04","1,,,M","-0.93","1,,,M","","","","","","","","","",""
"USW00054778","1998-04","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","2.8",",W","4.1","W","0.0",",W","13",",W","7",",W","1",",W","0",",W","5",",W","0",",W","0",",W","0",",W","","","","","","","-1.7",",W,27,+","28.4",",,W,19,","20.6",",W,30,","","","295.9",",W","82.8",",,,W","8.47",",W","13.83",",,,W","3.11",",,,W","","","260",",W","260",",W","10.3",",W","13.0",",W"
"USW00054778","1998-05","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","2.4",",W","28.2","W","24.1",",W","17",",W","6",",W","1",",W","0",",W","0",",W","0",",W","19",",W","0",",W","","","","","","","6.1",",W,22,","27.4",",,W,10,","30.6",",W,16,","","","63.6",",W","82.0",",,,W","17.06",",W","22.49",",,,W","11.62",",,,W","","","260",",W","260",",W","13.9",",W","23.2",",W"
"USW00054778","1998-06","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","3.2",",W","100.8","W","72.6",",W","18",",W","10",",W","0",",W","0",",W","0",",W","0",",W","22",",W","0",",W","","","","","","","5.0",",W,04,","20.1",",,W,16,","31.7",",W,25,","","","52.3",",W","92.3",",,,W","19.01",",W","24.15",",,,W","13.87",",,,W","","","180",",W","270",",W","9.8",",W","14.8",",W"
"USW00054778","1998-07","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","2.8",",W","202.1","W","101.3",",W","11",",W","5",",W","1",",W","0",",W","0",",W","0",",W","31",",W","1",",W","","","","","","","11.1",",W,31,","27.7",",,W,04,","32.2",",W,28,","2.2","W","2.2",",W","70.1",",,,W","21.53",",W","27.08",",,,W","15.98",",,,W","","","320",",W","320",",W","9.8",",W","13.0",",W"
"USW00054778","1998-08","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","2.5",",W","311.3","W","109.2",",W","18",",W","5",",W","0",",W","0",",W","0",",W","0",",W","30",",W","0",",W","","","","","","","7.8",",W,19,","15.0",",,W,10,","31.1",",W,09,","10.5","W","8.3",",W","48.0",",,,W","21.59",",W","27.36",",,,W","15.81",",,,W","","","240",",W","230",",W","11.2",",W","13.9",",W"
"USW00054778","1998-09","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","3.0",",W","359.1","W","47.8",",W","14",",W","7",",W","0",",W","0",",W","0",",W","0",",W","23",",W","1",",W","","","","","","","4.4",",W,23,","9.4",",,W,27,","32.2",",W,06,","57.1","W","46.6",",W","44.4",",,,W","18.37",",W","24.11",",,,W","12.64",",,,W","","","260",",W","320",",W","10.3",",W","13.4",",W"
"USW00054778","1998-10","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","3.5",",W","361.1","W","2.0",",W","12",",W","6",",W","0",",W","0",",W","0",",W","0",",W","4",",W","0",",W","","","","","","","0.6",",W,31,+","15.5",",,W,08,","27.8",",W,18,","277.5","W","220.4",",W","48.7",",,,W","11.29",",W","16.27",",,,W","6.30",",,,W","","","250",",W","280",",W","11.6",",W","16.1",",W"
"USW00054778","1998-11","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","4.0",",W","361.1","W","0.0",",W","8",",W","5",",W","0",",W","0",",W","16",",W","0",",W","0",",W","0",",W","","","","","","","-4.4",",W,22,","4.8",",,W,20,","19.4",",W,30,+","670.3","W","392.8",",W","23.8",",,,W","5.24",",W","9.52",",,,W","0.96",",,,W","","","170",",W","280",",W","14.8",",W","18.3",",W"
"USW00054778","1998-12","42.6425","-77.05639","275.2","PENN YAN AIRPORT, NY US","4.1",",W","361.1","W","0.0",",W","11",",W","3",",W","0",",W","0",",W","21",",W","4",",W","0",",W","0",",W","","","","","","","-13.9",",W,23,","7.9",",,W,22,","20.6",",W,06,","1168.9","W","498.6",",W","28.0",",,,W","2.25",",W","7.45",",,,W","-2.96",",,,W","","","270",",W","260",",W","13.9",",W","18.3",",W"
