"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"UY000002154","1990-01","-33.22","-57.14","84.0","MARINCHO, UY","3",",I","3",",I","1",",I","35.0",",,I,31,","64.0",",,,I"
"UY000002154","1990-02","-33.22","-57.14","84.0","MARINCHO, UY","13",",I","12",",I","0",",I","23.0",",,I,12,","114.0",",,,I"
"UY000002154","1990-03","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","7",",I","2",",I","69.0",",,I,10,","161.0",",,,I"
"UY000002154","1990-04","-33.22","-57.14","84.0","MARINCHO, UY","11",",I","10",",I","3",",I","40.0",",,I,26,","200.0",",,,I"
"UY000002154","1990-05","-33.22","-57.14","84.0","MARINCHO, UY","5","1,I","5","1,I","0","1,I","13.0","1,,I,10,","36.0","1,,,I"
"UY000002154","1990-06","-33.22","-57.14","84.0","MARINCHO, UY","3",",I","3",",I","1",",I","33.0",",,I,04,","44.0",",,,I"
"UY000002154","1990-07","-33.22","-57.14","84.0","MARINCHO, UY","2",",I","2",",I","0",",I","7.0",",,I,18,","12.0",",,,I"
"UY000002154","1990-08","-33.22","-57.14","84.0","MARINCHO, UY","1",",I","1",",I","0",",I","3.0",",,I,28,","3.0",",,,I"
"UY000002154","1990-09","-33.22","-57.14","84.0","MARINCHO, UY","6",",I","4",",I","0",",I","22.0",",,I,18,","52.0",",,,I"
"UY000002154","1990-10","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","6",",I","3",",I","43.0",",,I,05,","168.0",",,,I"
"UY000002154","1990-11","-33.22","-57.14","84.0","MARINCHO, UY","6",",I","6",",I","2",",I","69.0",",,I,16,","187.0",",,,I"
"UY000002154","1990-12","-33.22","-57.14","84.0","MARINCHO, UY","6","1,I","6","1,I","2","1,I","34.0","1,,I,03,","95.0","1,,,I"
"UY000002154","1991-01","-33.22","-57.14","84.0","MARINCHO, UY","4",",I","4",",I","3",",I","45.0",",,I,09,","113.0",",,,I"
"UY000002154","1991-02","-33.22","-57.14","84.0","MARINCHO, UY","3",",I","3",",I","0",",I","21.0",",,I,28,","38.0",",,,I"
"UY000002154","1991-03","-33.22","-57.14","84.0","MARINCHO, UY","6",",I","6",",I","1",",I","39.0",",,I,01,","100.0",",,,I"
"UY000002154","1991-04","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","7",",I","0",",I","25.0",",,I,10,","83.0",",,,I"
"UY000002154","1991-05","-33.22","-57.14","84.0","MARINCHO, UY","7","2,I","7","2,I","2","2,I","45.0","2,,I,01,","123.0","2,,,I"
"UY000002154","1991-06","-33.22","-57.14","84.0","MARINCHO, UY","9",",I","7",",I","1",",I","85.0",",,I,19,","160.0",",,,I"
"UY000002154","1991-07","-33.22","-57.14","84.0","MARINCHO, UY","5",",I","4",",I","1",",I","44.0",",,I,18,","101.0",",,,I"
"UY000002154","1991-08","-33.22","-57.14","84.0","MARINCHO, UY","5",",I","4",",I","0",",I","20.0",",,I,23,","47.0",",,,I"
"UY000002154","1991-09","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","7",",I","1",",I","28.0",",,I,17,","73.0",",,,I"
"UY000002154","1991-10","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","6",",I","1",",I","70.0",",,I,23,","129.0",",,,I"
"UY000002154","1991-11","-33.22","-57.14","84.0","MARINCHO, UY","3","2,I","3","2,I","1","2,I","57.0","2,,I,06,","66.0","2,,,I"
"UY000002154","1991-12","-33.22","-57.14","84.0","MARINCHO, UY","8","3,I","7","3,I","3","3,I","45.0","3,,I,23,+","163.0","3,,,I"
"UY000002154","1992-01","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","7",",I","2",",I","50.0",",,I,31,","135.0",",,,I"
"UY000002154","1992-02","-33.22","-57.14","84.0","MARINCHO, UY","5",",I","5",",I","2",",I","70.0",",,I,22,","142.0",",,,I"
"UY000002154","1992-03","-33.22","-57.14","84.0","MARINCHO, UY","3","1,I","2","1,I","1","1,I","29.0","1,,I,21,","36.0","1,,,I"
"UY000002154","1992-04","-33.22","-57.14","84.0","MARINCHO, UY","5","2,I","5","2,I","3","2,I","38.0","2,,I,05,","142.0","2,,,I"
"UY000002154","1992-05","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","6",",I","1",",I","36.0",",,I,07,","73.0",",,,I"
"UY000002154","1992-06","-33.22","-57.14","84.0","MARINCHO, UY","7","2,I","7","2,I","0","2,I","12.0","2,,I,23,+","51.0","2,,,I"
"UY000002154","1992-07","-33.22","-57.14","84.0","MARINCHO, UY","1","1,I","1","1,I","1","1,I","43.0","1,,I,14,","43.0","1,,,I"
"UY000002154","1992-08","-33.22","-57.14","84.0","MARINCHO, UY","3","2,I","3","2,I","0","2,I","25.0","2,,I,31,","45.0","2,,,I"
"UY000002154","1992-09","-33.22","-57.14","84.0","MARINCHO, UY","3",",I","3",",I","0",",I","18.0",",,I,18,","37.0",",,,I"
"UY000002154","1992-10","-33.22","-57.14","84.0","MARINCHO, UY","7","1,I","6","1,I","2","1,I","39.0","1,,I,16,","103.0","1,,,I"
"UY000002154","1992-11","-33.22","-57.14","84.0","MARINCHO, UY","5",",I","5",",I","2",",I","35.0",",,I,15,","110.0",",,,I"
"UY000002154","1992-12","-33.22","-57.14","84.0","MARINCHO, UY","2",",I","2",",I","1",",I","34.0",",,I,24,","59.0",",,,I"
"UY000002154","1993-01","-33.22","-57.14","84.0","MARINCHO, UY","4","1,I","4","1,I","1","1,I","50.0","1,,I,25,","77.0","1,,,I"
"UY000002154","1993-02","-33.22","-57.14","84.0","MARINCHO, UY","7",",I","7",",I","2",",I","62.0",",,I,08,","163.0",",,,I"
"UY000002154","1993-03","-33.22","-57.14","84.0","MARINCHO, UY","3",",I","3",",I","1",",I","60.0",",,I,16,","99.0",",,,I"
"UY000002154","1993-04","-33.22","-57.14","84.0","MARINCHO, UY","9",",I","9",",I","4",",I","95.0",",,I,18,","288.0",",,,I"
"UY000002154","1993-05","-33.22","-57.14","84.0","MARINCHO, UY","6",",I","6",",I","2",",I","35.0",",,I,04,","129.0",",,,I"
"UY000002154","1993-06","-33.22","-57.14","84.0","MARINCHO, UY","2",",I","2",",I","1",",I","38.0",",,I,08,","55.0",",,,I"
"UY000002154","1993-07","-33.22","-57.14","84.0","MARINCHO, UY","4",",I","3",",I","0",",I","18.0",",,I,06,","42.0",",,,I"
"UY000002154","1993-08","-33.22","-57.14","84.0","MARINCHO, UY","5",",I","5",",I","2",",I","87.0",",,I,30,","143.0",",,,I"
"UY000002154","1993-09","-33.22","-57.14","84.0","MARINCHO, UY","4",",I","3",",I","0",",I","10.0",",,I,01,","24.0",",,,I"
