"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"VQC00674900","1979-11","17.7705","-64.7552","61.0","MONTPELLIER, VI US","25",",0","17",",0","4",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","76.7",",,0,24,","335.1",",,,0","0",",,,0"
"VQC00674900","1979-12","17.7705","-64.7552","61.0","MONTPELLIER, VI US","17",",0","8",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","12.2",",,0,10,","67.5",",,,0","0",",,,0"
"VQC00674900","1980-02","17.7705","-64.7552","61.0","MONTPELLIER, VI US","12",",0","5",",0","0",",0","0",",0","0",",0","0",",,0,29,+","0",",,0,29,+","6.4",",,0,10,+","33.1",",,,0","0",",,,0"
"VQC00674900","1980-03","17.7705","-64.7552","61.0","MONTPELLIER, VI US","13",",0","7",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","13.2",",,0,06,","43.6",",,,0","0",",,,0"
"VQC00674900","1980-04","17.7705","-64.7552","61.0","MONTPELLIER, VI US","11",",0","7",",0","1",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","102.9",",,0,23,","161.5",",,,0","0",",,,0"
"VQC00674900","1980-05","17.7705","-64.7552","61.0","MONTPELLIER, VI US","12",",0","9",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","15.2",",,0,28,","57.4",",,,0","0",",,,0"
"VQC00674900","1980-06","17.7705","-64.7552","61.0","MONTPELLIER, VI US","16",",0","5",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","20.1",",,0,12,","57.1",",,,0","0",",,,0"
"VQC00674900","1980-07","17.7705","-64.7552","61.0","MONTPELLIER, VI US","19",",0","11",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","17.0",",,0,18,","92.2",",,,0","0",",,,0"
"VQC00674900","1980-08","17.7705","-64.7552","61.0","MONTPELLIER, VI US","14",",0","8",",0","1",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","27.4",",,0,10,","79.7",",,,0","0",",,,0"
"VQC00674900","1980-09","17.7705","-64.7552","61.0","MONTPELLIER, VI US","16",",0","14",",0","2",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","38.9",",,0,25,","138.4",",,,0","0",",,,0"
"VQC00674900","1980-10","17.7705","-64.7552","61.0","MONTPELLIER, VI US","17",",0","10",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","12.7",",,0,19,","60.5",",,,0","0",",,,0"
"VQC00674900","1980-11","17.7705","-64.7552","61.0","MONTPELLIER, VI US","21",",0","11",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","19.6",",,0,21,","79.8",",,,0","0",",,,0"
